# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 8.043000e+01 2.209000e+03 7.527284e-03
1.100000e+01 8.436000e+01 2.284000e+03 7.931582e-03
1.200000e+01 8.811000e+01 2.352000e+03 8.329466e-03
1.300000e+01 9.171000e+01 2.415000e+03 8.658522e-03
1.400000e+01 9.517000e+01 2.474000e+03 9.063112e-03
1.500000e+01 9.851000e+01 2.528000e+03 9.392018e-03
1.600000e+01 1.017000e+02 2.580000e+03 9.721111e-03
1.700000e+01 1.049000e+02 2.628000e+03 1.000550e-02
1.800000e+01 1.079000e+02 2.673000e+03 1.042929e-02
2.000000e+01 1.137000e+02 2.757000e+03 1.104310e-02
2.250000e+01 1.206000e+02 2.850000e+03 1.187182e-02
2.500000e+01 1.272000e+02 2.932000e+03 1.262418e-02
2.750000e+01 1.334000e+02 3.006000e+03 1.333342e-02
3.000000e+01 1.393000e+02 3.073000e+03 1.406698e-02
3.250000e+01 1.450000e+02 3.133000e+03 1.479527e-02
3.500000e+01 1.505000e+02 3.188000e+03 1.550516e-02
3.750000e+01 1.558000e+02 3.238000e+03 1.614311e-02
4.000000e+01 1.609000e+02 3.285000e+03 1.685319e-02
4.500000e+01 1.706000e+02 3.367000e+03 1.820137e-02
5.000000e+01 1.799000e+02 3.437000e+03 1.943116e-02
5.500000e+01 1.886000e+02 3.499000e+03 2.079760e-02
6.000000e+01 1.970000e+02 3.553000e+03 2.202771e-02
6.500000e+01 2.051000e+02 3.600000e+03 2.325812e-02
7.000000e+01 2.128000e+02 3.642000e+03 2.441475e-02
8.000000e+01 2.275000e+02 3.712000e+03 2.685833e-02
9.000000e+01 2.413000e+02 3.768000e+03 2.922430e-02
1.000000e+02 2.544000e+02 3.813000e+03 3.151555e-02
1.100000e+02 2.668000e+02 3.849000e+03 3.376833e-02
1.200000e+02 2.786000e+02 3.878000e+03 3.603859e-02
1.300000e+02 2.900000e+02 3.900000e+03 3.829191e-02
1.400000e+02 3.010000e+02 3.919000e+03 4.056242e-02
1.500000e+02 3.115000e+02 3.933000e+03 4.281612e-02
1.600000e+02 3.217000e+02 3.943000e+03 4.495342e-02
1.700000e+02 3.316000e+02 3.951000e+03 4.722425e-02
1.800000e+02 3.413000e+02 3.956000e+03 4.938188e-02
2.000000e+02 3.597000e+02 3.960000e+03 5.379405e-02
2.250000e+02 3.815000e+02 3.955000e+03 5.922584e-02
2.500000e+02 4.022000e+02 3.943000e+03 6.465818e-02
2.750000e+02 4.218000e+02 3.926000e+03 7.009094e-02
3.000000e+02 4.743000e+02 3.905000e+03 7.552404e-02
3.250000e+02 5.196000e+02 3.880000e+03 8.094165e-02
3.500000e+02 5.532000e+02 3.854000e+03 8.637529e-02
3.750000e+02 5.789000e+02 3.826000e+03 9.177521e-02
4.000000e+02 5.992000e+02 3.797000e+03 9.719393e-02
4.500000e+02 6.307000e+02 3.736000e+03 1.080293e-01
5.000000e+02 6.566000e+02 3.674000e+03 1.189626e-01
5.500000e+02 6.808000e+02 3.612000e+03 1.300765e-01
6.000000e+02 7.052000e+02 3.551000e+03 1.413034e-01
6.500000e+02 7.304000e+02 3.491000e+03 1.525164e-01
7.000000e+02 7.566000e+02 3.432000e+03 1.639225e-01
8.000000e+02 8.120000e+02 3.320000e+03 1.870488e-01
9.000000e+02 8.702000e+02 3.214000e+03 2.103560e-01
1.000000e+03 9.299000e+02 3.114000e+03 2.340562e-01
1.100000e+03 9.900000e+02 3.021000e+03 2.579378e-01
1.200000e+03 1.050000e+03 2.934000e+03 2.820172e-01
1.300000e+03 1.108000e+03 2.853000e+03 3.062785e-01
1.400000e+03 1.166000e+03 2.776000e+03 3.307376e-01
1.500000e+03 1.222000e+03 2.704000e+03 3.552813e-01
1.600000e+03 1.277000e+03 2.637000e+03 3.799247e-01
1.700000e+03 1.330000e+03 2.573000e+03 4.046400e-01
1.800000e+03 1.381000e+03 2.513000e+03 4.294535e-01
2.000000e+03 1.480000e+03 2.401000e+03 4.792975e-01
2.250000e+03 1.596000e+03 2.278000e+03 5.417546e-01
2.500000e+03 1.706000e+03 2.168000e+03 6.044468e-01
2.750000e+03 1.809000e+03 2.070000e+03 6.671075e-01
3.000000e+03 1.909000e+03 1.982000e+03 7.296256e-01
3.250000e+03 2.005000e+03 1.903000e+03 7.920025e-01
3.500000e+03 2.098000e+03 1.830000e+03 8.541398e-01
3.750000e+03 2.189000e+03 1.764000e+03 9.159517e-01
4.000000e+03 2.278000e+03 1.703000e+03 9.774383e-01
4.500000e+03 2.453000e+03 1.595000e+03 1.094636e+00
5.000000e+03 2.625000e+03 1.502000e+03 1.215439e+00
5.500000e+03 2.797000e+03 1.421000e+03 1.336130e+00
6.000000e+03 2.968000e+03 1.349000e+03 1.446827e+00
6.500000e+03 3.139000e+03 1.285000e+03 1.567298e+00
7.000000e+03 3.311000e+03 1.228000e+03 1.667901e+00
8.000000e+03 3.656000e+03 1.129000e+03 1.878843e+00
9.000000e+03 4.002000e+03 1.047000e+03 2.079579e+00
1.000000e+04 4.348000e+03 9.779000e+02 2.270139e+00
1.100000e+04 4.692000e+03 9.183000e+02 2.450586e+00
1.200000e+04 5.034000e+03 8.663000e+02 2.620938e+00
1.300000e+04 5.370000e+03 8.206000e+02 2.791148e+00
1.400000e+04 5.701000e+03 7.801000e+02 2.941386e+00
1.500000e+04 6.026000e+03 7.438000e+02 3.091526e+00
1.600000e+04 6.343000e+03 7.112000e+02 3.231644e+00
1.700000e+04 6.653000e+03 6.816000e+02 3.371705e+00
1.800000e+04 6.955000e+03 6.547000e+02 3.501765e+00
2.000000e+04 7.534000e+03 6.074000e+02 3.751873e+00
2.250000e+04 8.210000e+03 5.581000e+02 4.051894e+00
2.500000e+04 8.834000e+03 5.169000e+02 4.321875e+00
2.750000e+04 9.411000e+03 4.820000e+02 4.581787e+00
3.000000e+04 9.943000e+03 4.520000e+02 4.821673e+00
3.250000e+04 1.043000e+04 4.258000e+02 5.061505e+00
3.500000e+04 1.089000e+04 4.028000e+02 5.281348e+00
3.750000e+04 1.131000e+04 3.824000e+02 5.501165e+00
4.000000e+04 1.171000e+04 3.642000e+02 5.710976e+00
4.500000e+04 1.243000e+04 3.329000e+02 6.110737e+00
5.000000e+04 1.307000e+04 3.070000e+02 6.490474e+00
5.500000e+04 1.365000e+04 2.852000e+02 6.860183e+00
6.000000e+04 1.418000e+04 2.665000e+02 7.209907e+00
6.500000e+04 1.467000e+04 2.504000e+02 7.549625e+00
7.000000e+04 1.513000e+04 2.362000e+02 7.879350e+00
8.000000e+04 1.597000e+04 2.126000e+02 8.509074e+00
9.000000e+04 1.672000e+04 1.936000e+02 9.108774e+00
1.000000e+05 1.741000e+04 1.779000e+02 9.688467e+00
