# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 1.927000e+02 9.461000e+02 9.794897e-03
1.100000e+01 2.021000e+02 9.532000e+02 1.054562e-02
1.200000e+01 2.111000e+02 9.585000e+02 1.130575e-02
1.300000e+01 2.197000e+02 9.625000e+02 1.196746e-02
1.400000e+01 2.280000e+02 9.654000e+02 1.271888e-02
1.500000e+01 2.360000e+02 9.673000e+02 1.335440e-02
1.600000e+01 2.437000e+02 9.685000e+02 1.414143e-02
1.700000e+01 2.512000e+02 9.690000e+02 1.480338e-02
1.800000e+01 2.585000e+02 9.689000e+02 1.543924e-02
2.000000e+01 2.725000e+02 9.674000e+02 1.682766e-02
2.250000e+01 2.890000e+02 9.635000e+02 1.854778e-02
2.500000e+01 3.046000e+02 9.580000e+02 2.030222e-02
2.750000e+01 3.195000e+02 9.514000e+02 2.199818e-02
3.000000e+01 3.337000e+02 9.441000e+02 2.371940e-02
3.250000e+01 3.473000e+02 9.362000e+02 2.540807e-02
3.500000e+01 3.605000e+02 9.280000e+02 2.701444e-02
3.750000e+01 3.731000e+02 9.195000e+02 2.873656e-02
4.000000e+01 3.853000e+02 9.108000e+02 3.043501e-02
4.500000e+01 4.087000e+02 8.934000e+02 3.382470e-02
5.000000e+01 4.308000e+02 8.760000e+02 3.721572e-02
5.500000e+01 4.519000e+02 8.590000e+02 4.060776e-02
6.000000e+01 4.719000e+02 8.424000e+02 4.397795e-02
6.500000e+01 4.912000e+02 8.262000e+02 4.737151e-02
7.000000e+01 5.101000e+02 8.107000e+02 5.071351e-02
8.000000e+01 5.884000e+02 7.811000e+02 5.732975e-02
9.000000e+01 6.381000e+02 7.538000e+02 6.382664e-02
1.000000e+02 6.694000e+02 7.284000e+02 7.021097e-02
1.100000e+02 6.893000e+02 7.049000e+02 7.675708e-02
1.200000e+02 7.021000e+02 6.831000e+02 8.321208e-02
1.300000e+02 7.104000e+02 6.627000e+02 8.983663e-02
1.400000e+02 7.161000e+02 6.438000e+02 9.645792e-02
1.500000e+02 7.201000e+02 6.260000e+02 1.031816e-01
1.600000e+02 7.233000e+02 6.094000e+02 1.101165e-01
1.700000e+02 7.263000e+02 5.938000e+02 1.170082e-01
1.800000e+02 7.292000e+02 5.791000e+02 1.240414e-01
2.000000e+02 7.361000e+02 5.521000e+02 1.382391e-01
2.250000e+02 7.474000e+02 5.223000e+02 1.563396e-01
2.500000e+02 7.624000e+02 4.961000e+02 1.746393e-01
2.750000e+02 7.809000e+02 4.728000e+02 1.932105e-01
3.000000e+02 8.026000e+02 4.519000e+02 2.118441e-01
3.250000e+02 8.269000e+02 4.331000e+02 2.303631e-01
3.500000e+02 8.534000e+02 4.160000e+02 2.489666e-01
3.750000e+02 8.817000e+02 4.005000e+02 2.673416e-01
4.000000e+02 9.115000e+02 3.862000e+02 2.855089e-01
4.500000e+02 9.742000e+02 3.610000e+02 3.212811e-01
5.000000e+02 1.040000e+03 3.393000e+02 3.561690e-01
5.500000e+02 1.107000e+03 3.205000e+02 3.898643e-01
6.000000e+02 1.174000e+03 3.039000e+02 4.225173e-01
6.500000e+02 1.241000e+03 2.892000e+02 4.541267e-01
7.000000e+02 1.307000e+03 2.760000e+02 4.846590e-01
8.000000e+02 1.437000e+03 2.534000e+02 5.430468e-01
9.000000e+02 1.563000e+03 2.347000e+02 5.979845e-01
1.000000e+03 1.682000e+03 2.188000e+02 6.499228e-01
1.100000e+03 1.797000e+03 2.052000e+02 6.992657e-01
1.200000e+03 1.906000e+03 1.934000e+02 7.463771e-01
1.300000e+03 2.010000e+03 1.831000e+02 7.914086e-01
1.400000e+03 2.110000e+03 1.739000e+02 8.346100e-01
1.500000e+03 2.206000e+03 1.657000e+02 8.762875e-01
1.600000e+03 2.299000e+03 1.583000e+02 9.165257e-01
1.700000e+03 2.388000e+03 1.517000e+02 9.554600e-01
1.800000e+03 2.474000e+03 1.456000e+02 9.932738e-01
2.000000e+03 2.638000e+03 1.350000e+02 1.065372e+00
2.250000e+03 2.830000e+03 1.239000e+02 1.155284e+00
2.500000e+03 3.011000e+03 1.146000e+02 1.235215e+00
2.750000e+03 3.182000e+03 1.068000e+02 1.305190e+00
3.000000e+03 3.345000e+03 1.001000e+02 1.384974e+00
3.250000e+03 3.502000e+03 9.425000e+01 1.454855e+00
3.500000e+03 3.652000e+03 8.911000e+01 1.514779e+00
3.750000e+03 3.797000e+03 8.456000e+01 1.584593e+00
4.000000e+03 3.936000e+03 8.049000e+01 1.644473e+00
4.500000e+03 4.201000e+03 7.352000e+01 1.764228e+00
5.000000e+03 4.448000e+03 6.776000e+01 1.874004e+00
5.500000e+03 4.679000e+03 6.291000e+01 1.983742e+00
6.000000e+03 4.893000e+03 5.876000e+01 2.083532e+00
6.500000e+03 5.091000e+03 5.517000e+01 2.183301e+00
7.000000e+03 5.275000e+03 5.203000e+01 2.283057e+00
8.000000e+03 5.602000e+03 4.679000e+01 2.462724e+00
9.000000e+03 5.881000e+03 4.258000e+01 2.632423e+00
1.000000e+04 6.119000e+03 3.912000e+01 2.792145e+00
1.100000e+04 6.320000e+03 3.622000e+01 2.951860e+00
1.200000e+04 6.492000e+03 3.375000e+01 3.111579e+00
1.300000e+04 6.639000e+03 3.162000e+01 3.261335e+00
1.400000e+04 6.763000e+03 2.976000e+01 3.411104e+00
1.500000e+04 6.870000e+03 2.813000e+01 3.550905e+00
1.600000e+04 6.961000e+03 2.668000e+01 3.700682e+00
1.700000e+04 7.038000e+03 2.538000e+01 3.840491e+00
1.800000e+04 7.103000e+03 2.421000e+01 3.980314e+00
2.000000e+04 7.204000e+03 2.218000e+01 4.260057e+00
2.250000e+04 7.286000e+03 2.012000e+01 4.599831e+00
2.500000e+04 7.332000e+03 1.842000e+01 4.939614e+00
2.750000e+04 7.351000e+03 1.701000e+01 5.279416e+00
3.000000e+04 7.351000e+03 1.581000e+01 5.619232e+00
3.250000e+04 7.337000e+03 1.478000e+01 5.959067e+00
3.500000e+04 7.312000e+03 1.389000e+01 6.298912e+00
3.750000e+04 7.279000e+03 1.310000e+01 6.638777e+00
4.000000e+04 7.239000e+03 1.240000e+01 6.978651e+00
4.500000e+04 7.147000e+03 1.122000e+01 7.678730e+00
5.000000e+04 7.045000e+03 1.026000e+01 8.378807e+00
5.500000e+04 6.937000e+03 9.456000e+00 9.098867e+00
6.000000e+04 6.826000e+03 8.777000e+00 9.818940e+00
6.500000e+04 6.715000e+03 8.195000e+00 1.055900e+01
7.000000e+04 6.606000e+03 7.689000e+00 1.130907e+01
8.000000e+04 6.442000e+03 6.854000e+00 1.284011e+01
9.000000e+04 6.222000e+03 6.191000e+00 1.442100e+01
1.000000e+05 6.028000e+03 5.651000e+00 1.605180e+01
