# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 9.075000e+01 1.479000e+03 8.243179e-03
1.100000e+01 9.518000e+01 1.507000e+03 8.789198e-03
1.200000e+01 9.942000e+01 1.530000e+03 9.302688e-03
1.300000e+01 1.035000e+02 1.551000e+03 9.848858e-03
1.400000e+01 1.074000e+02 1.570000e+03 1.036291e-02
1.500000e+01 1.112000e+02 1.587000e+03 1.093343e-02
1.600000e+01 1.148000e+02 1.601000e+03 1.135606e-02
1.700000e+01 1.183000e+02 1.615000e+03 1.187055e-02
1.800000e+01 1.218000e+02 1.627000e+03 1.241652e-02
2.000000e+01 1.283000e+02 1.647000e+03 1.338544e-02
2.250000e+01 1.361000e+02 1.667000e+03 1.465435e-02
2.500000e+01 1.435000e+02 1.682000e+03 1.580791e-02
2.750000e+01 1.505000e+02 1.694000e+03 1.698529e-02
3.000000e+01 1.572000e+02 1.703000e+03 1.826198e-02
3.250000e+01 1.636000e+02 1.709000e+03 1.941649e-02
3.500000e+01 1.698000e+02 1.714000e+03 2.059393e-02
3.750000e+01 1.757000e+02 1.717000e+03 2.174879e-02
4.000000e+01 1.815000e+02 1.718000e+03 2.292640e-02
4.500000e+01 1.925000e+02 1.718000e+03 2.523688e-02
5.000000e+01 2.029000e+02 1.714000e+03 2.757009e-02
5.500000e+01 2.128000e+02 1.707000e+03 2.997499e-02
6.000000e+01 2.223000e+02 1.699000e+03 3.230867e-02
6.500000e+01 2.314000e+02 1.690000e+03 3.462095e-02
7.000000e+01 2.401000e+02 1.679000e+03 3.693359e-02
8.000000e+01 2.567000e+02 1.656000e+03 4.167433e-02
9.000000e+01 2.723000e+02 1.632000e+03 4.638836e-02
1.000000e+02 2.870000e+02 1.606000e+03 5.120391e-02
1.100000e+02 3.010000e+02 1.581000e+03 5.601375e-02
1.200000e+02 3.208000e+02 1.555000e+03 6.092512e-02
1.300000e+02 3.551000e+02 1.530000e+03 6.573622e-02
1.400000e+02 3.782000e+02 1.505000e+03 7.062273e-02
1.500000e+02 3.938000e+02 1.481000e+03 7.552946e-02
1.600000e+02 4.046000e+02 1.457000e+03 8.041729e-02
1.700000e+02 4.124000e+02 1.435000e+03 8.529959e-02
1.800000e+02 4.183000e+02 1.413000e+03 9.037832e-02
2.000000e+02 4.279000e+02 1.370000e+03 1.005565e-01
2.250000e+02 4.394000e+02 1.321000e+03 1.135270e-01
2.500000e+02 4.531000e+02 1.276000e+03 1.267616e-01
2.750000e+02 4.694000e+02 1.234000e+03 1.403271e-01
3.000000e+02 4.881000e+02 1.195000e+03 1.540623e-01
3.250000e+02 5.088000e+02 1.158000e+03 1.679910e-01
3.500000e+02 5.311000e+02 1.124000e+03 1.820176e-01
3.750000e+02 5.544000e+02 1.093000e+03 1.961195e-01
4.000000e+02 5.784000e+02 1.063000e+03 2.103367e-01
4.500000e+02 6.274000e+02 1.010000e+03 2.389292e-01
5.000000e+02 6.762000e+02 9.619000e+02 2.675815e-01
5.500000e+02 7.239000e+02 9.192000e+02 2.961815e-01
6.000000e+02 7.702000e+02 8.808000e+02 3.247469e-01
6.500000e+02 8.148000e+02 8.460000e+02 3.532016e-01
7.000000e+02 8.577000e+02 8.142000e+02 3.815865e-01
8.000000e+02 9.389000e+02 7.585000e+02 4.377052e-01
9.000000e+02 1.015000e+03 7.110000e+02 4.931179e-01
1.000000e+03 1.087000e+03 6.699000e+02 5.477156e-01
1.100000e+03 1.156000e+03 6.340000e+02 6.014185e-01
1.200000e+03 1.224000e+03 6.023000e+02 6.541307e-01
1.300000e+03 1.290000e+03 5.741000e+02 7.059673e-01
1.400000e+03 1.356000e+03 5.488000e+02 7.567648e-01
1.500000e+03 1.422000e+03 5.259000e+02 8.064767e-01
1.600000e+03 1.488000e+03 5.052000e+02 8.551640e-01
1.700000e+03 1.554000e+03 4.862000e+02 9.027812e-01
1.800000e+03 1.621000e+03 4.688000e+02 9.494706e-01
2.000000e+03 1.757000e+03 4.380000e+02 1.040833e+00
2.250000e+03 1.930000e+03 4.054000e+02 1.141630e+00
2.500000e+03 2.108000e+03 3.779000e+02 1.242139e+00
2.750000e+03 2.289000e+03 3.543000e+02 1.342430e+00
3.000000e+03 2.473000e+03 3.338000e+02 1.432710e+00
3.250000e+03 2.659000e+03 3.158000e+02 1.512975e+00
3.500000e+03 2.845000e+03 2.999000e+02 1.593103e+00
3.750000e+03 3.031000e+03 2.857000e+02 1.673139e+00
4.000000e+03 3.217000e+03 2.729000e+02 1.743206e+00
4.500000e+03 3.585000e+03 2.509000e+02 1.873315e+00
5.000000e+03 3.944000e+03 2.325000e+02 1.993287e+00
5.500000e+03 4.292000e+03 2.168000e+02 2.113113e+00
6.000000e+03 4.627000e+03 2.034000e+02 2.213018e+00
6.500000e+03 4.949000e+03 1.917000e+02 2.312830e+00
7.000000e+03 5.256000e+03 1.813000e+02 2.402687e+00
8.000000e+03 5.826000e+03 1.640000e+02 2.582275e+00
9.000000e+03 6.341000e+03 1.500000e+02 2.741899e+00
1.000000e+04 6.802000e+03 1.384000e+02 2.881590e+00
1.100000e+04 7.215000e+03 1.286000e+02 3.021204e+00
1.200000e+04 7.585000e+03 1.202000e+02 3.160795e+00
1.300000e+04 7.917000e+03 1.129000e+02 3.280486e+00
1.400000e+04 8.216000e+03 1.065000e+02 3.400157e+00
1.500000e+04 8.485000e+03 1.009000e+02 3.519824e+00
1.600000e+04 8.728000e+03 9.591000e+01 3.639484e+00
1.700000e+04 8.949000e+03 9.142000e+01 3.749200e+00
1.800000e+04 9.150000e+03 8.736000e+01 3.858904e+00
2.000000e+04 9.505000e+03 8.032000e+01 4.068433e+00
2.250000e+04 9.875000e+03 7.308000e+01 4.317920e+00
2.500000e+04 1.019000e+04 6.713000e+01 4.567410e+00
2.750000e+04 1.045000e+04 6.214000e+01 4.806952e+00
3.000000e+04 1.068000e+04 5.790000e+01 5.036534e+00
3.250000e+04 1.088000e+04 5.424000e+01 5.266140e+00
3.500000e+04 1.105000e+04 5.104000e+01 5.495760e+00
3.750000e+04 1.121000e+04 4.823000e+01 5.715415e+00
4.000000e+04 1.134000e+04 4.574000e+01 5.935097e+00
4.500000e+04 1.158000e+04 4.150000e+01 6.374628e+00
5.000000e+04 1.176000e+04 3.802000e+01 6.804212e+00
5.500000e+04 1.191000e+04 3.512000e+01 7.223846e+00
6.000000e+04 1.203000e+04 3.266000e+01 7.633518e+00
6.500000e+04 1.213000e+04 3.055000e+01 8.043210e+00
7.000000e+04 1.220000e+04 2.870000e+01 8.452923e+00
8.000000e+04 1.230000e+04 2.565000e+01 9.272759e+00
9.000000e+04 1.234000e+04 2.322000e+01 1.008261e+01
1.000000e+05 1.234000e+04 2.124000e+01 1.089247e+01
