# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 1.235000e+02 1.343000e+03 8.517042e-03
1.100000e+01 1.296000e+02 1.364000e+03 9.029396e-03
1.200000e+01 1.353000e+02 1.382000e+03 9.666437e-03
1.300000e+01 1.409000e+02 1.398000e+03 1.023768e-02
1.400000e+01 1.462000e+02 1.412000e+03 1.075081e-02
1.500000e+01 1.513000e+02 1.424000e+03 1.129690e-02
1.600000e+01 1.563000e+02 1.434000e+03 1.181059e-02
1.700000e+01 1.611000e+02 1.444000e+03 1.238144e-02
1.800000e+01 1.658000e+02 1.452000e+03 1.292749e-02
2.000000e+01 1.747000e+02 1.465000e+03 1.398749e-02
2.250000e+01 1.853000e+02 1.478000e+03 1.534731e-02
2.500000e+01 1.953000e+02 1.486000e+03 1.664722e-02
2.750000e+01 2.049000e+02 1.492000e+03 1.792345e-02
3.000000e+01 2.140000e+02 1.495000e+03 1.919245e-02
3.250000e+01 2.227000e+02 1.496000e+03 2.049244e-02
3.500000e+01 2.311000e+02 1.496000e+03 2.173868e-02
3.750000e+01 2.392000e+02 1.495000e+03 2.313115e-02
4.000000e+01 2.471000e+02 1.492000e+03 2.437827e-02
4.500000e+01 2.621000e+02 1.485000e+03 2.692582e-02
5.000000e+01 2.763000e+02 1.476000e+03 2.944435e-02
5.500000e+01 2.897000e+02 1.465000e+03 3.199266e-02
6.000000e+01 3.026000e+02 1.452000e+03 3.454113e-02
6.500000e+01 3.150000e+02 1.439000e+03 3.706103e-02
7.000000e+01 3.269000e+02 1.426000e+03 3.970327e-02
8.000000e+01 3.494000e+02 1.398000e+03 4.484551e-02
9.000000e+01 3.706000e+02 1.370000e+03 4.998210e-02
1.000000e+02 3.907000e+02 1.343000e+03 5.522056e-02
1.100000e+02 4.073000e+02 1.315000e+03 6.045321e-02
1.200000e+02 4.240000e+02 1.289000e+03 6.578754e-02
1.300000e+02 4.420000e+02 1.264000e+03 7.109613e-02
1.400000e+02 4.606000e+02 1.239000e+03 7.650026e-02
1.500000e+02 4.792000e+02 1.215000e+03 8.183031e-02
1.600000e+02 4.977000e+02 1.193000e+03 8.723606e-02
1.700000e+02 5.158000e+02 1.171000e+03 9.273732e-02
1.800000e+02 5.334000e+02 1.150000e+03 9.813837e-02
2.000000e+02 5.670000e+02 1.110000e+03 1.091194e-01
2.250000e+02 6.055000e+02 1.065000e+03 1.228880e-01
2.500000e+02 6.402000e+02 1.024000e+03 1.368505e-01
2.750000e+02 6.717000e+02 9.858000e+02 1.507690e-01
3.000000e+02 7.002000e+02 9.512000e+02 1.647866e-01
3.250000e+02 7.265000e+02 9.193000e+02 1.789808e-01
3.500000e+02 7.508000e+02 8.899000e+02 1.931733e-01
3.750000e+02 7.736000e+02 8.626000e+02 2.073291e-01
4.000000e+02 7.952000e+02 8.372000e+02 2.216799e-01
4.500000e+02 8.359000e+02 7.913000e+02 2.504857e-01
5.000000e+02 8.745000e+02 7.510000e+02 2.793345e-01
5.500000e+02 9.120000e+02 7.153000e+02 3.083480e-01
6.000000e+02 9.492000e+02 6.833000e+02 3.373109e-01
6.500000e+02 9.866000e+02 6.546000e+02 3.661688e-01
7.000000e+02 1.024000e+03 6.285000e+02 3.949610e-01
8.000000e+02 1.102000e+03 5.830000e+02 4.518029e-01
9.000000e+02 1.182000e+03 5.446000e+02 5.076561e-01
1.000000e+03 1.266000e+03 5.116000e+02 5.620683e-01
1.100000e+03 1.352000e+03 4.829000e+02 6.150085e-01
1.200000e+03 1.441000e+03 4.577000e+02 6.663632e-01
1.300000e+03 1.532000e+03 4.354000e+02 7.159674e-01
1.400000e+03 1.624000e+03 4.154000e+02 7.638731e-01
1.500000e+03 1.718000e+03 3.975000e+02 8.102379e-01
1.600000e+03 1.813000e+03 3.812000e+02 8.549484e-01
1.700000e+03 1.908000e+03 3.664000e+02 8.981159e-01
1.800000e+03 2.004000e+03 3.528000e+02 9.398528e-01
2.000000e+03 2.195000e+03 3.289000e+02 1.018452e+00
2.250000e+03 2.434000e+03 3.036000e+02 1.108839e+00
2.500000e+03 2.668000e+03 2.824000e+02 1.198999e+00
2.750000e+03 2.898000e+03 2.643000e+02 1.279130e+00
3.000000e+03 3.121000e+03 2.486000e+02 1.349269e+00
3.250000e+03 3.338000e+03 2.349000e+02 1.419298e+00
3.500000e+03 3.548000e+03 2.228000e+02 1.489235e+00
3.750000e+03 3.751000e+03 2.120000e+02 1.549242e+00
4.000000e+03 3.947000e+03 2.023000e+02 1.609176e+00
4.500000e+03 4.318000e+03 1.856000e+02 1.728980e+00
5.000000e+03 4.661000e+03 1.717000e+02 1.828863e+00
5.500000e+03 4.980000e+03 1.600000e+02 1.928661e+00
6.000000e+03 5.276000e+03 1.499000e+02 2.018479e+00
6.500000e+03 5.550000e+03 1.411000e+02 2.108259e+00
7.000000e+03 5.804000e+03 1.334000e+02 2.197992e+00
8.000000e+03 6.259000e+03 1.204000e+02 2.357632e+00
9.000000e+03 6.653000e+03 1.100000e+02 2.507263e+00
1.000000e+04 6.996000e+03 1.013000e+02 2.646917e+00
1.100000e+04 7.296000e+03 9.406000e+01 2.786558e+00
1.200000e+04 7.560000e+03 8.784000e+01 2.916244e+00
1.300000e+04 7.793000e+03 8.246000e+01 3.045918e+00
1.400000e+04 8.001000e+03 7.776000e+01 3.175586e+00
1.500000e+04 8.187000e+03 7.361000e+01 3.295309e+00
1.600000e+04 8.355000e+03 6.991000e+01 3.415042e+00
1.700000e+04 8.508000e+03 6.660000e+01 3.524815e+00
1.800000e+04 8.647000e+03 6.361000e+01 3.644552e+00
2.000000e+04 8.893000e+03 5.843000e+01 3.874135e+00
2.250000e+04 9.150000e+03 5.311000e+01 4.143741e+00
2.500000e+04 9.366000e+03 4.874000e+01 4.413356e+00
2.750000e+04 9.549000e+03 4.509000e+01 4.673009e+00
3.000000e+04 9.706000e+03 4.198000e+01 4.932679e+00
3.250000e+04 9.840000e+03 3.930000e+01 5.182392e+00
3.500000e+04 9.956000e+03 3.697000e+01 5.432116e+00
3.750000e+04 1.006000e+04 3.492000e+01 5.681855e+00
4.000000e+04 1.014000e+04 3.310000e+01 5.931606e+00
4.500000e+04 1.028000e+04 3.000000e+01 6.421348e+00
5.000000e+04 1.038000e+04 2.748000e+01 6.901121e+00
5.500000e+04 1.046000e+04 2.537000e+01 7.380910e+00
6.000000e+04 1.050000e+04 2.358000e+01 7.850720e+00
6.500000e+04 1.053000e+04 2.204000e+01 8.330537e+00
7.000000e+04 1.055000e+04 2.070000e+01 8.800379e+00
8.000000e+04 1.054000e+04 1.849000e+01 9.750548e+00
9.000000e+04 1.049000e+04 1.672000e+01 1.070068e+01
1.000000e+05 1.042000e+04 1.529000e+01 1.165080e+01
