# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 8.926000e+01 2.172000e+03 7.527284e-03
1.100000e+01 9.362000e+01 2.243000e+03 7.856844e-03
1.200000e+01 9.778000e+01 2.309000e+03 8.260751e-03
1.300000e+01 1.018000e+02 2.369000e+03 8.658522e-03
1.400000e+01 1.056000e+02 2.425000e+03 8.987769e-03
1.500000e+01 1.093000e+02 2.477000e+03 9.392018e-03
1.600000e+01 1.129000e+02 2.525000e+03 9.721111e-03
1.700000e+01 1.164000e+02 2.571000e+03 1.005037e-02
1.800000e+01 1.198000e+02 2.614000e+03 1.042929e-02
2.000000e+01 1.262000e+02 2.693000e+03 1.106797e-02
2.250000e+01 1.339000e+02 2.780000e+03 1.189075e-02
2.500000e+01 1.411000e+02 2.858000e+03 1.262418e-02
2.750000e+01 1.480000e+02 2.927000e+03 1.337685e-02
3.000000e+01 1.546000e+02 2.988000e+03 1.418097e-02
3.250000e+01 1.609000e+02 3.044000e+03 1.491442e-02
3.500000e+01 1.670000e+02 3.095000e+03 1.552868e-02
3.750000e+01 1.729000e+02 3.142000e+03 1.625731e-02
4.000000e+01 1.785000e+02 3.184000e+03 1.699059e-02
4.500000e+01 1.894000e+02 3.259000e+03 1.831529e-02
5.000000e+01 1.996000e+02 3.324000e+03 1.966342e-02
5.500000e+01 2.093000e+02 3.379000e+03 2.101166e-02
6.000000e+01 2.186000e+02 3.427000e+03 2.225983e-02
6.500000e+01 2.276000e+02 3.469000e+03 2.349000e-02
7.000000e+01 2.362000e+02 3.506000e+03 2.474247e-02
8.000000e+01 2.525000e+02 3.568000e+03 2.720349e-02
9.000000e+01 2.678000e+02 3.615000e+03 2.968670e-02
1.000000e+02 2.823000e+02 3.653000e+03 3.203498e-02
1.100000e+02 2.961000e+02 3.682000e+03 3.442238e-02
1.200000e+02 3.092000e+02 3.705000e+03 3.678872e-02
1.300000e+02 3.218000e+02 3.722000e+03 3.904177e-02
1.400000e+02 3.340000e+02 3.735000e+03 4.140857e-02
1.500000e+02 3.457000e+02 3.744000e+03 4.366211e-02
1.600000e+02 3.571000e+02 3.750000e+03 4.604954e-02
1.700000e+02 3.680000e+02 3.754000e+03 4.830331e-02
1.800000e+02 3.787000e+02 3.755000e+03 5.057401e-02
2.000000e+02 3.992000e+02 3.752000e+03 5.508221e-02
2.250000e+02 4.234000e+02 3.739000e+03 6.081982e-02
2.500000e+02 4.463000e+02 3.721000e+03 6.646458e-02
2.750000e+02 4.669000e+02 3.698000e+03 7.220651e-02
3.000000e+02 4.879000e+02 3.672000e+03 7.783290e-02
3.250000e+02 5.113000e+02 3.643000e+03 8.357559e-02
3.500000e+02 5.355000e+02 3.613000e+03 8.929978e-02
3.750000e+02 5.596000e+02 3.582000e+03 9.502442e-02
4.000000e+02 5.831000e+02 3.550000e+03 1.007494e-01
4.500000e+02 6.277000e+02 3.485000e+03 1.123004e-01
5.000000e+02 6.689000e+02 3.420000e+03 1.239467e-01
5.500000e+02 7.067000e+02 3.355000e+03 1.355789e-01
6.000000e+02 7.417000e+02 3.292000e+03 1.474216e-01
6.500000e+02 7.742000e+02 3.231000e+03 1.593477e-01
7.000000e+02 8.047000e+02 3.172000e+03 1.712892e-01
8.000000e+02 8.617000e+02 3.059000e+03 1.956156e-01
9.000000e+02 9.149000e+02 2.954000e+03 2.202520e-01
1.000000e+03 9.661000e+02 2.856000e+03 2.452814e-01
1.100000e+03 1.016000e+03 2.766000e+03 2.705901e-01
1.200000e+03 1.065000e+03 2.681000e+03 2.960965e-01
1.300000e+03 1.114000e+03 2.603000e+03 3.219807e-01
1.400000e+03 1.163000e+03 2.529000e+03 3.479497e-01
1.500000e+03 1.212000e+03 2.460000e+03 3.742298e-01
1.600000e+03 1.261000e+03 2.396000e+03 4.005798e-01
1.700000e+03 1.309000e+03 2.335000e+03 4.270300e-01
1.800000e+03 1.358000e+03 2.278000e+03 4.535671e-01
2.000000e+03 1.454000e+03 2.173000e+03 5.069392e-01
2.250000e+03 1.573000e+03 2.057000e+03 5.737644e-01
2.500000e+03 1.691000e+03 1.954000e+03 6.404055e-01
2.750000e+03 1.806000e+03 1.863000e+03 7.067935e-01
3.000000e+03 1.920000e+03 1.781000e+03 7.727446e-01
3.250000e+03 2.031000e+03 1.708000e+03 8.381358e-01
3.500000e+03 2.140000e+03 1.641000e+03 9.028823e-01
3.750000e+03 2.247000e+03 1.580000e+03 9.669102e-01
4.000000e+03 2.353000e+03 1.524000e+03 1.034325e+00
4.500000e+03 2.558000e+03 1.425000e+03 1.155298e+00
