# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 1.275000e+02 4.113000e+02 1.681577e-02
1.100000e+01 1.337000e+02 4.075000e+02 1.825952e-02
1.200000e+01 1.397000e+02 4.034000e+02 1.974538e-02
1.300000e+01 1.454000e+02 3.992000e+02 2.119009e-02
1.400000e+01 1.509000e+02 3.949000e+02 2.263537e-02
1.500000e+01 1.562000e+02 3.905000e+02 2.420826e-02
1.600000e+01 1.613000e+02 3.862000e+02 2.562557e-02
1.700000e+01 1.662000e+02 3.818000e+02 2.707194e-02
1.800000e+01 1.711000e+02 3.775000e+02 2.864559e-02
2.000000e+01 1.803000e+02 3.691000e+02 3.159889e-02
2.250000e+01 1.913000e+02 3.590000e+02 3.533002e-02
2.500000e+01 2.016000e+02 3.493000e+02 3.907365e-02
2.750000e+01 2.114000e+02 3.402000e+02 4.286922e-02
3.000000e+01 2.208000e+02 3.315000e+02 4.666680e-02
3.250000e+01 2.299000e+02 3.233000e+02 5.046593e-02
3.500000e+01 2.385000e+02 3.155000e+02 5.423007e-02
3.750000e+01 2.469000e+02 3.082000e+02 5.803172e-02
4.000000e+01 2.710000e+02 3.012000e+02 6.176326e-02
4.500000e+01 3.098000e+02 2.883000e+02 6.896151e-02
5.000000e+01 3.327000e+02 2.766000e+02 7.601375e-02
5.500000e+01 3.465000e+02 2.660000e+02 8.301114e-02
6.000000e+01 3.554000e+02 2.563000e+02 9.007158e-02
6.500000e+01 3.618000e+02 2.474000e+02 9.713707e-02
7.000000e+01 3.671000e+02 2.392000e+02 1.043046e-01
8.000000e+01 3.772000e+02 2.246000e+02 1.188337e-01
9.000000e+01 3.887000e+02 2.119000e+02 1.334704e-01
1.000000e+02 4.024000e+02 2.008000e+02 1.482231e-01
1.100000e+02 4.182000e+02 1.910000e+02 1.628671e-01
1.200000e+02 4.357000e+02 1.823000e+02 1.774938e-01
1.300000e+02 4.546000e+02 1.745000e+02 1.918435e-01
1.400000e+02 4.745000e+02 1.674000e+02 2.060563e-01
1.500000e+02 4.949000e+02 1.609000e+02 2.199481e-01
1.600000e+02 5.158000e+02 1.550000e+02 2.336340e-01
1.700000e+02 5.369000e+02 1.496000e+02 2.470451e-01
1.800000e+02 5.581000e+02 1.446000e+02 2.601557e-01
2.000000e+02 6.001000e+02 1.357000e+02 2.855971e-01
2.250000e+02 6.512000e+02 1.262000e+02 3.159612e-01
2.500000e+02 7.003000e+02 1.181000e+02 3.448075e-01
