# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 1.055000e+02 1.433000e+03 8.276473e-03
1.100000e+01 1.107000e+02 1.458000e+03 8.789198e-03
1.200000e+01 1.156000e+02 1.480000e+03 9.335416e-03
1.300000e+01 1.203000e+02 1.499000e+03 9.873702e-03
1.400000e+01 1.249000e+02 1.516000e+03 1.041969e-02
1.500000e+01 1.292000e+02 1.531000e+03 1.093343e-02
1.600000e+01 1.335000e+02 1.544000e+03 1.147955e-02
1.700000e+01 1.376000e+02 1.556000e+03 1.199375e-02
1.800000e+01 1.416000e+02 1.567000e+03 1.253994e-02
2.000000e+01 1.492000e+02 1.584000e+03 1.350148e-02
2.250000e+01 1.583000e+02 1.602000e+03 1.477735e-02
2.500000e+01 1.669000e+02 1.614000e+03 1.604649e-02
2.750000e+01 1.750000e+02 1.624000e+03 1.723079e-02
3.000000e+01 1.828000e+02 1.631000e+03 1.850027e-02
3.250000e+01 1.902000e+02 1.635000e+03 1.965452e-02
3.500000e+01 1.974000e+02 1.638000e+03 2.095447e-02
3.750000e+01 2.044000e+02 1.639000e+03 2.210905e-02
4.000000e+01 2.111000e+02 1.639000e+03 2.328648e-02
4.500000e+01 2.239000e+02 1.636000e+03 2.568949e-02
5.000000e+01 2.360000e+02 1.630000e+03 2.811565e-02
5.500000e+01 2.475000e+02 1.622000e+03 3.047770e-02
6.000000e+01 2.585000e+02 1.612000e+03 3.288252e-02
6.500000e+01 2.690000e+02 1.601000e+03 3.530949e-02
7.000000e+01 2.792000e+02 1.589000e+03 3.771538e-02
8.000000e+01 2.985000e+02 1.564000e+03 4.254950e-02
9.000000e+01 3.166000e+02 1.538000e+03 4.738449e-02
1.000000e+02 3.337000e+02 1.511000e+03 5.231415e-02
1.100000e+02 3.500000e+02 1.485000e+03 5.724448e-02
1.200000e+02 3.887000e+02 1.459000e+03 6.222299e-02
1.300000e+02 4.220000e+02 1.433000e+03 6.712831e-02
1.400000e+02 4.468000e+02 1.409000e+03 7.206032e-02
1.500000e+02 4.655000e+02 1.384000e+03 7.704168e-02
1.600000e+02 4.799000e+02 1.361000e+03 8.192301e-02
1.700000e+02 4.914000e+02 1.338000e+03 8.692526e-02
1.800000e+02 5.008000e+02 1.317000e+03 9.200359e-02
2.000000e+02 5.159000e+02 1.275000e+03 1.021812e-01
2.250000e+02 5.314000e+02 1.227000e+03 1.152217e-01
2.500000e+02 5.458000e+02 1.183000e+03 1.285699e-01
2.750000e+02 5.604000e+02 1.142000e+03 1.420934e-01
3.000000e+02 5.758000e+02 1.104000e+03 1.558288e-01
3.250000e+02 5.920000e+02 1.070000e+03 1.697349e-01
3.500000e+02 6.092000e+02 1.037000e+03 1.838353e-01
3.750000e+02 6.272000e+02 1.007000e+03 1.980340e-01
4.000000e+02 6.459000e+02 9.792000e+02 2.124268e-01
4.500000e+02 6.850000e+02 9.281000e+02 2.414060e-01
5.000000e+02 7.256000e+02 8.830000e+02 2.705422e-01
5.500000e+02 7.671000e+02 8.428000e+02 2.998368e-01
6.000000e+02 8.091000e+02 8.067000e+02 3.290047e-01
6.500000e+02 8.513000e+02 7.740000e+02 3.581193e-01
7.000000e+02 8.935000e+02 7.443000e+02 3.871079e-01
8.000000e+02 9.772000e+02 6.923000e+02 4.444129e-01
9.000000e+02 1.060000e+03 6.481000e+02 5.005918e-01
1.000000e+03 1.141000e+03 6.100000e+02 5.555693e-01
1.100000e+03 1.221000e+03 5.767000e+02 6.093274e-01
1.200000e+03 1.300000e+03 5.474000e+02 6.617083e-01
