# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 1.059000e+02 1.639000e+03 7.854935e-03
1.100000e+01 1.111000e+02 1.674000e+03 8.369588e-03
1.200000e+01 1.161000e+02 1.705000e+03 8.792611e-03
1.300000e+01 1.208000e+02 1.732000e+03 9.338629e-03
1.400000e+01 1.254000e+02 1.757000e+03 9.761660e-03
1.500000e+01 1.298000e+02 1.780000e+03 1.018479e-02
1.600000e+01 1.340000e+02 1.801000e+03 1.070047e-02
1.700000e+01 1.381000e+02 1.819000e+03 1.112385e-02
1.800000e+01 1.421000e+02 1.836000e+03 1.157713e-02
2.000000e+01 1.498000e+02 1.866000e+03 1.251639e-02
2.250000e+01 1.589000e+02 1.897000e+03 1.357829e-02
2.500000e+01 1.675000e+02 1.922000e+03 1.464036e-02
2.750000e+01 1.757000e+02 1.942000e+03 1.567354e-02
3.000000e+01 1.835000e+02 1.959000e+03 1.673589e-02
3.250000e+01 1.910000e+02 1.973000e+03 1.776992e-02
3.500000e+01 1.982000e+02 1.984000e+03 1.883242e-02
3.750000e+01 2.052000e+02 1.993000e+03 1.980152e-02
4.000000e+01 2.119000e+02 2.000000e+03 2.083603e-02
4.500000e+01 2.247000e+02 2.010000e+03 2.283988e-02
5.000000e+01 2.369000e+02 2.015000e+03 2.484391e-02
5.500000e+01 2.485000e+02 2.017000e+03 2.684809e-02
6.000000e+01 2.595000e+02 2.016000e+03 2.885238e-02
6.500000e+01 2.701000e+02 2.012000e+03 3.080909e-02
7.000000e+01 2.803000e+02 2.007000e+03 3.281372e-02
8.000000e+01 2.997000e+02 1.993000e+03 3.677635e-02
9.000000e+01 3.178000e+02 1.975000e+03 4.076579e-02
1.000000e+02 3.350000e+02 1.955000e+03 4.482432e-02
1.100000e+02 3.514000e+02 1.934000e+03 4.878893e-02
1.200000e+02 3.670000e+02 1.912000e+03 5.284875e-02
1.300000e+02 3.820000e+02 1.889000e+03 5.681417e-02
