# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 8.573000e+01 1.677000e+03 7.915807e-03
1.100000e+01 8.991000e+01 1.714000e+03 8.369588e-03
1.200000e+01 9.391000e+01 1.748000e+03 8.884819e-03
1.300000e+01 9.775000e+01 1.778000e+03 9.308061e-03
1.400000e+01 1.014000e+02 1.805000e+03 9.823950e-03
1.500000e+01 1.050000e+02 1.829000e+03 1.027716e-02
1.600000e+01 1.084000e+02 1.852000e+03 1.070047e-02
1.700000e+01 1.118000e+02 1.872000e+03 1.121651e-02
1.800000e+01 1.150000e+02 1.891000e+03 1.164002e-02
2.000000e+01 1.212000e+02 1.924000e+03 1.246435e-02
2.250000e+01 1.286000e+02 1.958000e+03 1.354917e-02
2.500000e+01 1.356000e+02 1.986000e+03 1.461130e-02
2.750000e+01 1.422000e+02 2.010000e+03 1.564513e-02
3.000000e+01 1.485000e+02 2.029000e+03 1.670748e-02
3.250000e+01 1.546000e+02 2.045000e+03 1.774204e-02
3.500000e+01 1.604000e+02 2.059000e+03 1.871096e-02
3.750000e+01 1.660000e+02 2.070000e+03 1.974589e-02
4.000000e+01 1.715000e+02 2.080000e+03 2.071473e-02
4.500000e+01 1.819000e+02 2.093000e+03 2.269736e-02
5.000000e+01 1.917000e+02 2.102000e+03 2.467468e-02
5.500000e+01 2.011000e+02 2.106000e+03 2.667921e-02
6.000000e+01 2.100000e+02 2.108000e+03 2.866304e-02
6.500000e+01 2.186000e+02 2.107000e+03 3.064148e-02
7.000000e+01 2.268000e+02 2.104000e+03 3.255196e-02
8.000000e+01 2.425000e+02 2.094000e+03 3.651534e-02
9.000000e+01 2.572000e+02 2.079000e+03 4.036496e-02
1.000000e+02 2.711000e+02 2.062000e+03 4.432979e-02
1.100000e+02 2.843000e+02 2.042000e+03 4.827007e-02
1.200000e+02 2.970000e+02 2.022000e+03 5.223581e-02
1.300000e+02 3.091000e+02 2.001000e+03 5.618265e-02
1.400000e+02 3.208000e+02 1.979000e+03 6.014890e-02
1.500000e+02 3.295000e+02 1.957000e+03 6.418621e-02
1.600000e+02 3.309000e+02 1.935000e+03 6.822939e-02
1.700000e+02 3.351000e+02 1.913000e+03 7.238681e-02
1.800000e+02 3.413000e+02 1.892000e+03 7.652072e-02
2.000000e+02 3.580000e+02 1.849000e+03 8.491396e-02
2.250000e+02 3.833000e+02 1.798000e+03 9.545732e-02
2.500000e+02 4.108000e+02 1.750000e+03 1.062166e-01
2.750000e+02 4.386000e+02 1.704000e+03 1.170503e-01
3.000000e+02 4.656000e+02 1.660000e+03 1.280036e-01
3.250000e+02 4.914000e+02 1.619000e+03 1.391277e-01
3.500000e+02 5.157000e+02 1.579000e+03 1.502314e-01
3.750000e+02 5.385000e+02 1.542000e+03 1.614542e-01
4.000000e+02 5.598000e+02 1.507000e+03 1.727529e-01
4.500000e+02 5.981000e+02 1.442000e+03 1.956639e-01
5.000000e+02 6.317000e+02 1.383000e+03 2.189601e-01
5.500000e+02 6.614000e+02 1.330000e+03 2.425295e-01
6.000000e+02 6.883000e+02 1.281000e+03 2.663924e-01
6.500000e+02 7.129000e+02 1.236000e+03 2.905135e-01
7.000000e+02 7.359000e+02 1.195000e+03 3.149446e-01
8.000000e+02 7.789000e+02 1.121000e+03 3.646068e-01
9.000000e+02 8.199000e+02 1.058000e+03 4.149853e-01
1.000000e+03 8.606000e+02 1.002000e+03 4.659219e-01
1.100000e+03 9.020000e+02 9.531000e+02 5.173202e-01
1.200000e+03 9.447000e+02 9.092000e+02 5.687762e-01
1.300000e+03 9.890000e+02 8.699000e+02 6.203860e-01
1.400000e+03 1.035000e+03 8.343000e+02 6.717312e-01
1.500000e+03 1.083000e+03 8.020000e+02 7.228434e-01
1.600000e+03 1.133000e+03 7.725000e+02 7.734438e-01
1.700000e+03 1.185000e+03 7.454000e+02 8.235713e-01
1.800000e+03 1.238000e+03 7.204000e+02 8.729620e-01
2.000000e+03 1.350000e+03 6.758000e+02 9.696903e-01
2.250000e+03 1.497000e+03 6.283000e+02 1.081185e+00
2.500000e+03 1.651000e+03 5.879000e+02 1.192180e+00
2.750000e+03 1.811000e+03 5.530000e+02 1.302913e+00
3.000000e+03 1.974000e+03 5.225000e+02 1.403578e+00
3.250000e+03 2.141000e+03 4.957000e+02 1.494189e+00
3.500000e+03 2.309000e+03 4.718000e+02 1.584619e+00
3.750000e+03 2.478000e+03 4.504000e+02 1.674900e+00
4.000000e+03 2.648000e+03 4.311000e+02 1.755216e+00
4.500000e+03 2.986000e+03 3.976000e+02 1.905685e+00
5.000000e+03 3.321000e+03 3.694000e+02 2.045926e+00
5.500000e+03 3.648000e+03 3.455000e+02 2.166166e+00
6.000000e+03 3.969000e+03 3.247000e+02 2.286199e+00
6.500000e+03 4.280000e+03 3.066000e+02 2.396187e+00
7.000000e+03 4.582000e+03 2.906000e+02 2.506068e+00
8.000000e+03 5.157000e+03 2.636000e+02 2.695941e+00
9.000000e+03 5.693000e+03 2.417000e+02 2.865749e+00
1.000000e+04 6.191000e+03 2.235000e+02 3.025464e+00
1.100000e+04 6.654000e+03 2.080000e+02 3.175149e+00
1.200000e+04 7.084000e+03 1.948000e+02 3.314837e+00
1.300000e+04 7.482000e+03 1.833000e+02 3.444537e+00
1.400000e+04 7.852000e+03 1.732000e+02 3.574185e+00
1.500000e+04 8.196000e+03 1.642000e+02 3.693885e+00
1.600000e+04 8.516000e+03 1.562000e+02 3.813554e+00
1.700000e+04 8.814000e+03 1.491000e+02 3.923273e+00
1.800000e+04 9.092000e+03 1.426000e+02 4.032988e+00
2.000000e+04 9.595000e+03 1.313000e+02 4.242476e+00
2.250000e+04 1.014000e+04 1.197000e+02 4.491904e+00
2.500000e+04 1.061000e+04 1.101000e+02 4.731358e+00
