# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 9.175000e+01 2.092000e+03 7.481310e-03
1.100000e+01 9.623000e+01 2.155000e+03 7.856844e-03
1.200000e+01 1.005000e+02 2.214000e+03 8.186574e-03
1.300000e+01 1.046000e+02 2.267000e+03 8.610459e-03
1.400000e+01 1.086000e+02 2.316000e+03 9.034379e-03
1.500000e+01 1.124000e+02 2.362000e+03 9.343447e-03
1.600000e+01 1.161000e+02 2.405000e+03 9.767292e-03
1.700000e+01 1.196000e+02 2.444000e+03 1.009703e-02
1.800000e+01 1.231000e+02 2.482000e+03 1.037979e-02
2.000000e+01 1.298000e+02 2.550000e+03 1.113328e-02
2.250000e+01 1.376000e+02 2.625000e+03 1.196077e-02
2.500000e+01 1.451000e+02 2.690000e+03 1.280859e-02
2.750000e+01 1.522000e+02 2.748000e+03 1.351629e-02
3.000000e+01 1.589000e+02 2.799000e+03 1.434434e-02
3.250000e+01 1.654000e+02 2.845000e+03 1.509735e-02
3.500000e+01 1.716000e+02 2.887000e+03 1.590063e-02
3.750000e+01 1.777000e+02 2.924000e+03 1.665353e-02
4.000000e+01 1.835000e+02 2.958000e+03 1.736232e-02
4.500000e+01 1.946000e+02 3.018000e+03 1.880479e-02
5.000000e+01 2.052000e+02 3.067000e+03 2.017151e-02
5.500000e+01 2.152000e+02 3.109000e+03 2.161435e-02
6.000000e+01 2.247000e+02 3.145000e+03 2.298108e-02
6.500000e+01 2.339000e+02 3.175000e+03 2.432879e-02
7.000000e+01 2.428000e+02 3.201000e+03 2.565346e-02
8.000000e+01 2.595000e+02 3.242000e+03 2.836812e-02
9.000000e+01 2.753000e+02 3.272000e+03 3.104159e-02
1.000000e+02 2.901000e+02 3.293000e+03 3.361993e-02
1.100000e+02 3.043000e+02 3.308000e+03 3.619862e-02
1.200000e+02 3.178000e+02 3.317000e+03 3.879549e-02
1.300000e+02 3.308000e+02 3.322000e+03 4.137451e-02
1.400000e+02 3.433000e+02 3.323000e+03 4.393222e-02
1.500000e+02 3.554000e+02 3.322000e+03 4.641562e-02
1.600000e+02 3.670000e+02 3.318000e+03 4.899520e-02
1.700000e+02 3.783000e+02 3.313000e+03 5.155754e-02
1.800000e+02 3.893000e+02 3.305000e+03 5.402018e-02
2.000000e+02 4.103000e+02 3.287000e+03 5.918023e-02
2.250000e+02 4.352000e+02 3.259000e+03 6.555158e-02
2.500000e+02 4.779000e+02 3.227000e+03 7.192719e-02
2.750000e+02 5.129000e+02 3.192000e+03 7.828320e-02
3.000000e+02 5.397000e+02 3.156000e+03 8.465631e-02
3.250000e+02 5.619000e+02 3.119000e+03 9.101346e-02
3.500000e+02 5.816000e+02 3.082000e+03 9.746784e-02
3.750000e+02 6.002000e+02 3.045000e+03 1.039227e-01
4.000000e+02 6.184000e+02 3.008000e+03 1.104748e-01
4.500000e+02 6.549000e+02 2.935000e+03 1.236584e-01
5.000000e+02 6.922000e+02 2.865000e+03 1.369594e-01
5.500000e+02 7.304000e+02 2.797000e+03 1.503554e-01
6.000000e+02 7.690000e+02 2.732000e+03 1.639318e-01
6.500000e+02 8.077000e+02 2.670000e+03 1.776066e-01
7.000000e+02 8.461000e+02 2.611000e+03 1.913798e-01
8.000000e+02 9.214000e+02 2.501000e+03 2.192210e-01
9.000000e+02 9.935000e+02 2.401000e+03 2.472262e-01
1.000000e+03 1.062000e+03 2.310000e+03 2.756081e-01
1.100000e+03 1.127000e+03 2.226000e+03 3.041888e-01
1.200000e+03 1.189000e+03 2.149000e+03 3.328377e-01
1.300000e+03 1.247000e+03 2.079000e+03 3.617692e-01
1.400000e+03 1.303000e+03 2.013000e+03 3.907018e-01
1.500000e+03 1.357000e+03 1.952000e+03 4.198037e-01
1.600000e+03 1.408000e+03 1.895000e+03 4.489913e-01
1.700000e+03 1.458000e+03 1.842000e+03 4.781683e-01
1.800000e+03 1.507000e+03 1.793000e+03 5.074444e-01
2.000000e+03 1.600000e+03 1.703000e+03 5.660476e-01
2.250000e+03 1.713000e+03 1.604000e+03 6.391846e-01
2.500000e+03 1.822000e+03 1.518000e+03 7.120567e-01
2.750000e+03 1.930000e+03 1.442000e+03 7.843701e-01
3.000000e+03 2.037000e+03 1.374000e+03 8.560020e-01
3.250000e+03 2.144000e+03 1.313000e+03 9.267948e-01
3.500000e+03 2.251000e+03 1.259000e+03 9.966498e-01
3.750000e+03 2.359000e+03 1.209000e+03 1.065346e+00
4.000000e+03 2.468000e+03 1.164000e+03 1.135767e+00
4.500000e+03 2.687000e+03 1.084000e+03 1.266655e+00
5.000000e+03 2.909000e+03 1.016000e+03 1.387457e+00
5.500000e+03 3.132000e+03 9.571000e+02 1.517960e+00
6.000000e+03 3.356000e+03 9.056000e+02 1.628540e+00
6.500000e+03 3.581000e+03 8.600000e+02 1.748869e+00
7.000000e+03 3.805000e+03 8.194000e+02 1.849310e+00
8.000000e+03 4.248000e+03 7.500000e+02 2.059871e+00
9.000000e+03 4.681000e+03 6.927000e+02 2.250288e+00
