# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 1.574000e+02 1.065000e+03 9.400532e-03
1.100000e+01 1.650000e+02 1.075000e+03 1.006231e-02
1.200000e+01 1.724000e+02 1.084000e+03 1.072427e-02
1.300000e+01 1.794000e+02 1.091000e+03 1.135958e-02
1.400000e+01 1.862000e+02 1.097000e+03 1.202165e-02
1.500000e+01 1.927000e+02 1.101000e+03 1.265741e-02
1.600000e+01 1.991000e+02 1.105000e+03 1.340970e-02
1.700000e+01 2.052000e+02 1.107000e+03 1.404600e-02
1.800000e+01 2.111000e+02 1.109000e+03 1.470816e-02
2.000000e+01 2.225000e+02 1.111000e+03 1.591634e-02
2.250000e+01 2.360000e+02 1.111000e+03 1.752084e-02
2.500000e+01 2.488000e+02 1.109000e+03 1.915098e-02
2.750000e+01 2.610000e+02 1.105000e+03 2.075644e-02
3.000000e+01 2.726000e+02 1.100000e+03 2.232958e-02
3.250000e+01 2.837000e+02 1.094000e+03 2.396018e-02
3.500000e+01 2.944000e+02 1.087000e+03 2.544288e-02
3.750000e+01 3.047000e+02 1.080000e+03 2.704977e-02
4.000000e+01 3.147000e+02 1.072000e+03 2.864856e-02
4.500000e+01 3.338000e+02 1.056000e+03 3.183159e-02
5.000000e+01 3.519000e+02 1.040000e+03 3.492349e-02
5.500000e+01 3.691000e+02 1.024000e+03 3.813096e-02
6.000000e+01 3.855000e+02 1.007000e+03 4.128547e-02
6.500000e+01 4.012000e+02 9.911000e+02 4.456400e-02
7.000000e+01 4.164000e+02 9.752000e+02 4.772033e-02
8.000000e+01 4.495000e+02 9.446000e+02 5.414988e-02
9.000000e+01 4.920000e+02 9.157000e+02 6.055989e-02
1.000000e+02 5.260000e+02 8.885000e+02 6.684976e-02
1.100000e+02 5.542000e+02 8.629000e+02 7.323503e-02
1.200000e+02 5.785000e+02 8.389000e+02 7.960113e-02
1.300000e+02 6.001000e+02 8.164000e+02 8.605614e-02
1.400000e+02 6.198000e+02 7.952000e+02 9.241888e-02
1.500000e+02 6.381000e+02 7.752000e+02 9.883041e-02
1.600000e+02 6.553000e+02 7.563000e+02 1.053647e-01
1.700000e+02 6.716000e+02 7.385000e+02 1.117999e-01
1.800000e+02 6.872000e+02 7.216000e+02 1.183113e-01
2.000000e+02 7.170000e+02 6.905000e+02 1.313385e-01
2.250000e+02 7.521000e+02 6.558000e+02 1.477445e-01
2.500000e+02 7.856000e+02 6.249000e+02 1.641146e-01
2.750000e+02 8.181000e+02 5.973000e+02 1.804678e-01
3.000000e+02 8.497000e+02 5.724000e+02 1.968584e-01
3.250000e+02 8.807000e+02 5.499000e+02 2.131597e-01
3.500000e+02 9.112000e+02 5.293000e+02 2.294226e-01
3.750000e+02 9.414000e+02 5.105000e+02 2.455769e-01
4.000000e+02 9.711000e+02 4.932000e+02 2.615979e-01
4.500000e+02 1.030000e+03 4.624000e+02 2.933296e-01
5.000000e+02 1.087000e+03 4.358000e+02 3.245569e-01
5.500000e+02 1.144000e+03 4.125000e+02 3.552437e-01
6.000000e+02 1.200000e+03 3.920000e+02 3.852736e-01
6.500000e+02 1.255000e+03 3.736000e+02 4.147604e-01
7.000000e+02 1.309000e+03 3.572000e+02 4.436094e-01
8.000000e+02 1.415000e+03 3.289000e+02 4.995169e-01
9.000000e+02 1.519000e+03 3.053000e+02 5.531232e-01
1.000000e+03 1.620000e+03 2.852000e+02 6.045234e-01
1.100000e+03 1.718000e+03 2.680000e+02 6.539424e-01
1.200000e+03 1.814000e+03 2.530000e+02 7.013942e-01
1.300000e+03 1.908000e+03 2.397000e+02 7.471996e-01
1.400000e+03 2.000000e+03 2.280000e+02 7.913713e-01
1.500000e+03 2.090000e+03 2.175000e+02 8.340899e-01
1.600000e+03 2.178000e+03 2.080000e+02 8.753956e-01
1.700000e+03 2.265000e+03 1.994000e+02 9.153714e-01
1.800000e+03 2.350000e+03 1.916000e+02 9.542520e-01
2.000000e+03 2.514000e+03 1.779000e+02 1.025788e+00
2.250000e+03 2.712000e+03 1.635000e+02 1.115808e+00
2.500000e+03 2.902000e+03 1.516000e+02 1.195838e+00
2.750000e+03 3.084000e+03 1.414000e+02 1.275778e+00
3.000000e+03 3.258000e+03 1.326000e+02 1.355645e+00
3.250000e+03 3.427000e+03 1.250000e+02 1.425572e+00
3.500000e+03 3.589000e+03 1.183000e+02 1.485553e+00
3.750000e+03 3.745000e+03 1.123000e+02 1.555398e+00
4.000000e+03 3.896000e+03 1.070000e+02 1.615310e+00
4.500000e+03 4.182000e+03 9.784000e+01 1.735104e+00
5.000000e+03 4.449000e+03 9.027000e+01 1.844911e+00
5.500000e+03 4.697000e+03 8.388000e+01 1.954668e+00
6.000000e+03 4.928000e+03 7.842000e+01 2.054465e+00
6.500000e+03 5.144000e+03 7.368000e+01 2.154241e+00
7.000000e+03 5.345000e+03 6.953000e+01 2.244057e+00
8.000000e+03 5.706000e+03 6.260000e+01 2.423725e+00
9.000000e+03 6.018000e+03 5.702000e+01 2.593394e+00
1.000000e+04 6.290000e+03 5.243000e+01 2.753106e+00
1.100000e+04 6.527000e+03 4.857000e+01 2.902842e+00
1.200000e+04 6.735000e+03 4.529000e+01 3.052572e+00
1.300000e+04 6.917000e+03 4.246000e+01 3.202300e+00
1.400000e+04 7.078000e+03 3.998000e+01 3.342068e+00
1.500000e+04 7.221000e+03 3.780000e+01 3.481835e+00
1.600000e+04 7.348000e+03 3.586000e+01 3.611649e+00
1.700000e+04 7.461000e+03 3.413000e+01 3.751430e+00
1.800000e+04 7.563000e+03 3.257000e+01 3.881242e+00
2.000000e+04 7.734000e+03 2.987000e+01 4.140965e+00
2.250000e+04 7.901000e+03 2.710000e+01 4.460689e+00
2.500000e+04 8.026000e+03 2.483000e+01 4.770448e+00
2.750000e+04 8.120000e+03 2.294000e+01 5.080211e+00
3.000000e+04 8.188000e+03 2.133000e+01 5.380008e+00
3.250000e+04 8.237000e+03 1.995000e+01 5.689796e+00
3.500000e+04 8.269000e+03 1.875000e+01 5.989615e+00
3.750000e+04 8.288000e+03 1.769000e+01 6.289446e+00
4.000000e+04 8.296000e+03 1.676000e+01 6.589289e+00
4.500000e+04 8.286000e+03 1.517000e+01 7.189256e+00
5.000000e+04 8.251000e+03 1.387000e+01 7.789222e+00
5.500000e+04 8.198000e+03 1.279000e+01 8.399180e+00
6.000000e+04 8.132000e+03 1.188000e+01 9.009149e+00
6.500000e+04 8.057000e+03 1.110000e+01 9.629116e+00
7.000000e+04 7.975000e+03 1.041000e+01 1.024909e+01
8.000000e+04 7.821000e+03 9.287000e+00 1.151975e+01
9.000000e+04 7.672000e+03 8.393000e+00 1.280032e+01
