# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 8.655000e+01 5.545000e+01 5.430773e-02
1.100000e+01 9.077000e+01 5.334000e+01 5.949555e-02
1.200000e+01 9.481000e+01 5.142000e+01 6.466328e-02
1.300000e+01 9.868000e+01 4.965000e+01 6.978402e-02
1.400000e+01 1.024000e+02 4.802000e+01 7.487596e-02
1.500000e+01 1.063000e+02 4.651000e+01 7.993110e-02
1.600000e+01 1.102000e+02 4.511000e+01 8.490618e-02
1.700000e+01 1.139000e+02 4.381000e+01 8.992964e-02
1.800000e+01 1.175000e+02 4.260000e+01 9.483892e-02
2.000000e+01 1.244000e+02 4.039000e+01 1.045189e-01
2.250000e+01 1.325000e+02 3.798000e+01 1.164269e-01
2.500000e+01 1.401000e+02 3.589000e+01 1.280384e-01
2.750000e+01 1.473000e+02 3.405000e+01 1.394781e-01
3.000000e+01 1.541000e+02 3.242000e+01 1.506273e-01
3.250000e+01 1.607000e+02 3.097000e+01 1.615506e-01
3.500000e+01 1.671000e+02 2.965000e+01 1.722724e-01
3.750000e+01 1.734000e+02 2.846000e+01 1.828543e-01
4.000000e+01 1.795000e+02 2.738000e+01 1.931212e-01
4.500000e+01 1.916000e+02 2.548000e+01 2.132337e-01
5.000000e+01 2.031000e+02 2.386000e+01 2.327310e-01
5.500000e+01 2.142000e+02 2.245000e+01 2.514545e-01
6.000000e+01 2.248000e+02 2.123000e+01 2.695570e-01
6.500000e+01 2.350000e+02 2.015000e+01 2.872396e-01
7.000000e+01 2.449000e+02 1.919000e+01 3.042598e-01
8.000000e+01 2.636000e+02 1.755000e+01 3.371816e-01
9.000000e+01 2.811000e+02 1.619000e+01 3.683865e-01
1.000000e+02 2.977000e+02 1.506000e+01 3.982186e-01
1.100000e+02 3.135000e+02 1.409000e+01 4.268807e-01
1.200000e+02 3.286000e+02 1.325000e+01 4.543912e-01
1.300000e+02 3.430000e+02 1.251000e+01 4.809772e-01
1.400000e+02 3.569000e+02 1.187000e+01 5.067294e-01
1.500000e+02 3.703000e+02 1.129000e+01 5.316658e-01
1.600000e+02 3.831000e+02 1.077000e+01 5.558014e-01
1.700000e+02 3.956000e+02 1.030000e+01 5.794032e-01
1.800000e+02 4.076000e+02 9.880000e+00 6.022955e-01
2.000000e+02 4.306000e+02 9.138000e+00 6.465003e-01
2.250000e+02 4.575000e+02 8.368000e+00 6.990555e-01
2.500000e+02 4.826000e+02 7.730000e+00 7.490762e-01
2.750000e+02 5.062000e+02 7.190000e+00 7.968903e-01
3.000000e+02 5.284000e+02 6.727000e+00 8.428109e-01
3.250000e+02 5.493000e+02 6.326000e+00 8.871549e-01
3.500000e+02 5.692000e+02 5.974000e+00 9.298698e-01
3.750000e+02 5.880000e+02 5.662000e+00 9.713310e-01
4.000000e+02 6.058000e+02 5.385000e+00 1.011673e+00
4.500000e+02 6.389000e+02 4.910000e+00 1.088654e+00
5.000000e+02 6.690000e+02 4.519000e+00 1.168147e+00
5.500000e+02 6.963000e+02 4.190000e+00 1.237780e+00
6.000000e+02 7.212000e+02 3.909000e+00 1.307416e+00
6.500000e+02 7.440000e+02 3.667000e+00 1.367145e+00
7.000000e+02 7.648000e+02 3.455000e+00 1.436774e+00
8.000000e+02 8.012000e+02 3.102000e+00 1.556286e+00
9.000000e+02 8.316000e+02 2.819000e+00 1.675796e+00
1.000000e+03 8.568000e+02 2.587000e+00 1.795321e+00
1.100000e+03 8.777000e+02 2.393000e+00 1.914861e+00
1.200000e+03 8.949000e+02 2.228000e+00 2.024499e+00
1.300000e+03 9.087000e+02 2.085000e+00 2.134149e+00
