# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 9.065000e+01 6.083000e+02 1.357387e-02
1.100000e+01 9.508000e+01 6.072000e+02 1.477599e-02
1.200000e+01 9.930000e+01 6.054000e+02 1.589214e-02
1.300000e+01 1.034000e+02 6.030000e+02 1.704875e-02
1.400000e+01 1.073000e+02 6.002000e+02 1.816508e-02
1.500000e+01 1.110000e+02 5.970000e+02 1.936879e-02
1.600000e+01 1.147000e+02 5.936000e+02 2.045752e-02
1.700000e+01 1.182000e+02 5.900000e+02 2.166218e-02
1.800000e+01 1.216000e+02 5.863000e+02 2.281863e-02
2.000000e+01 1.282000e+02 5.785000e+02 2.514080e-02
2.250000e+01 1.360000e+02 5.685000e+02 2.809697e-02
2.500000e+01 1.433000e+02 5.584000e+02 3.105447e-02
2.750000e+01 1.503000e+02 5.483000e+02 3.401294e-02
3.000000e+01 1.570000e+02 5.385000e+02 3.700959e-02
3.250000e+01 1.634000e+02 5.289000e+02 4.005821e-02
3.500000e+01 1.696000e+02 5.195000e+02 4.310766e-02
3.750000e+01 1.755000e+02 5.105000e+02 4.615777e-02
4.000000e+01 1.813000e+02 5.017000e+02 4.926185e-02
4.500000e+01 1.923000e+02 4.850000e+02 5.554503e-02
5.000000e+01 2.091000e+02 4.695000e+02 6.181982e-02
5.500000e+01 2.306000e+02 4.551000e+02 6.807173e-02
6.000000e+01 2.473000e+02 4.416000e+02 7.429105e-02
6.500000e+01 2.606000e+02 4.290000e+02 8.059398e-02
7.000000e+01 2.714000e+02 4.172000e+02 8.681722e-02
8.000000e+01 2.885000e+02 3.957000e+02 9.947613e-02
9.000000e+01 3.021000e+02 3.767000e+02 1.122936e-01
1.000000e+02 3.141000e+02 3.597000e+02 1.253021e-01
1.100000e+02 3.254000e+02 3.444000e+02 1.383549e-01
1.200000e+02 3.364000e+02 3.306000e+02 1.516221e-01
1.300000e+02 3.476000e+02 3.180000e+02 1.649054e-01
1.400000e+02 3.589000e+02 3.066000e+02 1.782239e-01
1.500000e+02 3.705000e+02 2.960000e+02 1.915830e-01
1.600000e+02 3.823000e+02 2.863000e+02 2.050408e-01
1.700000e+02 3.945000e+02 2.773000e+02 2.183546e-01
1.800000e+02 4.070000e+02 2.689000e+02 2.316514e-01
2.000000e+02 4.326000e+02 2.539000e+02 2.581110e-01
2.250000e+02 4.659000e+02 2.376000e+02 2.906820e-01
2.500000e+02 5.001000e+02 2.236000e+02 3.224718e-01
2.750000e+02 5.350000e+02 2.114000e+02 3.535287e-01
3.000000e+02 5.703000e+02 2.006000e+02 3.836885e-01
3.250000e+02 6.058000e+02 1.911000e+02 4.128563e-01
3.500000e+02 6.413000e+02 1.825000e+02 4.413180e-01
3.750000e+02 6.768000e+02 1.748000e+02 4.688525e-01
4.000000e+02 7.121000e+02 1.678000e+02 4.955105e-01
4.500000e+02 7.822000e+02 1.555000e+02 5.466871e-01
5.000000e+02 8.512000e+02 1.452000e+02 5.949996e-01
5.500000e+02 9.190000e+02 1.363000e+02 6.406380e-01
6.000000e+02 9.854000e+02 1.285000e+02 6.839846e-01
6.500000e+02 1.051000e+03 1.217000e+02 7.252650e-01
7.000000e+02 1.114000e+03 1.157000e+02 7.646524e-01
8.000000e+02 1.238000e+03 1.054000e+02 8.385130e-01
9.000000e+02 1.357000e+03 9.700000e+01 9.067379e-01
1.000000e+03 1.471000e+03 8.998000e+01 9.703369e-01
1.100000e+03 1.581000e+03 8.400000e+01 1.034261e+00
1.200000e+03 1.688000e+03 7.885000e+01 1.084309e+00
1.300000e+03 1.790000e+03 7.436000e+01 1.144008e+00
1.400000e+03 1.890000e+03 7.040000e+01 1.193870e+00
1.500000e+03 1.986000e+03 6.689000e+01 1.233869e+00
1.600000e+03 2.080000e+03 6.374000e+01 1.283624e+00
1.700000e+03 2.171000e+03 6.091000e+01 1.333330e+00
1.800000e+03 2.259000e+03 5.834000e+01 1.373178e+00
2.000000e+03 2.427000e+03 5.386000e+01 1.452840e+00
2.250000e+03 2.625000e+03 4.923000e+01 1.552339e+00
2.500000e+03 2.810000e+03 4.539000e+01 1.632023e+00
2.750000e+03 2.982000e+03 4.216000e+01 1.721533e+00
3.000000e+03 3.142000e+03 3.939000e+01 1.801119e+00
3.250000e+03 3.291000e+03 3.700000e+01 1.870814e+00
3.500000e+03 3.429000e+03 3.491000e+01 1.950370e+00
3.750000e+03 3.558000e+03 3.305000e+01 2.020023e+00
4.000000e+03 3.677000e+03 3.141000e+01 2.089691e+00
4.500000e+03 3.890000e+03 2.859000e+01 2.219113e+00
5.000000e+03 4.071000e+03 2.628000e+01 2.338612e+00
5.500000e+03 4.226000e+03 2.434000e+01 2.458114e+00
6.000000e+03 4.358000e+03 2.268000e+01 2.567701e+00
6.500000e+03 4.470000e+03 2.126000e+01 2.687221e+00
7.000000e+03 4.564000e+03 2.001000e+01 2.796827e+00
8.000000e+03 4.712000e+03 1.794000e+01 3.006203e+00
9.000000e+03 4.818000e+03 1.629000e+01 3.215599e+00
1.000000e+04 4.892000e+03 1.493000e+01 3.415098e+00
1.100000e+04 4.942000e+03 1.380000e+01 3.614619e+00
1.200000e+04 4.975000e+03 1.284000e+01 3.824140e+00
1.300000e+04 4.993000e+03 1.201000e+01 4.023736e+00
1.400000e+04 5.000000e+03 1.129000e+01 4.213394e+00
1.500000e+04 4.999000e+03 1.065000e+01 4.413037e+00
