# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 9.152000e+01 1.956000e+03 7.509993e-03
1.100000e+01 9.598000e+01 2.009000e+03 7.933473e-03
1.200000e+01 1.003000e+02 2.058000e+03 8.357033e-03
1.300000e+01 1.043000e+02 2.103000e+03 8.780661e-03
1.400000e+01 1.083000e+02 2.144000e+03 9.204347e-03
1.500000e+01 1.121000e+02 2.182000e+03 9.534674e-03
1.600000e+01 1.158000e+02 2.216000e+03 9.909087e-03
1.700000e+01 1.193000e+02 2.249000e+03 1.033296e-02
1.800000e+01 1.228000e+02 2.279000e+03 1.066302e-02
2.000000e+01 1.294000e+02 2.334000e+03 1.139561e-02
2.250000e+01 1.373000e+02 2.393000e+03 1.233734e-02
2.500000e+01 1.447000e+02 2.444000e+03 1.327931e-02
2.750000e+01 1.518000e+02 2.488000e+03 1.410638e-02
3.000000e+01 1.585000e+02 2.527000e+03 1.495426e-02
3.250000e+01 1.650000e+02 2.561000e+03 1.578163e-02
3.500000e+01 1.712000e+02 2.592000e+03 1.662949e-02
3.750000e+01 1.772000e+02 2.619000e+03 1.747741e-02
4.000000e+01 1.830000e+02 2.643000e+03 1.827950e-02
4.500000e+01 1.941000e+02 2.684000e+03 1.986051e-02
5.000000e+01 2.046000e+02 2.716000e+03 2.141658e-02
5.500000e+01 2.146000e+02 2.743000e+03 2.299761e-02
6.000000e+01 2.242000e+02 2.764000e+03 2.453426e-02
6.500000e+01 2.333000e+02 2.781000e+03 2.609099e-02
7.000000e+01 2.421000e+02 2.795000e+03 2.755286e-02
8.000000e+01 2.589000e+02 2.814000e+03 3.057630e-02
9.000000e+01 2.746000e+02 2.824000e+03 3.357633e-02
1.000000e+02 2.894000e+02 2.828000e+03 3.657691e-02
1.100000e+02 3.035000e+02 2.827000e+03 3.957790e-02
1.200000e+02 3.170000e+02 2.823000e+03 4.248364e-02
1.300000e+02 3.300000e+02 2.815000e+03 4.546680e-02
1.400000e+02 3.424000e+02 2.805000e+03 4.837293e-02
1.500000e+02 3.545000e+02 2.794000e+03 5.137490e-02
1.600000e+02 3.661000e+02 2.781000e+03 5.435485e-02
1.700000e+02 3.773000e+02 2.767000e+03 5.724343e-02
1.800000e+02 3.883000e+02 2.752000e+03 6.024591e-02
2.000000e+02 4.225000e+02 2.720000e+03 6.621186e-02
2.250000e+02 4.996000e+02 2.679000e+03 7.362350e-02
2.500000e+02 5.453000e+02 2.636000e+03 8.095696e-02
2.750000e+02 5.741000e+02 2.593000e+03 8.837002e-02
3.000000e+02 5.942000e+02 2.550000e+03 9.585932e-02
3.250000e+02 6.104000e+02 2.508000e+03 1.033496e-01
3.500000e+02 6.253000e+02 2.466000e+03 1.109574e-01
3.750000e+02 6.401000e+02 2.426000e+03 1.186422e-01
4.000000e+02 6.557000e+02 2.387000e+03 1.263276e-01
4.500000e+02 6.898000e+02 2.312000e+03 1.420102e-01
5.000000e+02 7.280000e+02 2.242000e+03 1.579657e-01
5.500000e+02 7.693000e+02 2.176000e+03 1.740204e-01
6.000000e+02 8.128000e+02 2.115000e+03 1.901552e-01
6.500000e+02 8.575000e+02 2.057000e+03 2.065045e-01
7.000000e+02 9.026000e+02 2.002000e+03 2.228187e-01
8.000000e+02 9.921000e+02 1.903000e+03 2.557620e-01
9.000000e+02 1.078000e+03 1.814000e+03 2.887727e-01
1.000000e+03 1.160000e+03 1.735000e+03 3.218371e-01
1.100000e+03 1.238000e+03 1.663000e+03 3.549872e-01
1.200000e+03 1.310000e+03 1.598000e+03 3.879809e-01
1.300000e+03 1.379000e+03 1.539000e+03 4.209654e-01
1.400000e+03 1.443000e+03 1.485000e+03 4.538094e-01
1.500000e+03 1.505000e+03 1.435000e+03 4.866441e-01
1.600000e+03 1.564000e+03 1.389000e+03 5.193410e-01
1.700000e+03 1.620000e+03 1.346000e+03 5.519294e-01
1.800000e+03 1.674000e+03 1.306000e+03 5.843956e-01
2.000000e+03 1.778000e+03 1.234000e+03 6.489056e-01
2.250000e+03 1.902000e+03 1.156000e+03 7.286271e-01
2.500000e+03 2.022000e+03 1.089000e+03 8.072373e-01
2.750000e+03 2.140000e+03 1.031000e+03 8.844832e-01
3.000000e+03 2.257000e+03 9.788000e+02 9.603515e-01
3.250000e+03 2.375000e+03 9.328000e+02 1.035644e+00
3.500000e+03 2.493000e+03 8.914000e+02 1.106124e+00
3.750000e+03 2.613000e+03 8.541000e+02 1.176532e+00
4.000000e+03 2.733000e+03 8.203000e+02 1.246881e+00
4.500000e+03 2.978000e+03 7.610000e+02 1.377593e+00
5.000000e+03 3.226000e+03 7.108000e+02 1.508081e+00
5.500000e+03 3.477000e+03 6.675000e+02 1.628492e+00
6.000000e+03 3.729000e+03 6.299000e+02 1.748764e+00
6.500000e+03 3.981000e+03 5.968000e+02 1.859005e+00
7.000000e+03 4.232000e+03 5.674000e+02 1.959247e+00
8.000000e+03 4.727000e+03 5.175000e+02 2.159536e+00
9.000000e+03 5.207000e+03 4.765000e+02 2.339722e+00
1.000000e+04 5.670000e+03 4.422000e+02 2.499862e+00
1.100000e+04 6.112000e+03 4.130000e+02 2.659835e+00
1.200000e+04 6.532000e+03 3.878000e+02 2.809770e+00
1.300000e+04 6.932000e+03 3.659000e+02 2.949690e+00
1.400000e+04 7.310000e+03 3.465000e+02 3.079609e+00
1.500000e+04 7.667000e+03 3.293000e+02 3.209471e+00
1.600000e+04 8.006000e+03 3.139000e+02 3.329351e+00
1.700000e+04 8.325000e+03 3.000000e+02 3.449202e+00
