# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 1.617000e+02 2.629000e+02 2.059660e-02
1.100000e+01 1.696000e+02 2.585000e+02 2.240893e-02
1.200000e+01 1.772000e+02 2.541000e+02 2.417954e-02
1.300000e+01 1.844000e+02 2.498000e+02 2.607873e-02
1.400000e+01 1.914000e+02 2.455000e+02 2.785157e-02
1.500000e+01 1.981000e+02 2.415000e+02 2.963613e-02
1.600000e+01 2.046000e+02 2.375000e+02 3.149667e-02
1.700000e+01 2.109000e+02 2.336000e+02 3.327176e-02
1.800000e+01 2.170000e+02 2.299000e+02 3.504740e-02
2.000000e+01 2.287000e+02 2.228000e+02 3.865773e-02
2.250000e+01 2.426000e+02 2.146000e+02 4.313525e-02
2.500000e+01 2.557000e+02 2.070000e+02 4.758750e-02
2.750000e+01 2.682000e+02 2.001000e+02 5.200558e-02
3.000000e+01 2.834000e+02 1.936000e+02 5.642703e-02
3.250000e+01 2.985000e+02 1.876000e+02 6.081521e-02
3.500000e+01 3.125000e+02 1.820000e+02 6.496484e-02
3.750000e+01 3.253000e+02 1.769000e+02 6.920708e-02
4.000000e+01 3.372000e+02 1.720000e+02 7.336225e-02
4.500000e+01 3.582000e+02 1.632000e+02 8.161164e-02
5.000000e+01 3.763000e+02 1.554000e+02 8.981681e-02
5.500000e+01 3.920000e+02 1.484000e+02 9.778395e-02
6.000000e+01 4.059000e+02 1.421000e+02 1.057932e-01
6.500000e+01 4.182000e+02 1.365000e+02 1.137187e-01
7.000000e+01 4.293000e+02 1.313000e+02 1.214738e-01
8.000000e+01 4.490000e+02 1.222000e+02 1.370723e-01
9.000000e+01 4.663000e+02 1.145000e+02 1.525479e-01
1.000000e+02 4.823000e+02 1.079000e+02 1.678444e-01
1.100000e+02 4.975000e+02 1.021000e+02 1.828988e-01
1.200000e+02 5.124000e+02 9.694000e+01 1.979186e-01
1.300000e+02 5.272000e+02 9.237000e+01 2.126952e-01
1.400000e+02 5.420000e+02 8.828000e+01 2.272721e-01
1.500000e+02 5.569000e+02 8.459000e+01 2.416760e-01
1.600000e+02 5.720000e+02 8.123000e+01 2.559016e-01
1.700000e+02 5.873000e+02 7.817000e+01 2.698079e-01
1.800000e+02 6.027000e+02 7.536000e+01 2.835843e-01
2.000000e+02 6.340000e+02 7.039000e+01 3.104857e-01
2.250000e+02 6.739000e+02 6.513000e+01 3.428179e-01
2.500000e+02 7.142000e+02 6.070000e+01 3.737611e-01
2.750000e+02 7.547000e+02 5.690000e+01 4.033696e-01
3.000000e+02 7.952000e+02 5.360000e+01 4.318134e-01
3.250000e+02 8.353000e+02 5.070000e+01 4.591264e-01
3.500000e+02 8.751000e+02 4.814000e+01 4.854041e-01
3.750000e+02 9.143000e+02 4.586000e+01 5.106597e-01
4.000000e+02 9.528000e+02 4.380000e+01 5.350872e-01
4.500000e+02 1.028000e+03 4.026000e+01 5.815325e-01
5.000000e+02 1.099000e+03 3.730000e+01 6.251331e-01
5.500000e+02 1.168000e+03 3.479000e+01 6.662890e-01
6.000000e+02 1.233000e+03 3.262000e+01 7.055141e-01
6.500000e+02 1.295000e+03 3.074000e+01 7.429434e-01
7.000000e+02 1.354000e+03 2.909000e+01 7.787581e-01
8.000000e+02 1.463000e+03 2.630000e+01 8.465696e-01
9.000000e+02 1.561000e+03 2.405000e+01 9.100709e-01
1.000000e+03 1.650000e+03 2.218000e+01 9.700731e-01
1.100000e+03 1.731000e+03 2.061000e+01 1.023409e+00
1.200000e+03 1.804000e+03 1.926000e+01 1.083147e+00
1.300000e+03 1.871000e+03 1.810000e+01 1.132992e+00
1.400000e+03 1.932000e+03 1.708000e+01 1.182805e+00
1.500000e+03 1.989000e+03 1.618000e+01 1.232616e+00
1.600000e+03 2.040000e+03 1.537000e+01 1.282427e+00
1.700000e+03 2.088000e+03 1.465000e+01 1.332225e+00
1.800000e+03 2.131000e+03 1.400000e+01 1.382023e+00
2.000000e+03 2.209000e+03 1.287000e+01 1.471749e+00
2.250000e+03 2.289000e+03 1.171000e+01 1.581428e+00
2.500000e+03 2.355000e+03 1.075000e+01 1.681174e+00
