# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 1.054000e+02 5.508000e+02 1.436001e-02
1.100000e+01 1.105000e+02 5.487000e+02 1.556245e-02
1.200000e+01 1.154000e+02 5.460000e+02 1.680595e-02
1.300000e+01 1.201000e+02 5.429000e+02 1.803802e-02
1.400000e+01 1.247000e+02 5.395000e+02 1.928160e-02
1.500000e+01 1.290000e+02 5.359000e+02 2.048560e-02
1.600000e+01 1.333000e+02 5.321000e+02 2.172947e-02
1.700000e+01 1.374000e+02 5.281000e+02 2.293404e-02
1.800000e+01 1.414000e+02 5.241000e+02 2.417809e-02
2.000000e+01 1.490000e+02 5.158000e+02 2.667639e-02
2.250000e+01 1.580000e+02 5.055000e+02 2.975987e-02
2.500000e+01 1.666000e+02 4.952000e+02 3.295952e-02
2.750000e+01 1.747000e+02 4.852000e+02 3.609584e-02
3.000000e+01 1.825000e+02 4.755000e+02 3.929695e-02
3.250000e+01 1.899000e+02 4.661000e+02 4.243548e-02
3.500000e+01 1.971000e+02 4.571000e+02 4.569037e-02
3.750000e+01 2.040000e+02 4.483000e+02 4.892055e-02
4.000000e+01 2.107000e+02 4.400000e+02 5.218755e-02
4.500000e+01 2.235000e+02 4.242000e+02 5.873202e-02
5.000000e+01 2.424000e+02 4.096000e+02 6.531470e-02
5.500000e+01 2.587000e+02 3.961000e+02 7.195575e-02
6.000000e+01 2.719000e+02 3.836000e+02 7.847477e-02
6.500000e+01 2.828000e+02 3.720000e+02 8.508737e-02
7.000000e+01 2.924000e+02 3.612000e+02 9.173691e-02
8.000000e+01 3.089000e+02 3.416000e+02 1.051245e-01
9.000000e+01 3.237000e+02 3.244000e+02 1.186246e-01
1.000000e+02 3.377000e+02 3.091000e+02 1.322175e-01
1.100000e+02 3.514000e+02 2.954000e+02 1.458569e-01
1.200000e+02 3.651000e+02 2.831000e+02 1.595377e-01
1.300000e+02 3.787000e+02 2.719000e+02 1.733192e-01
1.400000e+02 3.924000e+02 2.617000e+02 1.869855e-01
1.500000e+02 4.062000e+02 2.524000e+02 2.006076e-01
1.600000e+02 4.201000e+02 2.438000e+02 2.142082e-01
1.700000e+02 4.340000e+02 2.359000e+02 2.276719e-01
1.800000e+02 4.480000e+02 2.286000e+02 2.411147e-01
2.000000e+02 4.761000e+02 2.154000e+02 2.675655e-01
2.250000e+02 5.112000e+02 2.013000e+02 3.000221e-01
2.500000e+02 5.461000e+02 1.891000e+02 3.315162e-01
2.750000e+02 5.809000e+02 1.785000e+02 3.622340e-01
3.000000e+02 6.153000e+02 1.692000e+02 3.919430e-01
3.250000e+02 6.493000e+02 1.610000e+02 4.208967e-01
3.500000e+02 6.830000e+02 1.536000e+02 4.490741e-01
3.750000e+02 7.162000e+02 1.470000e+02 4.763992e-01
4.000000e+02 7.490000e+02 1.410000e+02 5.029478e-01
4.500000e+02 8.135000e+02 1.305000e+02 5.539685e-01
5.000000e+02 8.763000e+02 1.217000e+02 6.023232e-01
5.500000e+02 9.377000e+02 1.141000e+02 6.482767e-01
6.000000e+02 9.977000e+02 1.075000e+02 6.921335e-01
6.500000e+02 1.056000e+03 1.017000e+02 7.340405e-01
7.000000e+02 1.114000e+03 9.660000e+01 7.742844e-01
8.000000e+02 1.226000e+03 8.793000e+01 8.499734e-01
9.000000e+02 1.333000e+03 8.083000e+01 9.203212e-01
1.000000e+03 1.438000e+03 7.491000e+01 9.859940e-01
1.100000e+03 1.538000e+03 6.988000e+01 1.052131e+00
1.200000e+03 1.636000e+03 6.555000e+01 1.102193e+00
1.300000e+03 1.731000e+03 6.178000e+01 1.161958e+00
1.400000e+03 1.824000e+03 5.846000e+01 1.211851e+00
1.500000e+03 1.913000e+03 5.551000e+01 1.261702e+00
1.600000e+03 2.001000e+03 5.288000e+01 1.311497e+00
1.700000e+03 2.086000e+03 5.051000e+01 1.361268e+00
1.800000e+03 2.168000e+03 4.836000e+01 1.401161e+00
2.000000e+03 2.327000e+03 4.462000e+01 1.490755e+00
2.250000e+03 2.513000e+03 4.075000e+01 1.590355e+00
2.500000e+03 2.687000e+03 3.755000e+01 1.679997e+00
2.750000e+03 2.848000e+03 3.486000e+01 1.769592e+00
3.000000e+03 2.997000e+03 3.255000e+01 1.849265e+00
3.250000e+03 3.135000e+03 3.056000e+01 1.928913e+00
3.500000e+03 3.262000e+03 2.882000e+01 2.008555e+00
3.750000e+03 3.380000e+03 2.728000e+01 2.088188e+00
4.000000e+03 3.488000e+03 2.591000e+01 2.157899e+00
4.500000e+03 3.678000e+03 2.358000e+01 2.287448e+00
5.000000e+03 3.837000e+03 2.166000e+01 2.426907e+00
5.500000e+03 3.970000e+03 2.005000e+01 2.546510e+00
6.000000e+03 4.080000e+03 1.868000e+01 2.676053e+00
6.500000e+03 4.172000e+03 1.750000e+01 2.795675e+00
7.000000e+03 4.247000e+03 1.647000e+01 2.905347e+00
8.000000e+03 4.360000e+03 1.476000e+01 3.134774e+00
9.000000e+03 4.434000e+03 1.339000e+01 3.364235e+00
1.000000e+04 4.480000e+03 1.227000e+01 3.583780e+00
1.100000e+04 4.507000e+03 1.134000e+01 3.813318e+00
1.200000e+04 4.518000e+03 1.054000e+01 4.032930e+00
1.300000e+04 4.517000e+03 9.862000e+00 4.252574e+00
1.400000e+04 4.508000e+03 9.267000e+00 4.472241e+00
1.500000e+04 4.493000e+03 8.745000e+00 4.691943e+00
1.600000e+04 4.472000e+03 8.282000e+00 4.911665e+00
1.700000e+04 4.448000e+03 7.869000e+00 5.131408e+00
1.800000e+04 4.421000e+03 7.498000e+00 5.361145e+00
2.000000e+04 4.361000e+03 6.858000e+00 5.810886e+00
2.250000e+04 4.279000e+03 6.205000e+00 6.390698e+00
2.500000e+04 4.195000e+03 5.672000e+00 6.980546e+00
2.750000e+04 4.110000e+03 5.228000e+00 7.580420e+00
3.000000e+04 4.026000e+03 4.852000e+00 8.190325e+00
3.250000e+04 3.945000e+03 4.530000e+00 8.820237e+00
3.500000e+04 3.866000e+03 4.250000e+00 9.460175e+00
3.750000e+04 3.790000e+03 4.005000e+00 1.011013e+01
4.000000e+04 3.716000e+03 3.788000e+00 1.078009e+01
4.500000e+04 3.577000e+03 3.422000e+00 1.215084e+01
5.000000e+04 3.472000e+03 3.123000e+00 1.356151e+01
5.500000e+04 3.348000e+03 2.875000e+00 1.503212e+01
6.000000e+04 3.235000e+03 2.665000e+00 1.655269e+01
6.500000e+04 3.131000e+03 2.486000e+00 1.812323e+01
7.000000e+04 3.034000e+03 2.330000e+00 1.974376e+01
8.000000e+04 2.860000e+03 2.073000e+00 2.313725e+01
9.000000e+04 2.708000e+03 1.870000e+00 2.673027e+01
1.000000e+05 2.573000e+03 1.705000e+00 3.050347e+01
