# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 1.021000e+02 1.935000e+03 7.439086e-03
1.100000e+01 1.071000e+02 1.987000e+03 7.840281e-03
1.200000e+01 1.119000e+02 2.034000e+03 8.263776e-03
1.300000e+01 1.164000e+02 2.077000e+03 8.687347e-03
1.400000e+01 1.208000e+02 2.116000e+03 9.110982e-03
1.500000e+01 1.251000e+02 2.152000e+03 9.534674e-03
1.600000e+01 1.292000e+02 2.186000e+03 9.865090e-03
1.700000e+01 1.331000e+02 2.217000e+03 1.026694e-02
1.800000e+01 1.370000e+02 2.246000e+03 1.069065e-02
2.000000e+01 1.444000e+02 2.297000e+03 1.141709e-02
2.250000e+01 1.532000e+02 2.354000e+03 1.233734e-02
2.500000e+01 1.614000e+02 2.402000e+03 1.321212e-02
2.750000e+01 1.693000e+02 2.443000e+03 1.405987e-02
3.000000e+01 1.769000e+02 2.480000e+03 1.498065e-02
3.250000e+01 1.841000e+02 2.512000e+03 1.580222e-02
3.500000e+01 1.910000e+02 2.540000e+03 1.662949e-02
3.750000e+01 1.977000e+02 2.565000e+03 1.747741e-02
4.000000e+01 2.042000e+02 2.587000e+03 1.823102e-02
4.500000e+01 2.166000e+02 2.624000e+03 1.988592e-02
5.000000e+01 2.283000e+02 2.653000e+03 2.144155e-02
5.500000e+01 2.395000e+02 2.677000e+03 2.302260e-02
6.000000e+01 2.501000e+02 2.695000e+03 2.457865e-02
6.500000e+01 2.603000e+02 2.710000e+03 2.613503e-02
7.000000e+01 2.702000e+02 2.721000e+03 2.769639e-02
8.000000e+01 2.888000e+02 2.735000e+03 3.071482e-02
9.000000e+01 3.063000e+02 2.742000e+03 3.383342e-02
1.000000e+02 3.229000e+02 2.742000e+03 3.683341e-02
1.100000e+02 3.387000e+02 2.738000e+03 3.983391e-02
1.200000e+02 3.537000e+02 2.731000e+03 4.283480e-02
1.300000e+02 3.682000e+02 2.721000e+03 4.583601e-02
1.400000e+02 3.821000e+02 2.709000e+03 4.883749e-02
1.500000e+02 3.955000e+02 2.696000e+03 5.183917e-02
1.600000e+02 4.084000e+02 2.681000e+03 5.482290e-02
1.700000e+02 4.210000e+02 2.665000e+03 5.782499e-02
1.800000e+02 4.332000e+02 2.649000e+03 6.092307e-02
2.000000e+02 4.513000e+02 2.615000e+03 6.700612e-02
2.250000e+02 4.731000e+02 2.570000e+03 7.464804e-02
2.500000e+02 4.964000e+02 2.525000e+03 8.236528e-02
2.750000e+02 5.207000e+02 2.481000e+03 9.020094e-02
3.000000e+02 5.456000e+02 2.437000e+03 9.799929e-02
3.250000e+02 5.708000e+02 2.394000e+03 1.059325e-01
3.500000e+02 5.962000e+02 2.352000e+03 1.139255e-01
3.750000e+02 6.216000e+02 2.311000e+03 1.219358e-01
4.000000e+02 6.468000e+02 2.272000e+03 1.299466e-01
4.500000e+02 6.964000e+02 2.197000e+03 1.462437e-01
5.000000e+02 7.448000e+02 2.127000e+03 1.626396e-01
5.500000e+02 7.916000e+02 2.062000e+03 1.792117e-01
6.000000e+02 8.370000e+02 2.001000e+03 1.958792e-01
6.500000e+02 8.809000e+02 1.945000e+03 2.127273e-01
7.000000e+02 9.235000e+02 1.891000e+03 2.295772e-01
8.000000e+02 1.005000e+03 1.794000e+03 2.635551e-01
9.000000e+02 1.082000e+03 1.708000e+03 2.976976e-01
1.000000e+03 1.155000e+03 1.631000e+03 3.319910e-01
1.100000e+03 1.225000e+03 1.562000e+03 3.663391e-01
1.200000e+03 1.292000e+03 1.500000e+03 4.007740e-01
1.300000e+03 1.356000e+03 1.443000e+03 4.350839e-01
1.400000e+03 1.418000e+03 1.391000e+03 4.693687e-01
1.500000e+03 1.478000e+03 1.343000e+03 5.035153e-01
1.600000e+03 1.536000e+03 1.299000e+03 5.375396e-01
1.700000e+03 1.593000e+03 1.258000e+03 5.714405e-01
1.800000e+03 1.648000e+03 1.220000e+03 6.051363e-01
2.000000e+03 1.755000e+03 1.152000e+03 6.720768e-01
2.250000e+03 1.882000e+03 1.078000e+03 7.545370e-01
2.500000e+03 2.004000e+03 1.014000e+03 8.355783e-01
2.750000e+03 2.122000e+03 9.589000e+02 9.151313e-01
3.000000e+03 2.238000e+03 9.101000e+02 9.931113e-01
3.250000e+03 2.350000e+03 8.667000e+02 1.066479e+00
3.500000e+03 2.461000e+03 8.278000e+02 1.146853e+00
3.750000e+03 2.570000e+03 7.927000e+02 1.217307e+00
4.000000e+03 2.678000e+03 7.609000e+02 1.287688e+00
4.500000e+03 2.891000e+03 7.053000e+02 1.428343e+00
5.000000e+03 3.102000e+03 6.583000e+02 1.558927e+00
5.500000e+03 3.311000e+03 6.179000e+02 1.689326e+00
6.000000e+03 3.519000e+03 5.827000e+02 1.809678e+00
6.500000e+03 3.727000e+03 5.518000e+02 1.929911e+00
7.000000e+03 3.933000e+03 5.244000e+02 2.040160e+00
8.000000e+03 4.343000e+03 4.779000e+02 2.250545e+00
9.000000e+03 4.748000e+03 4.398000e+02 2.450740e+00
1.000000e+04 5.147000e+03 4.079000e+02 2.630880e+00
1.100000e+04 5.537000e+03 3.808000e+02 2.800944e+00
1.200000e+04 5.918000e+03 3.574000e+02 2.970865e+00
1.300000e+04 6.288000e+03 3.371000e+02 3.120834e+00
1.400000e+04 6.647000e+03 3.191000e+02 3.270723e+00
1.500000e+04 6.993000e+03 3.032000e+02 3.400674e+00
1.600000e+04 7.327000e+03 2.889000e+02 3.540514e+00
1.700000e+04 7.648000e+03 2.761000e+02 3.670372e+00
1.800000e+04 7.957000e+03 2.644000e+02 3.790264e+00
