# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 1.143000e+02 4.686000e+02 1.565918e-02
1.100000e+01 1.199000e+02 4.654000e+02 1.701705e-02
1.200000e+01 1.252000e+02 4.619000e+02 1.834557e-02
1.300000e+01 1.303000e+02 4.580000e+02 1.970406e-02
1.400000e+01 1.353000e+02 4.540000e+02 2.103354e-02
1.500000e+01 1.400000e+02 4.499000e+02 2.239241e-02
1.600000e+01 1.446000e+02 4.457000e+02 2.380945e-02
1.700000e+01 1.491000e+02 4.414000e+02 2.516863e-02
1.800000e+01 1.534000e+02 4.372000e+02 2.649943e-02
2.000000e+01 1.617000e+02 4.287000e+02 2.927729e-02
2.250000e+01 1.715000e+02 4.183000e+02 3.280381e-02
2.500000e+01 1.808000e+02 4.083000e+02 3.630441e-02
2.750000e+01 1.896000e+02 3.987000e+02 3.983365e-02
3.000000e+01 1.980000e+02 3.895000e+02 4.333682e-02
3.250000e+01 2.061000e+02 3.807000e+02 4.691897e-02
3.500000e+01 2.139000e+02 3.723000e+02 5.047623e-02
3.750000e+01 2.214000e+02 3.644000e+02 5.409778e-02
4.000000e+01 2.287000e+02 3.567000e+02 5.765735e-02
4.500000e+01 2.673000e+02 3.425000e+02 6.473438e-02
5.000000e+01 2.968000e+02 3.296000e+02 7.160140e-02
5.500000e+01 3.197000e+02 3.177000e+02 7.838182e-02
6.000000e+01 3.379000e+02 3.068000e+02 8.498153e-02
6.500000e+01 3.528000e+02 2.967000e+02 9.165048e-02
7.000000e+01 3.652000e+02 2.874000e+02 9.819949e-02
8.000000e+01 3.853000e+02 2.707000e+02 1.114657e-01
9.000000e+01 4.014000e+02 2.561000e+02 1.248049e-01
1.000000e+02 4.154000e+02 2.433000e+02 1.381925e-01
1.100000e+02 4.284000e+02 2.319000e+02 1.516297e-01
1.200000e+02 4.410000e+02 2.217000e+02 1.649963e-01
1.300000e+02 4.535000e+02 2.125000e+02 1.784893e-01
1.400000e+02 4.662000e+02 2.042000e+02 1.918239e-01
1.500000e+02 4.791000e+02 1.966000e+02 2.051624e-01
1.600000e+02 4.924000e+02 1.896000e+02 2.184370e-01
1.700000e+02 5.060000e+02 1.832000e+02 2.316215e-01
1.800000e+02 5.200000e+02 1.773000e+02 2.446709e-01
2.000000e+02 5.487000e+02 1.666000e+02 2.705068e-01
2.250000e+02 5.862000e+02 1.553000e+02 3.018191e-01
2.500000e+02 6.247000e+02 1.456000e+02 3.322226e-01
2.750000e+02 6.640000e+02 1.372000e+02 3.615283e-01
3.000000e+02 7.037000e+02 1.298000e+02 3.898923e-01
3.250000e+02 7.435000e+02 1.233000e+02 4.172515e-01
3.500000e+02 7.832000e+02 1.175000e+02 4.435705e-01
3.750000e+02 8.226000e+02 1.123000e+02 4.690591e-01
4.000000e+02 8.616000e+02 1.076000e+02 4.936775e-01
4.500000e+02 9.382000e+02 9.940000e+01 5.405495e-01
5.000000e+02 1.012000e+03 9.251000e+01 5.846999e-01
5.500000e+02 1.084000e+03 8.662000e+01 6.263710e-01
6.000000e+02 1.153000e+03 8.152000e+01 6.659633e-01
6.500000e+02 1.219000e+03 7.705000e+01 7.036386e-01
7.000000e+02 1.283000e+03 7.310000e+01 7.397480e-01
8.000000e+02 1.404000e+03 6.642000e+01 8.077617e-01
9.000000e+02 1.515000e+03 6.097000e+01 8.709795e-01
1.000000e+03 1.619000e+03 5.643000e+01 9.305405e-01
1.100000e+03 1.715000e+03 5.258000e+01 9.868009e-01
1.200000e+03 1.806000e+03 4.928000e+01 1.038546e+00
1.300000e+03 1.891000e+03 4.640000e+01 1.088389e+00
1.400000e+03 1.972000e+03 4.388000e+01 1.138196e+00
1.500000e+03 2.048000e+03 4.164000e+01 1.187954e+00
1.600000e+03 2.120000e+03 3.964000e+01 1.237716e+00
1.700000e+03 2.189000e+03 3.784000e+01 1.277592e+00
1.800000e+03 2.255000e+03 3.621000e+01 1.327326e+00
2.000000e+03 2.378000e+03 3.337000e+01 1.407043e+00
2.250000e+03 2.519000e+03 3.045000e+01 1.506655e+00
2.500000e+03 2.646000e+03 2.803000e+01 1.596332e+00
2.750000e+03 2.762000e+03 2.600000e+01 1.685976e+00
3.000000e+03 2.868000e+03 2.427000e+01 1.775624e+00
3.250000e+03 2.965000e+03 2.277000e+01 1.865268e+00
3.500000e+03 3.053000e+03 2.146000e+01 1.944981e+00
3.750000e+03 3.134000e+03 2.031000e+01 2.024711e+00
4.000000e+03 3.207000e+03 1.928000e+01 2.104433e+00
4.500000e+03 3.336000e+03 1.753000e+01 2.254008e+00
5.000000e+03 3.443000e+03 1.609000e+01 2.393643e+00
5.500000e+03 3.532000e+03 1.489000e+01 2.533289e+00
6.000000e+03 3.606000e+03 1.387000e+01 2.672942e+00
6.500000e+03 3.667000e+03 1.298000e+01 2.812606e+00
7.000000e+03 3.717000e+03 1.221000e+01 2.942335e+00
8.000000e+03 3.793000e+03 1.094000e+01 3.211898e+00
9.000000e+03 3.843000e+03 9.918000e+00 3.471520e+00
1.000000e+04 3.873000e+03 9.084000e+00 3.731178e+00
1.100000e+04 3.889000e+03 8.387000e+00 3.980886e+00
1.200000e+04 3.894000e+03 7.797000e+00 4.240592e+00
1.300000e+04 3.890000e+03 7.289000e+00 4.500333e+00
1.400000e+04 3.880000e+03 6.847000e+00 4.750117e+00
1.500000e+04 3.864000e+03 6.460000e+00 5.009899e+00
1.600000e+04 3.845000e+03 6.116000e+00 5.269703e+00
1.700000e+04 3.823000e+03 5.810000e+00 5.529521e+00
1.800000e+04 3.798000e+03 5.534000e+00 5.789360e+00
2.000000e+04 3.744000e+03 5.059000e+00 6.319280e+00
2.250000e+04 3.671000e+03 4.575000e+00 6.989335e+00
2.500000e+04 3.595000e+03 4.181000e+00 7.679387e+00
2.750000e+04 3.519000e+03 3.852000e+00 8.379443e+00
3.000000e+04 3.444000e+03 3.574000e+00 9.099500e+00
3.250000e+04 3.371000e+03 3.336000e+00 9.829570e+00
3.500000e+04 3.299000e+03 3.129000e+00 1.057964e+01
3.750000e+04 3.230000e+03 2.948000e+00 1.133972e+01
4.000000e+04 3.163000e+03 2.788000e+00 1.212979e+01
4.500000e+04 3.061000e+03 2.517000e+00 1.373090e+01
5.000000e+04 2.936000e+03 2.297000e+00 1.540188e+01
5.500000e+04 2.826000e+03 2.114000e+00 1.713278e+01
6.000000e+04 2.725000e+03 1.959000e+00 1.893361e+01
6.500000e+04 2.632000e+03 1.827000e+00 2.080439e+01
7.000000e+04 2.545000e+03 1.712000e+00 2.273513e+01
8.000000e+04 2.388000e+03 1.523000e+00 2.678959e+01
9.000000e+04 2.251000e+03 1.373000e+00 3.108340e+01
1.000000e+05 2.130000e+03 1.251000e+00 3.565345e+01
