# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 1.527000e+02 3.298000e+02 1.839185e-02
1.100000e+01 1.602000e+02 3.254000e+02 1.996146e-02
1.200000e+01 1.673000e+02 3.210000e+02 2.164763e-02
1.300000e+01 1.741000e+02 3.166000e+02 2.321853e-02
1.400000e+01 1.807000e+02 3.122000e+02 2.487589e-02
1.500000e+01 1.870000e+02 3.079000e+02 2.644787e-02
1.600000e+01 1.932000e+02 3.036000e+02 2.809520e-02
1.700000e+01 1.991000e+02 2.994000e+02 2.975450e-02
1.800000e+01 2.049000e+02 2.954000e+02 3.128738e-02
2.000000e+01 2.160000e+02 2.875000e+02 3.456892e-02
2.250000e+01 2.291000e+02 2.782000e+02 3.866795e-02
2.500000e+01 2.415000e+02 2.695000e+02 4.270187e-02
2.750000e+01 2.532000e+02 2.614000e+02 4.670054e-02
3.000000e+01 2.645000e+02 2.539000e+02 5.070197e-02
3.250000e+01 2.756000e+02 2.468000e+02 5.467824e-02
3.500000e+01 2.868000e+02 2.401000e+02 5.868373e-02
3.750000e+01 2.971000e+02 2.339000e+02 6.265509e-02
4.000000e+01 3.065000e+02 2.280000e+02 6.660158e-02
4.500000e+01 3.233000e+02 2.172000e+02 7.449221e-02
5.000000e+01 3.384000e+02 2.076000e+02 8.232964e-02
5.500000e+01 3.524000e+02 1.989000e+02 9.020610e-02
6.000000e+01 3.655000e+02 1.911000e+02 9.802393e-02
6.500000e+01 3.779000e+02 1.839000e+02 1.056983e-01
7.000000e+01 3.897000e+02 1.774000e+02 1.134441e-01
8.000000e+01 4.119000e+02 1.658000e+02 1.287380e-01
9.000000e+01 4.324000e+02 1.559000e+02 1.439049e-01
1.000000e+02 4.518000e+02 1.472000e+02 1.588212e-01
1.100000e+02 4.701000e+02 1.397000e+02 1.735799e-01
1.200000e+02 4.877000e+02 1.329000e+02 1.882082e-01
1.300000e+02 5.046000e+02 1.269000e+02 2.025859e-01
1.400000e+02 5.211000e+02 1.215000e+02 2.168328e-01
1.500000e+02 5.371000e+02 1.166000e+02 2.308542e-01
1.600000e+02 5.528000e+02 1.122000e+02 2.446257e-01
1.700000e+02 5.682000e+02 1.081000e+02 2.581951e-01
1.800000e+02 5.833000e+02 1.044000e+02 2.716314e-01
2.000000e+02 6.130000e+02 9.768000e+01 2.979651e-01
2.250000e+02 6.494000e+02 9.060000e+01 3.299034e-01
2.500000e+02 6.850000e+02 8.461000e+01 3.606808e-01
2.750000e+02 7.202000e+02 7.945000e+01 3.903690e-01
3.000000e+02 7.550000e+02 7.496000e+01 4.192178e-01
3.250000e+02 7.894000e+02 7.101000e+01 4.470317e-01
3.500000e+02 8.235000e+02 6.751000e+01 4.739833e-01
3.750000e+02 8.573000e+02 6.438000e+01 5.000107e-01
4.000000e+02 8.909000e+02 6.156000e+01 5.253240e-01
4.500000e+02 9.571000e+02 5.667000e+01 5.737656e-01
5.000000e+02 1.022000e+03 5.259000e+01 6.195622e-01
5.500000e+02 1.086000e+03 4.911000e+01 6.628844e-01
6.000000e+02 1.149000e+03 4.611000e+01 7.041948e-01
6.500000e+02 1.210000e+03 4.350000e+01 7.435573e-01
7.000000e+02 1.270000e+03 4.119000e+01 7.812213e-01
8.000000e+02 1.386000e+03 3.731000e+01 8.520141e-01
9.000000e+02 1.496000e+03 3.416000e+01 9.178572e-01
1.000000e+03 1.601000e+03 3.155000e+01 9.794789e-01
1.100000e+03 1.701000e+03 2.934000e+01 1.035629e+00
1.200000e+03 1.794000e+03 2.745000e+01 1.095360e+00
1.300000e+03 1.883000e+03 2.581000e+01 1.145217e+00
1.400000e+03 1.967000e+03 2.437000e+01 1.195026e+00
1.500000e+03 2.046000e+03 2.310000e+01 1.244825e+00
1.600000e+03 2.120000e+03 2.196000e+01 1.294611e+00
1.700000e+03 2.190000e+03 2.094000e+01 1.334484e+00
1.800000e+03 2.256000e+03 2.002000e+01 1.384253e+00
2.000000e+03 2.375000e+03 1.843000e+01 1.463991e+00
2.250000e+03 2.505000e+03 1.678000e+01 1.563643e+00
