# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 1.601000e+02 2.239000e+03 7.387151e-03
1.100000e+01 1.680000e+02 2.316000e+03 7.690904e-03
1.200000e+01 1.754000e+02 2.387000e+03 8.095678e-03
1.300000e+01 1.826000e+02 2.453000e+03 8.424369e-03
1.400000e+01 1.895000e+02 2.515000e+03 8.734415e-03
1.500000e+01 1.961000e+02 2.572000e+03 9.133455e-03
1.600000e+01 2.026000e+02 2.626000e+03 9.462029e-03
1.700000e+01 2.088000e+02 2.677000e+03 9.771898e-03
1.800000e+01 2.149000e+02 2.725000e+03 1.007621e-02
2.000000e+01 2.265000e+02 2.813000e+03 1.071448e-02
2.250000e+01 2.402000e+02 2.911000e+03 1.142410e-02
2.500000e+01 2.532000e+02 2.999000e+03 1.215771e-02
2.750000e+01 2.656000e+02 3.077000e+03 1.286779e-02
3.000000e+01 2.774000e+02 3.148000e+03 1.359632e-02
3.250000e+01 2.887000e+02 3.213000e+03 1.423411e-02
3.500000e+01 2.996000e+02 3.272000e+03 1.484891e-02
3.750000e+01 3.101000e+02 3.326000e+03 1.555956e-02
4.000000e+01 3.203000e+02 3.376000e+03 1.617467e-02
4.500000e+01 3.397000e+02 3.465000e+03 1.742728e-02
5.000000e+01 3.581000e+02 3.543000e+03 1.865771e-02
5.500000e+01 3.756000e+02 3.610000e+03 1.979242e-02
6.000000e+01 3.923000e+02 3.669000e+03 2.092725e-02
6.500000e+01 4.083000e+02 3.722000e+03 2.204473e-02
7.000000e+01 4.237000e+02 3.769000e+03 2.317973e-02
8.000000e+01 4.530000e+02 3.848000e+03 2.544995e-02
9.000000e+01 4.804000e+02 3.913000e+03 2.760688e-02
1.000000e+02 5.064000e+02 3.965000e+03 2.976407e-02
1.100000e+02 5.312000e+02 4.008000e+03 3.180472e-02
1.200000e+02 5.548000e+02 4.043000e+03 3.386576e-02
1.300000e+02 5.774000e+02 4.072000e+03 3.590696e-02
1.400000e+02 5.992000e+02 4.096000e+03 3.796814e-02
1.500000e+02 6.203000e+02 4.115000e+03 3.991303e-02
1.600000e+02 6.406000e+02 4.130000e+03 4.185809e-02
1.700000e+02 6.603000e+02 4.142000e+03 4.391936e-02
1.800000e+02 6.795000e+02 4.151000e+03 4.586458e-02
2.000000e+02 7.162000e+02 4.163000e+03 4.975540e-02
2.250000e+02 7.597000e+02 4.167000e+03 5.455648e-02
2.500000e+02 8.008000e+02 4.162000e+03 5.937382e-02
2.750000e+02 8.398000e+02 4.152000e+03 6.417305e-02
3.000000e+02 8.669000e+02 4.136000e+03 6.897543e-02
3.250000e+02 8.530000e+02 4.117000e+03 7.366302e-02
3.500000e+02 8.571000e+02 4.095000e+03 7.856068e-02
3.750000e+02 8.728000e+02 4.070000e+03 8.336396e-02
4.000000e+02 8.960000e+02 4.045000e+03 8.814993e-02
4.500000e+02 9.539000e+02 3.990000e+03 9.785224e-02
5.000000e+02 1.017000e+03 3.932000e+03 1.075234e-01
5.500000e+02 1.080000e+03 3.874000e+03 1.171956e-01
6.000000e+02 1.139000e+03 3.815000e+03 1.268686e-01
6.500000e+02 1.192000e+03 3.757000e+03 1.365258e-01
7.000000e+02 1.240000e+03 3.700000e+03 1.462977e-01
8.000000e+02 1.322000e+03 3.589000e+03 1.658267e-01
9.000000e+02 1.388000e+03 3.483000e+03 1.855238e-01
1.000000e+03 1.441000e+03 3.383000e+03 2.054321e-01
1.100000e+03 1.486000e+03 3.289000e+03 2.255094e-01
1.200000e+03 1.524000e+03 3.200000e+03 2.458976e-01
1.300000e+03 1.558000e+03 3.116000e+03 2.664539e-01
1.400000e+03 1.589000e+03 3.037000e+03 2.873338e-01
1.500000e+03 1.617000e+03 2.962000e+03 3.083005e-01
1.600000e+03 1.645000e+03 2.892000e+03 3.295489e-01
1.700000e+03 1.671000e+03 2.825000e+03 3.510936e-01
1.800000e+03 1.697000e+03 2.762000e+03 3.727642e-01
2.000000e+03 1.749000e+03 2.645000e+03 4.166722e-01
2.250000e+03 1.814000e+03 2.514000e+03 4.723731e-01
2.500000e+03 1.880000e+03 2.398000e+03 5.289777e-01
2.750000e+03 1.947000e+03 2.294000e+03 5.861400e-01
3.000000e+03 2.015000e+03 2.199000e+03 6.437887e-01
3.250000e+03 2.085000e+03 2.114000e+03 7.017999e-01
3.500000e+03 2.154000e+03 2.036000e+03 7.600013e-01
3.750000e+03 2.225000e+03 1.964000e+03 8.182830e-01
4.000000e+03 2.295000e+03 1.898000e+03 8.765457e-01
4.500000e+03 2.436000e+03 1.781000e+03 9.929623e-01
5.000000e+03 2.577000e+03 1.680000e+03 1.112939e+00
5.500000e+03 2.716000e+03 1.591000e+03 1.223739e+00
6.000000e+03 2.854000e+03 1.512000e+03 1.334454e+00
6.500000e+03 2.991000e+03 1.442000e+03 1.445086e+00
7.000000e+03 3.127000e+03 1.379000e+03 1.555639e+00
8.000000e+03 3.395000e+03 1.270000e+03 1.776694e+00
9.000000e+03 3.661000e+03 1.180000e+03 1.977669e+00
1.000000e+04 3.924000e+03 1.103000e+03 2.178417e+00
1.100000e+04 4.187000e+03 1.037000e+03 2.369048e+00
1.200000e+04 4.450000e+03 9.787000e+02 2.559528e+00
1.300000e+04 4.713000e+03 9.278000e+02 2.730016e+00
1.400000e+04 4.976000e+03 8.826000e+02 2.910307e+00
1.500000e+04 5.238000e+03 8.421000e+02 3.070642e+00
1.600000e+04 5.501000e+03 8.056000e+02 3.230877e+00
1.700000e+04 5.762000e+03 7.725000e+02 3.381097e+00
