# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 9.459000e+01 1.831000e+03 7.561746e-03
1.100000e+01 9.921000e+01 1.877000e+03 8.077747e-03
1.200000e+01 1.036000e+02 1.918000e+03 8.501176e-03
1.300000e+01 1.079000e+02 1.955000e+03 8.924685e-03
1.400000e+01 1.119000e+02 1.989000e+03 9.348262e-03
1.500000e+01 1.159000e+02 2.021000e+03 9.771898e-03
1.600000e+01 1.197000e+02 2.049000e+03 1.019559e-02
1.700000e+01 1.233000e+02 2.076000e+03 1.061932e-02
1.800000e+01 1.269000e+02 2.100000e+03 1.102089e-02
2.000000e+01 1.338000e+02 2.144000e+03 1.177497e-02
2.250000e+01 1.419000e+02 2.191000e+03 1.283745e-02
2.500000e+01 1.496000e+02 2.231000e+03 1.377861e-02
2.750000e+01 1.569000e+02 2.264000e+03 1.472005e-02
3.000000e+01 1.638000e+02 2.294000e+03 1.554638e-02
3.250000e+01 1.705000e+02 2.319000e+03 1.648818e-02
3.500000e+01 1.770000e+02 2.341000e+03 1.743015e-02
3.750000e+01 1.832000e+02 2.359000e+03 1.830464e-02
4.000000e+01 1.892000e+02 2.376000e+03 1.922550e-02
4.500000e+01 2.007000e+02 2.403000e+03 2.090048e-02
5.000000e+01 2.115000e+02 2.423000e+03 2.269053e-02
5.500000e+01 2.218000e+02 2.438000e+03 2.443461e-02
6.000000e+01 2.317000e+02 2.449000e+03 2.611015e-02
6.500000e+01 2.412000e+02 2.456000e+03 2.778579e-02
7.000000e+01 2.503000e+02 2.461000e+03 2.946150e-02
8.000000e+01 2.676000e+02 2.464000e+03 3.288313e-02
9.000000e+01 2.838000e+02 2.461000e+03 3.623507e-02
1.000000e+02 2.991000e+02 2.453000e+03 3.954339e-02
1.100000e+02 3.137000e+02 2.442000e+03 4.287155e-02
1.200000e+02 3.277000e+02 2.428000e+03 4.629525e-02
1.300000e+02 3.411000e+02 2.413000e+03 4.960514e-02
1.400000e+02 3.539000e+02 2.396000e+03 5.302952e-02
1.500000e+02 3.664000e+02 2.378000e+03 5.634013e-02
1.600000e+02 3.784000e+02 2.360000e+03 5.976496e-02
1.700000e+02 3.908000e+02 2.341000e+03 6.317167e-02
1.800000e+02 4.384000e+02 2.322000e+03 6.655599e-02
2.000000e+02 5.039000e+02 2.283000e+03 7.329325e-02
2.250000e+02 5.516000e+02 2.234000e+03 8.164472e-02
2.500000e+02 5.795000e+02 2.186000e+03 8.999744e-02
2.750000e+02 5.985000e+02 2.140000e+03 9.854329e-02
3.000000e+02 6.142000e+02 2.095000e+03 1.071863e-01
3.250000e+02 6.294000e+02 2.052000e+03 1.158303e-01
3.500000e+02 6.453000e+02 2.010000e+03 1.246468e-01
3.750000e+02 6.625000e+02 1.970000e+03 1.335816e-01
4.000000e+02 6.812000e+02 1.932000e+03 1.426136e-01
4.500000e+02 7.226000e+02 1.860000e+03 1.607563e-01
5.000000e+02 7.683000e+02 1.794000e+03 1.791919e-01
5.500000e+02 8.166000e+02 1.733000e+03 1.977074e-01
6.000000e+02 8.662000e+02 1.677000e+03 2.163032e-01
6.500000e+02 9.162000e+02 1.625000e+03 2.349985e-01
7.000000e+02 9.657000e+02 1.576000e+03 2.536775e-01
8.000000e+02 1.062000e+03 1.488000e+03 2.910873e-01
9.000000e+02 1.153000e+03 1.411000e+03 3.284698e-01
1.000000e+03 1.238000e+03 1.343000e+03 3.656003e-01
1.100000e+03 1.317000e+03 1.282000e+03 4.025582e-01
1.200000e+03 1.391000e+03 1.228000e+03 4.393120e-01
1.300000e+03 1.460000e+03 1.178000e+03 4.757998e-01
1.400000e+03 1.526000e+03 1.134000e+03 5.120690e-01
1.500000e+03 1.588000e+03 1.092000e+03 5.481037e-01
1.600000e+03 1.648000e+03 1.055000e+03 5.838217e-01
1.700000e+03 1.705000e+03 1.020000e+03 6.193889e-01
1.800000e+03 1.760000e+03 9.877000e+02 6.546544e-01
2.000000e+03 1.866000e+03 9.299000e+02 7.243321e-01
2.250000e+03 1.994000e+03 8.678000e+02 8.099147e-01
2.500000e+03 2.118000e+03 8.146000e+02 8.935802e-01
2.750000e+03 2.241000e+03 7.684000e+02 9.753432e-01
3.000000e+03 2.364000e+03 7.279000e+02 1.056326e+00
3.250000e+03 2.488000e+03 6.921000e+02 1.136714e+00
3.500000e+03 2.613000e+03 6.600000e+02 1.207169e+00
3.750000e+03 2.738000e+03 6.312000e+02 1.277540e+00
4.000000e+03 2.865000e+03 6.051000e+02 1.357699e+00
4.500000e+03 3.120000e+03 5.597000e+02 1.488300e+00
5.000000e+03 3.378000e+03 5.214000e+02 1.618671e+00
5.500000e+03 3.636000e+03 4.886000e+02 1.738969e+00
6.000000e+03 3.894000e+03 4.601000e+02 1.859122e+00
6.500000e+03 4.148000e+03 4.352000e+02 1.969275e+00
7.000000e+03 4.400000e+03 4.131000e+02 2.069409e+00
8.000000e+03 4.888000e+03 3.757000e+02 2.269529e+00
9.000000e+03 5.354000e+03 3.452000e+02 2.449579e+00
1.000000e+04 5.795000e+03 3.197000e+02 2.619527e+00
1.100000e+04 6.210000e+03 2.981000e+02 2.769481e+00
1.200000e+04 6.598000e+03 2.795000e+02 2.919359e+00
1.300000e+04 6.962000e+03 2.633000e+02 3.059220e+00
1.400000e+04 7.301000e+03 2.491000e+02 3.189087e+00
1.500000e+04 7.618000e+03 2.365000e+02 3.318923e+00
1.600000e+04 7.914000e+03 2.252000e+02 3.448728e+00
1.700000e+04 8.191000e+03 2.150000e+02 3.568562e+00
1.800000e+04 8.451000e+03 2.058000e+02 3.678426e+00
2.000000e+04 8.923000e+03 1.898000e+02 3.908121e+00
2.250000e+04 9.440000e+03 1.733000e+02 4.167830e+00
2.500000e+04 9.892000e+03 1.596000e+02 4.427492e+00
2.750000e+04 1.029000e+04 1.481000e+02 4.667192e+00
3.000000e+04 1.066000e+04 1.383000e+02 4.896914e+00
3.250000e+04 1.099000e+04 1.298000e+02 5.126617e+00
3.500000e+04 1.129000e+04 1.224000e+02 5.346343e+00
3.750000e+04 1.158000e+04 1.158000e+02 5.566062e+00
4.000000e+04 1.184000e+04 1.100000e+02 5.775814e+00
4.500000e+04 1.233000e+04 1.000000e+02 6.185477e+00
5.000000e+04 1.276000e+04 9.188000e+01 6.575164e+00
5.500000e+04 1.316000e+04 8.503000e+01 6.964843e+00
6.000000e+04 1.351000e+04 7.921000e+01 7.334554e+00
6.500000e+04 1.384000e+04 7.419000e+01 7.694288e+00
7.000000e+04 1.414000e+04 6.981000e+01 8.054028e+00
8.000000e+04 1.468000e+04 6.254000e+01 8.743830e+00
9.000000e+04 1.513000e+04 5.673000e+01 9.403633e+00
1.000000e+05 1.551000e+04 5.197000e+01 1.005343e+01
