# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 9.011000e+01 2.022000e+03 7.387828e-03
1.100000e+01 9.451000e+01 2.080000e+03 7.811530e-03
1.200000e+01 9.871000e+01 2.133000e+03 8.235290e-03
1.300000e+01 1.027000e+02 2.181000e+03 8.637708e-03
1.400000e+01 1.066000e+02 2.226000e+03 9.061457e-03
1.500000e+01 1.104000e+02 2.267000e+03 9.391486e-03
1.600000e+01 1.140000e+02 2.305000e+03 9.815294e-03
1.700000e+01 1.175000e+02 2.340000e+03 1.012423e-02
1.800000e+01 1.209000e+02 2.373000e+03 1.052093e-02
2.000000e+01 1.274000e+02 2.433000e+03 1.127475e-02
2.250000e+01 1.352000e+02 2.499000e+03 1.210165e-02
2.500000e+01 1.425000e+02 2.556000e+03 1.294952e-02
2.750000e+01 1.494000e+02 2.606000e+03 1.377679e-02
3.000000e+01 1.561000e+02 2.649000e+03 1.462464e-02
3.250000e+01 1.624000e+02 2.688000e+03 1.542660e-02
3.500000e+01 1.686000e+02 2.723000e+03 1.617993e-02
3.750000e+01 1.745000e+02 2.754000e+03 1.700765e-02
4.000000e+01 1.802000e+02 2.782000e+03 1.776091e-02
4.500000e+01 1.912000e+02 2.830000e+03 1.929689e-02
5.000000e+01 2.015000e+02 2.870000e+03 2.075837e-02
5.500000e+01 2.113000e+02 2.902000e+03 2.231502e-02
6.000000e+01 2.207000e+02 2.929000e+03 2.375731e-02
6.500000e+01 2.297000e+02 2.951000e+03 2.521924e-02
7.000000e+01 2.384000e+02 2.969000e+03 2.666196e-02
8.000000e+01 2.549000e+02 2.997000e+03 2.947168e-02
9.000000e+01 2.703000e+02 3.014000e+03 3.228157e-02
1.000000e+02 2.850000e+02 3.024000e+03 3.518707e-02
1.100000e+02 2.989000e+02 3.029000e+03 3.795590e-02
1.200000e+02 3.122000e+02 3.030000e+03 4.076629e-02
1.300000e+02 3.249000e+02 3.026000e+03 4.344030e-02
1.400000e+02 3.372000e+02 3.021000e+03 4.625084e-02
1.500000e+02 3.490000e+02 3.013000e+03 4.902122e-02
1.600000e+02 3.605000e+02 3.003000e+03 5.183184e-02
1.700000e+02 3.715000e+02 2.992000e+03 5.460275e-02
1.800000e+02 3.823000e+02 2.979000e+03 5.737404e-02
2.000000e+02 4.030000e+02 2.952000e+03 6.295633e-02
2.250000e+02 4.733000e+02 2.915000e+03 6.984898e-02
2.500000e+02 5.279000e+02 2.875000e+03 7.685584e-02
2.750000e+02 5.626000e+02 2.834000e+03 8.372927e-02
3.000000e+02 5.863000e+02 2.793000e+03 9.064083e-02
3.250000e+02 6.044000e+02 2.752000e+03 9.770860e-02
3.500000e+02 6.199000e+02 2.712000e+03 1.046807e-01
3.750000e+02 6.346000e+02 2.672000e+03 1.118467e-01
4.000000e+02 6.493000e+02 2.633000e+03 1.190332e-01
4.500000e+02 6.806000e+02 2.558000e+03 1.335777e-01
5.000000e+02 7.153000e+02 2.487000e+03 1.483211e-01
5.500000e+02 7.529000e+02 2.419000e+03 1.631596e-01
6.000000e+02 7.929000e+02 2.355000e+03 1.782751e-01
6.500000e+02 8.343000e+02 2.295000e+03 1.933739e-01
7.000000e+02 8.765000e+02 2.238000e+03 2.087019e-01
8.000000e+02 9.612000e+02 2.134000e+03 2.394076e-01
9.000000e+02 1.044000e+03 2.040000e+03 2.703602e-01
1.000000e+03 1.124000e+03 1.955000e+03 3.014296e-01
1.100000e+03 1.199000e+03 1.878000e+03 3.326330e-01
1.200000e+03 1.271000e+03 1.808000e+03 3.637290e-01
1.300000e+03 1.339000e+03 1.743000e+03 3.949919e-01
1.400000e+03 1.404000e+03 1.684000e+03 4.261295e-01
1.500000e+03 1.465000e+03 1.630000e+03 4.572572e-01
1.600000e+03 1.524000e+03 1.579000e+03 4.882601e-01
1.700000e+03 1.580000e+03 1.532000e+03 5.193508e-01
1.800000e+03 1.635000e+03 1.488000e+03 5.502194e-01
2.000000e+03 1.738000e+03 1.409000e+03 6.119261e-01
2.250000e+03 1.861000e+03 1.323000e+03 6.883646e-01
2.500000e+03 1.979000e+03 1.248000e+03 7.639114e-01
2.750000e+03 2.094000e+03 1.183000e+03 8.385690e-01
3.000000e+03 2.207000e+03 1.125000e+03 9.120691e-01
3.250000e+03 2.320000e+03 1.073000e+03 9.843140e-01
3.500000e+03 2.433000e+03 1.027000e+03 1.055685e+00
3.750000e+03 2.546000e+03 9.847000e+02 1.126122e+00
4.000000e+03 2.661000e+03 9.465000e+02 1.196488e+00
4.500000e+03 2.892000e+03 8.794000e+02 1.327257e+00
5.000000e+03 3.126000e+03 8.224000e+02 1.447932e+00
5.500000e+03 3.364000e+03 7.733000e+02 1.578317e+00
6.000000e+03 3.603000e+03 7.304000e+02 1.688759e+00
6.500000e+03 3.842000e+03 6.926000e+02 1.799085e+00
7.000000e+03 4.082000e+03 6.591000e+02 1.909290e+00
8.000000e+03 4.557000e+03 6.019000e+02 2.099814e+00
9.000000e+03 5.023000e+03 5.548000e+02 2.290023e+00
1.000000e+04 5.475000e+03 5.154000e+02 2.460186e+00
1.100000e+04 5.910000e+03 4.818000e+02 2.620252e+00
1.200000e+04 6.329000e+03 4.528000e+02 2.770261e+00
1.300000e+04 6.729000e+03 4.274000e+02 2.910244e+00
1.400000e+04 7.110000e+03 4.050000e+02 3.040218e+00
1.500000e+04 7.473000e+03 3.851000e+02 3.170123e+00
1.600000e+04 7.819000e+03 3.673000e+02 3.299978e+00
1.700000e+04 8.148000e+03 3.512000e+02 3.419865e+00
1.800000e+04 8.460000e+03 3.366000e+02 3.529780e+00
2.000000e+04 9.039000e+03 3.111000e+02 3.749577e+00
2.250000e+04 9.688000e+03 2.846000e+02 4.009327e+00
2.500000e+04 1.026000e+04 2.627000e+02 4.249075e+00
2.750000e+04 1.078000e+04 2.442000e+02 4.478818e+00
3.000000e+04 1.125000e+04 2.284000e+02 4.698550e+00
3.250000e+04 1.168000e+04 2.147000e+02 4.908297e+00
3.500000e+04 1.207000e+04 2.026000e+02 5.118019e+00
3.750000e+04 1.244000e+04 1.920000e+02 5.317761e+00
4.000000e+04 1.279000e+04 1.825000e+02 5.507535e+00
4.500000e+04 1.341000e+04 1.663000e+02 5.887175e+00
5.000000e+04 1.398000e+04 1.530000e+02 6.246832e+00
5.500000e+04 1.450000e+04 1.418000e+02 6.596498e+00
6.000000e+04 1.497000e+04 1.322000e+02 6.926201e+00
6.500000e+04 1.541000e+04 1.240000e+02 7.255897e+00
7.000000e+04 1.582000e+04 1.168000e+02 7.575609e+00
8.000000e+04 1.656000e+04 1.048000e+02 8.185325e+00
9.000000e+04 1.721000e+04 9.517000e+01 8.775039e+00
1.000000e+05 1.778000e+04 8.730000e+01 9.334775e+00
