# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 8.799000e+01 2.000000e+03 7.481310e-03
1.100000e+01 9.229000e+01 2.056000e+03 7.905062e-03
1.200000e+01 9.639000e+01 2.108000e+03 8.328865e-03
1.300000e+01 1.003000e+02 2.155000e+03 8.659099e-03
1.400000e+01 1.041000e+02 2.199000e+03 9.061457e-03
1.500000e+01 1.078000e+02 2.239000e+03 9.485252e-03
1.600000e+01 1.113000e+02 2.276000e+03 9.815294e-03
1.700000e+01 1.147000e+02 2.310000e+03 1.023914e-02
1.800000e+01 1.181000e+02 2.342000e+03 1.064190e-02
2.000000e+01 1.244000e+02 2.401000e+03 1.136882e-02
2.250000e+01 1.320000e+02 2.464000e+03 1.219590e-02
2.500000e+01 1.391000e+02 2.520000e+03 1.304377e-02
2.750000e+01 1.459000e+02 2.568000e+03 1.389172e-02
3.000000e+01 1.524000e+02 2.610000e+03 1.471904e-02
3.250000e+01 1.586000e+02 2.648000e+03 1.556695e-02
3.500000e+01 1.646000e+02 2.681000e+03 1.639451e-02
3.750000e+01 1.704000e+02 2.711000e+03 1.712250e-02
4.000000e+01 1.760000e+02 2.738000e+03 1.795021e-02
4.500000e+01 1.867000e+02 2.784000e+03 1.953126e-02
5.000000e+01 1.968000e+02 2.821000e+03 2.108744e-02
5.500000e+01 2.064000e+02 2.852000e+03 2.252931e-02
6.000000e+01 2.155000e+02 2.877000e+03 2.408610e-02
6.500000e+01 2.243000e+02 2.898000e+03 2.554799e-02
7.000000e+01 2.328000e+02 2.915000e+03 2.699055e-02
8.000000e+01 2.489000e+02 2.939000e+03 2.989548e-02
9.000000e+01 2.640000e+02 2.955000e+03 3.280076e-02
1.000000e+02 2.783000e+02 2.963000e+03 3.570630e-02
1.100000e+02 2.918000e+02 2.966000e+03 3.849792e-02
1.200000e+02 3.048000e+02 2.965000e+03 4.140386e-02
1.300000e+02 3.173000e+02 2.961000e+03 4.419174e-02
1.400000e+02 3.292000e+02 2.954000e+03 4.707983e-02
1.500000e+02 3.408000e+02 2.945000e+03 4.986823e-02
1.600000e+02 3.520000e+02 2.934000e+03 5.275680e-02
1.700000e+02 3.628000e+02 2.922000e+03 5.554557e-02
1.800000e+02 3.733000e+02 2.909000e+03 5.843449e-02
2.000000e+02 3.935000e+02 2.880000e+03 6.411271e-02
2.250000e+02 4.799000e+02 2.842000e+03 7.121482e-02
2.500000e+02 5.386000e+02 2.801000e+03 7.822154e-02
2.750000e+02 5.730000e+02 2.760000e+03 8.530821e-02
3.000000e+02 5.945000e+02 2.718000e+03 9.239194e-02
3.250000e+02 6.096000e+02 2.677000e+03 9.957660e-02
3.500000e+02 6.221000e+02 2.636000e+03 1.067418e-01
3.750000e+02 6.339000e+02 2.596000e+03 1.140407e-01
4.000000e+02 6.463000e+02 2.558000e+03 1.213040e-01
4.500000e+02 6.744000e+02 2.482000e+03 1.362745e-01
5.000000e+02 7.077000e+02 2.411000e+03 1.514210e-01
5.500000e+02 7.455000e+02 2.344000e+03 1.666473e-01
6.000000e+02 7.866000e+02 2.281000e+03 1.820882e-01
6.500000e+02 8.300000e+02 2.222000e+03 1.977061e-01
7.000000e+02 8.745000e+02 2.166000e+03 2.133256e-01
8.000000e+02 9.645000e+02 2.063000e+03 2.448423e-01
9.000000e+02 1.053000e+03 1.970000e+03 2.764115e-01
1.000000e+03 1.137000e+03 1.887000e+03 3.080658e-01
1.100000e+03 1.216000e+03 1.812000e+03 3.397884e-01
1.200000e+03 1.291000e+03 1.743000e+03 3.713708e-01
1.300000e+03 1.361000e+03 1.680000e+03 4.030553e-01
1.400000e+03 1.426000e+03 1.623000e+03 4.345844e-01
1.500000e+03 1.488000e+03 1.570000e+03 4.661179e-01
1.600000e+03 1.547000e+03 1.521000e+03 4.976108e-01
1.700000e+03 1.603000e+03 1.475000e+03 5.289960e-01
1.800000e+03 1.656000e+03 1.432000e+03 5.602574e-01
2.000000e+03 1.757000e+03 1.355000e+03 6.225674e-01
2.250000e+03 1.875000e+03 1.272000e+03 6.999757e-01
2.500000e+03 1.988000e+03 1.199000e+03 7.764094e-01
2.750000e+03 2.098000e+03 1.136000e+03 8.520660e-01
3.000000e+03 2.207000e+03 1.080000e+03 9.265660e-01
3.250000e+03 2.316000e+03 1.030000e+03 9.998969e-01
3.500000e+03 2.426000e+03 9.851000e+02 1.075718e+00
3.750000e+03 2.537000e+03 9.445000e+02 1.146159e+00
4.000000e+03 2.649000e+03 9.076000e+02 1.216542e+00
4.500000e+03 2.879000e+03 8.429000e+02 1.347317e+00
5.000000e+03 3.114000e+03 7.880000e+02 1.477877e+00
5.500000e+03 3.354000e+03 7.407000e+02 1.598378e+00
6.000000e+03 3.597000e+03 6.994000e+02 1.718726e+00
6.500000e+03 3.841000e+03 6.631000e+02 1.829040e+00
7.000000e+03 4.086000e+03 6.308000e+02 1.929344e+00
8.000000e+03 4.574000e+03 5.758000e+02 2.129751e+00
9.000000e+03 5.052000e+03 5.306000e+02 2.310041e+00
1.000000e+04 5.515000e+03 4.928000e+02 2.490091e+00
1.100000e+04 5.961000e+03 4.605000e+02 2.640218e+00
1.200000e+04 6.387000e+03 4.327000e+02 2.790206e+00
1.300000e+04 6.794000e+03 4.084000e+02 2.930169e+00
1.400000e+04 7.179000e+03 3.869000e+02 3.070050e+00
1.500000e+04 7.545000e+03 3.678000e+02 3.199955e+00
1.600000e+04 7.892000e+03 3.508000e+02 3.319862e+00
1.700000e+04 8.220000e+03 3.353000e+02 3.439731e+00
1.800000e+04 8.531000e+03 3.214000e+02 3.549628e+00
2.000000e+04 9.104000e+03 2.970000e+02 3.769413e+00
2.250000e+04 9.741000e+03 2.717000e+02 4.019192e+00
2.500000e+04 1.030000e+04 2.507000e+02 4.268889e+00
2.750000e+04 1.081000e+04 2.330000e+02 4.498614e+00
3.000000e+04 1.126000e+04 2.179000e+02 4.718348e+00
3.250000e+04 1.167000e+04 2.047000e+02 4.928084e+00
3.500000e+04 1.205000e+04 1.932000e+02 5.137813e+00
3.750000e+04 1.240000e+04 1.831000e+02 5.337556e+00
4.000000e+04 1.273000e+04 1.740000e+02 5.527325e+00
4.500000e+04 1.334000e+04 1.585000e+02 5.906965e+00
5.000000e+04 1.388000e+04 1.458000e+02 6.266631e+00
5.500000e+04 1.438000e+04 1.351000e+02 6.616306e+00
6.000000e+04 1.484000e+04 1.260000e+02 6.955989e+00
6.500000e+04 1.527000e+04 1.181000e+02 7.285688e+00
7.000000e+04 1.567000e+04 1.112000e+02 7.605413e+00
8.000000e+04 1.639000e+04 9.981000e+01 8.225134e+00
9.000000e+04 1.702000e+04 9.065000e+01 8.814858e+00
1.000000e+05 1.758000e+04 8.315000e+01 9.394581e+00
