# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 1.665000e+02 8.746000e+02 1.040481e-02
1.100000e+01 1.746000e+02 8.796000e+02 1.119196e-02
1.200000e+01 1.823000e+02 8.831000e+02 1.194194e-02
1.300000e+01 1.898000e+02 8.854000e+02 1.272910e-02
1.400000e+01 1.969000e+02 8.868000e+02 1.347961e-02
1.500000e+01 2.039000e+02 8.874000e+02 1.423973e-02
1.600000e+01 2.105000e+02 8.873000e+02 1.502698e-02
1.700000e+01 2.170000e+02 8.866000e+02 1.577783e-02
1.800000e+01 2.233000e+02 8.855000e+02 1.652907e-02
2.000000e+01 2.354000e+02 8.821000e+02 1.804134e-02
2.250000e+01 2.497000e+02 8.762000e+02 1.997523e-02
2.500000e+01 2.632000e+02 8.692000e+02 2.184514e-02
2.750000e+01 2.760000e+02 8.613000e+02 2.378003e-02
3.000000e+01 2.883000e+02 8.530000e+02 2.562499e-02
3.250000e+01 3.001000e+02 8.442000e+02 2.752690e-02
3.500000e+01 3.114000e+02 8.353000e+02 2.937244e-02
3.750000e+01 3.223000e+02 8.263000e+02 3.130910e-02
4.000000e+01 3.329000e+02 8.172000e+02 3.312159e-02
4.500000e+01 3.531000e+02 7.993000e+02 3.696336e-02
5.000000e+01 3.722000e+02 7.817000e+02 4.068243e-02
5.500000e+01 3.904000e+02 7.647000e+02 4.452651e-02
6.000000e+01 4.077000e+02 7.482000e+02 4.831666e-02
6.500000e+01 4.242000e+02 7.325000e+02 5.213118e-02
7.000000e+01 4.388000e+02 7.173000e+02 5.592397e-02
8.000000e+01 4.647000e+02 6.889000e+02 6.364967e-02
9.000000e+01 4.871000e+02 6.629000e+02 7.141891e-02
1.000000e+02 5.069000e+02 6.390000e+02 7.916975e-02
1.100000e+02 5.252000e+02 6.170000e+02 8.700971e-02
1.200000e+02 5.422000e+02 5.967000e+02 9.494620e-02
1.300000e+02 5.583000e+02 5.778000e+02 1.028643e-01
1.400000e+02 5.738000e+02 5.604000e+02 1.108722e-01
1.500000e+02 5.887000e+02 5.441000e+02 1.188827e-01
1.600000e+02 6.032000e+02 5.289000e+02 1.268485e-01
1.700000e+02 6.175000e+02 5.147000e+02 1.349372e-01
1.800000e+02 6.315000e+02 5.013000e+02 1.430223e-01
2.000000e+02 6.591000e+02 4.770000e+02 1.591328e-01
2.250000e+02 6.931000e+02 4.502000e+02 1.793333e-01
2.500000e+02 7.269000e+02 4.267000e+02 1.993822e-01
2.750000e+02 7.608000e+02 4.059000e+02 2.193223e-01
3.000000e+02 7.947000e+02 3.874000e+02 2.390152e-01
3.250000e+02 8.286000e+02 3.707000e+02 2.585573e-01
3.500000e+02 8.625000e+02 3.557000e+02 2.777581e-01
3.750000e+02 8.964000e+02 3.420000e+02 2.967350e-01
4.000000e+02 9.302000e+02 3.295000e+02 3.154876e-01
4.500000e+02 9.975000e+02 3.074000e+02 3.520280e-01
5.000000e+02 1.064000e+03 2.885000e+02 3.874751e-01
5.500000e+02 1.130000e+03 2.721000e+02 4.217340e-01
6.000000e+02 1.194000e+03 2.577000e+02 4.548217e-01
6.500000e+02 1.258000e+03 2.450000e+02 4.869671e-01
7.000000e+02 1.320000e+03 2.336000e+02 5.180541e-01
8.000000e+02 1.440000e+03 2.141000e+02 5.775414e-01
9.000000e+02 1.556000e+03 1.980000e+02 6.336836e-01
1.000000e+03 1.667000e+03 1.844000e+02 6.869609e-01
1.100000e+03 1.774000e+03 1.728000e+02 7.376320e-01
1.200000e+03 1.876000e+03 1.627000e+02 7.860625e-01
1.300000e+03 1.975000e+03 1.539000e+02 8.324441e-01
1.400000e+03 2.071000e+03 1.461000e+02 8.769996e-01
1.500000e+03 2.164000e+03 1.391000e+02 9.199357e-01
1.600000e+03 2.254000e+03 1.328000e+02 9.613347e-01
1.700000e+03 2.341000e+03 1.272000e+02 1.001433e+00
1.800000e+03 2.427000e+03 1.220000e+02 1.036364e+00
2.000000e+03 2.591000e+03 1.130000e+02 1.116213e+00
2.250000e+03 2.787000e+03 1.036000e+02 1.206084e+00
2.500000e+03 2.973000e+03 9.581000e+01 1.285979e+00
2.750000e+03 3.152000e+03 8.921000e+01 1.365801e+00
3.000000e+03 3.323000e+03 8.354000e+01 1.435696e+00
3.250000e+03 3.487000e+03 7.862000e+01 1.505532e+00
3.500000e+03 3.646000e+03 7.430000e+01 1.575335e+00
3.750000e+03 3.798000e+03 7.047000e+01 1.635204e+00
4.000000e+03 3.945000e+03 6.705000e+01 1.704972e+00
4.500000e+03 4.222000e+03 6.120000e+01 1.824685e+00
5.000000e+03 4.478000e+03 5.637000e+01 1.934417e+00
5.500000e+03 4.714000e+03 5.231000e+01 2.044122e+00
6.000000e+03 4.930000e+03 4.884000e+01 2.143881e+00
6.500000e+03 5.129000e+03 4.583000e+01 2.233679e+00
7.000000e+03 5.310000e+03 4.321000e+01 2.333411e+00
8.000000e+03 5.628000e+03 3.883000e+01 2.513036e+00
9.000000e+03 5.892000e+03 3.532000e+01 2.682697e+00
1.000000e+04 6.111000e+03 3.243000e+01 2.852340e+00
1.100000e+04 6.294000e+03 3.002000e+01 3.012038e+00
1.200000e+04 6.446000e+03 2.796000e+01 3.161777e+00
1.300000e+04 6.573000e+03 2.619000e+01 3.311525e+00
1.400000e+04 6.678000e+03 2.464000e+01 3.461276e+00
1.500000e+04 6.766000e+03 2.328000e+01 3.611034e+00
1.600000e+04 6.837000e+03 2.207000e+01 3.760802e+00
1.700000e+04 6.896000e+03 2.099000e+01 3.900605e+00
1.800000e+04 6.944000e+03 2.002000e+01 4.050394e+00
2.000000e+04 7.011000e+03 1.834000e+01 4.330138e+00
2.250000e+04 7.055000e+03 1.662000e+01 4.689873e+00
2.500000e+04 7.067000e+03 1.522000e+01 5.039654e+00
2.750000e+04 7.056000e+03 1.405000e+01 5.389448e+00
3.000000e+04 7.029000e+03 1.305000e+01 5.749253e+00
3.250000e+04 6.990000e+03 1.220000e+01 6.099086e+00
3.500000e+04 6.942000e+03 1.146000e+01 6.458929e+00
3.750000e+04 6.889000e+03 1.081000e+01 6.818785e+00
