# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 8.789000e+01 2.122000e+03 7.433034e-03
1.100000e+01 9.218000e+01 2.188000e+03 7.856844e-03
1.200000e+01 9.628000e+01 2.248000e+03 8.280700e-03
1.300000e+01 1.002000e+02 2.304000e+03 8.610459e-03
1.400000e+01 1.040000e+02 2.356000e+03 9.013878e-03
1.500000e+01 1.076000e+02 2.404000e+03 9.343447e-03
1.600000e+01 1.112000e+02 2.448000e+03 9.741150e-03
1.700000e+01 1.146000e+02 2.490000e+03 1.005037e-02
1.800000e+01 1.179000e+02 2.530000e+03 1.037979e-02
2.000000e+01 1.243000e+02 2.601000e+03 1.111306e-02
2.250000e+01 1.318000e+02 2.681000e+03 1.193524e-02
2.500000e+01 1.390000e+02 2.750000e+03 1.276323e-02
2.750000e+01 1.458000e+02 2.812000e+03 1.351629e-02
3.000000e+01 1.522000e+02 2.867000e+03 1.431957e-02
3.250000e+01 1.585000e+02 2.916000e+03 1.505291e-02
3.500000e+01 1.644000e+02 2.961000e+03 1.578132e-02
3.750000e+01 1.702000e+02 3.002000e+03 1.651454e-02
4.000000e+01 1.758000e+02 3.038000e+03 1.722382e-02
4.500000e+01 1.865000e+02 3.103000e+03 1.868582e-02
5.000000e+01 1.965000e+02 3.158000e+03 2.003347e-02
5.500000e+01 2.061000e+02 3.204000e+03 2.138130e-02
6.000000e+01 2.153000e+02 3.244000e+03 2.274797e-02
6.500000e+01 2.241000e+02 3.279000e+03 2.407281e-02
7.000000e+01 2.325000e+02 3.308000e+03 2.542086e-02
8.000000e+01 2.486000e+02 3.356000e+03 2.799893e-02
9.000000e+01 2.637000e+02 3.392000e+03 3.059559e-02
1.000000e+02 2.779000e+02 3.419000e+03 3.307839e-02
1.100000e+02 2.915000e+02 3.438000e+03 3.563552e-02
1.200000e+02 3.045000e+02 3.452000e+03 3.811876e-02
1.300000e+02 3.169000e+02 3.461000e+03 4.060209e-02
1.400000e+02 3.289000e+02 3.466000e+03 4.304672e-02
1.500000e+02 3.404000e+02 3.468000e+03 4.553032e-02
1.600000e+02 3.516000e+02 3.468000e+03 4.799302e-02
1.700000e+02 3.624000e+02 3.465000e+03 5.047673e-02
1.800000e+02 3.729000e+02 3.460000e+03 5.282632e-02
2.000000e+02 3.931000e+02 3.447000e+03 5.777344e-02
2.250000e+02 4.169000e+02 3.424000e+03 6.393583e-02
2.500000e+02 4.601000e+02 3.396000e+03 7.000229e-02
2.750000e+02 5.259000e+02 3.365000e+03 7.614598e-02
3.000000e+02 5.707000e+02 3.332000e+03 8.221326e-02
3.250000e+02 6.021000e+02 3.298000e+03 8.824517e-02
3.500000e+02 6.250000e+02 3.263000e+03 9.429374e-02
3.750000e+02 6.428000e+02 3.227000e+03 1.004237e-01
4.000000e+02 6.575000e+02 3.191000e+03 1.065699e-01
4.500000e+02 6.832000e+02 3.121000e+03 1.190602e-01
5.000000e+02 7.078000e+02 3.052000e+03 1.316302e-01
5.500000e+02 7.336000e+02 2.985000e+03 1.443958e-01
6.000000e+02 7.614000e+02 2.920000e+03 1.572597e-01
6.500000e+02 7.911000e+02 2.858000e+03 1.703015e-01
7.000000e+02 8.224000e+02 2.799000e+03 1.833621e-01
8.000000e+02 8.883000e+02 2.687000e+03 2.100701e-01
9.000000e+02 9.565000e+02 2.585000e+03 2.369423e-01
1.000000e+03 1.025000e+03 2.491000e+03 2.642081e-01
1.100000e+03 1.092000e+03 2.404000e+03 2.915721e-01
1.200000e+03 1.158000e+03 2.325000e+03 3.191041e-01
1.300000e+03 1.221000e+03 2.251000e+03 3.468049e-01
1.400000e+03 1.282000e+03 2.182000e+03 3.746201e-01
1.500000e+03 1.340000e+03 2.119000e+03 4.024087e-01
1.600000e+03 1.396000e+03 2.059000e+03 4.303939e-01
1.700000e+03 1.450000e+03 2.003000e+03 4.582552e-01
1.800000e+03 1.502000e+03 1.951000e+03 4.862872e-01
2.000000e+03 1.601000e+03 1.856000e+03 5.422877e-01
2.250000e+03 1.715000e+03 1.751000e+03 6.122902e-01
2.500000e+03 1.823000e+03 1.659000e+03 6.820405e-01
2.750000e+03 1.926000e+03 1.578000e+03 7.515384e-01
3.000000e+03 2.025000e+03 1.506000e+03 8.206618e-01
3.250000e+03 2.122000e+03 1.440000e+03 8.892527e-01
3.500000e+03 2.217000e+03 1.382000e+03 9.571883e-01
3.750000e+03 2.312000e+03 1.328000e+03 1.024690e+00
4.000000e+03 2.407000e+03 1.280000e+03 1.095112e+00
4.500000e+03 2.596000e+03 1.193000e+03 1.226002e+00
