# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 1.332000e+02 1.188000e+03 8.998889e-03
1.100000e+01 1.397000e+02 1.203000e+03 9.634833e-03
1.200000e+01 1.459000e+02 1.216000e+03 1.029709e-02
1.300000e+01 1.518000e+02 1.227000e+03 1.084297e-02
1.400000e+01 1.576000e+02 1.236000e+03 1.147955e-02
1.500000e+01 1.631000e+02 1.243000e+03 1.214166e-02
1.600000e+01 1.684000e+02 1.250000e+03 1.268779e-02
1.700000e+01 1.736000e+02 1.255000e+03 1.331653e-02
1.800000e+01 1.787000e+02 1.260000e+03 1.395349e-02
2.000000e+01 1.883000e+02 1.266000e+03 1.516179e-02
2.250000e+01 1.997000e+02 1.271000e+03 1.655234e-02
2.500000e+01 2.105000e+02 1.273000e+03 1.803469e-02
2.750000e+01 2.208000e+02 1.273000e+03 1.954968e-02
3.000000e+01 2.306000e+02 1.271000e+03 2.103283e-02
3.250000e+01 2.401000e+02 1.268000e+03 2.242454e-02
3.500000e+01 2.491000e+02 1.264000e+03 2.390837e-02
3.750000e+01 2.579000e+02 1.259000e+03 2.530040e-02
4.000000e+01 2.663000e+02 1.253000e+03 2.678470e-02
4.500000e+01 2.825000e+02 1.241000e+03 2.966159e-02
5.000000e+01 2.978000e+02 1.227000e+03 3.263143e-02
5.500000e+01 3.123000e+02 1.212000e+03 3.548676e-02
6.000000e+01 3.262000e+02 1.197000e+03 3.842785e-02
6.500000e+01 3.395000e+02 1.181000e+03 4.139928e-02
7.000000e+01 3.523000e+02 1.166000e+03 4.434918e-02
8.000000e+01 3.766000e+02 1.136000e+03 5.024291e-02
9.000000e+01 3.996000e+02 1.107000e+03 5.623166e-02
1.000000e+02 4.317000e+02 1.078000e+03 6.219373e-02
1.100000e+02 4.589000e+02 1.052000e+03 6.815746e-02
1.200000e+02 4.827000e+02 1.026000e+03 7.412247e-02
1.300000e+02 5.045000e+02 1.002000e+03 8.018260e-02
1.400000e+02 5.248000e+02 9.785000e+02 8.624372e-02
1.500000e+02 5.443000e+02 9.566000e+02 9.235378e-02
1.600000e+02 5.632000e+02 9.357000e+02 9.839065e-02
1.700000e+02 5.815000e+02 9.158000e+02 1.045231e-01
1.800000e+02 5.995000e+02 8.969000e+02 1.106369e-01
2.000000e+02 6.344000e+02 8.616000e+02 1.229567e-01
2.250000e+02 6.763000e+02 8.218000e+02 1.382738e-01
2.500000e+02 7.166000e+02 7.861000e+02 1.537246e-01
2.750000e+02 7.553000e+02 7.539000e+02 1.690807e-01
3.000000e+02 7.926000e+02 7.247000e+02 1.843999e-01
3.250000e+02 8.286000e+02 6.980000e+02 1.997010e-01
3.500000e+02 8.634000e+02 6.735000e+02 2.148704e-01
3.750000e+02 8.970000e+02 6.510000e+02 2.300223e-01
4.000000e+02 9.297000e+02 6.302000e+02 2.450608e-01
4.500000e+02 9.925000e+02 5.929000e+02 2.749005e-01
5.000000e+02 1.052000e+03 5.605000e+02 3.042520e-01
5.500000e+02 1.110000e+03 5.320000e+02 3.332531e-01
6.000000e+02 1.165000e+03 5.066000e+02 3.617082e-01
6.500000e+02 1.219000e+03 4.840000e+02 3.898298e-01
7.000000e+02 1.271000e+03 4.636000e+02 4.174073e-01
8.000000e+02 1.372000e+03 4.282000e+02 4.711912e-01
9.000000e+02 1.469000e+03 3.985000e+02 5.232354e-01
1.000000e+03 1.563000e+03 3.732000e+02 5.736049e-01
1.100000e+03 1.655000e+03 3.514000e+02 6.222001e-01
1.200000e+03 1.745000e+03 3.323000e+02 6.693135e-01
1.300000e+03 1.832000e+03 3.154000e+02 7.148915e-01
1.400000e+03 1.919000e+03 3.004000e+02 7.591134e-01
1.500000e+03 2.003000e+03 2.869000e+02 8.018952e-01
1.600000e+03 2.086000e+03 2.747000e+02 8.435437e-01
1.700000e+03 2.168000e+03 2.637000e+02 8.839736e-01
1.800000e+03 2.249000e+03 2.536000e+02 9.232821e-01
2.000000e+03 2.406000e+03 2.358000e+02 9.988752e-01
2.250000e+03 2.596000e+03 2.172000e+02 1.086359e+00
2.500000e+03 2.780000e+03 2.016000e+02 1.176344e+00
2.750000e+03 2.957000e+03 1.883000e+02 1.256381e+00
3.000000e+03 3.128000e+03 1.769000e+02 1.326440e+00
3.250000e+03 3.294000e+03 1.669000e+02 1.396432e+00
3.500000e+03 3.453000e+03 1.581000e+02 1.466359e+00
3.750000e+03 3.608000e+03 1.502000e+02 1.536257e+00
4.000000e+03 3.757000e+03 1.432000e+02 1.596217e+00
4.500000e+03 4.041000e+03 1.312000e+02 1.725998e+00
5.000000e+03 4.306000e+03 1.211000e+02 1.835873e+00
5.500000e+03 4.555000e+03 1.127000e+02 1.945673e+00
6.000000e+03 4.788000e+03 1.054000e+02 2.045515e+00
6.500000e+03 5.006000e+03 9.916000e+01 2.145316e+00
7.000000e+03 5.211000e+03 9.365000e+01 2.245091e+00
8.000000e+03 5.583000e+03 8.441000e+01 2.424798e+00
9.000000e+03 5.911000e+03 7.698000e+01 2.594496e+00
1.000000e+04 6.201000e+03 7.084000e+01 2.754209e+00
1.100000e+04 6.458000e+03 6.569000e+01 2.913908e+00
1.200000e+04 6.688000e+03 6.129000e+01 3.063644e+00
1.300000e+04 6.893000e+03 5.749000e+01 3.203420e+00
1.400000e+04 7.078000e+03 5.417000e+01 3.343180e+00
1.500000e+04 7.246000e+03 5.124000e+01 3.482939e+00
1.600000e+04 7.398000e+03 4.864000e+01 3.622702e+00
1.700000e+04 7.536000e+03 4.631000e+01 3.752507e+00
1.800000e+04 7.663000e+03 4.421000e+01 3.882310e+00
2.000000e+04 7.887000e+03 4.057000e+01 4.142004e+00
2.250000e+04 8.120000e+03 3.684000e+01 4.451718e+00
2.500000e+04 8.312000e+03 3.378000e+01 4.751447e+00
2.750000e+04 8.470000e+03 3.122000e+01 5.051186e+00
3.000000e+04 8.601000e+03 2.905000e+01 5.340952e+00
3.250000e+04 8.710000e+03 2.718000e+01 5.620746e+00
3.500000e+04 8.799000e+03 2.555000e+01 5.910526e+00
3.750000e+04 8.873000e+03 2.412000e+01 6.190340e+00
4.000000e+04 8.933000e+03 2.285000e+01 6.470159e+00
4.500000e+04 9.019000e+03 2.070000e+01 7.030043e+00
5.000000e+04 9.069000e+03 1.895000e+01 7.579942e+00
5.500000e+04 9.093000e+03 1.748000e+01 8.129840e+00
6.000000e+04 9.095000e+03 1.624000e+01 8.669753e+00
6.500000e+04 9.080000e+03 1.517000e+01 9.219667e+00
7.000000e+04 9.052000e+03 1.424000e+01 9.769586e+00
8.000000e+04 8.965000e+03 1.271000e+01 1.088000e+01
9.000000e+04 8.853000e+03 1.149000e+01 1.200035e+01
1.000000e+05 8.788000e+03 1.050000e+01 1.313066e+01
