# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 9.556000e+01 1.743000e+03 7.769813e-03
1.100000e+01 1.002000e+02 1.784000e+03 8.223138e-03
1.200000e+01 1.047000e+02 1.821000e+03 8.738993e-03
1.300000e+01 1.090000e+02 1.854000e+03 9.162423e-03
1.400000e+01 1.131000e+02 1.884000e+03 9.585927e-03
1.500000e+01 1.170000e+02 1.912000e+03 1.000950e-02
1.600000e+01 1.209000e+02 1.937000e+03 1.052616e-02
1.700000e+01 1.246000e+02 1.960000e+03 1.097862e-02
1.800000e+01 1.282000e+02 1.981000e+03 1.137981e-02
2.000000e+01 1.351000e+02 2.019000e+03 1.222702e-02
2.250000e+01 1.433000e+02 2.059000e+03 1.316776e-02
2.500000e+01 1.511000e+02 2.093000e+03 1.423025e-02
2.750000e+01 1.585000e+02 2.121000e+03 1.517135e-02
3.000000e+01 1.655000e+02 2.144000e+03 1.620648e-02
3.250000e+01 1.723000e+02 2.165000e+03 1.717527e-02
3.500000e+01 1.788000e+02 2.182000e+03 1.811684e-02
3.750000e+01 1.850000e+02 2.197000e+03 1.905859e-02
4.000000e+01 1.911000e+02 2.209000e+03 1.997924e-02
4.500000e+01 2.027000e+02 2.229000e+03 2.188972e-02
5.000000e+01 2.137000e+02 2.242000e+03 2.375311e-02
5.500000e+01 2.241000e+02 2.252000e+03 2.554330e-02
6.000000e+01 2.341000e+02 2.257000e+03 2.743319e-02
6.500000e+01 2.436000e+02 2.260000e+03 2.920308e-02
7.000000e+01 2.528000e+02 2.261000e+03 3.106783e-02
8.000000e+01 2.703000e+02 2.256000e+03 3.472334e-02
9.000000e+01 2.867000e+02 2.247000e+03 3.835961e-02
1.000000e+02 3.022000e+02 2.234000e+03 4.190155e-02
1.100000e+02 3.169000e+02 2.218000e+03 4.555809e-02
1.200000e+02 3.310000e+02 2.200000e+03 4.919563e-02
1.300000e+02 3.445000e+02 2.182000e+03 5.290482e-02
