# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 1.670000e+02 7.444000e+02 1.138420e-02
1.100000e+01 1.752000e+02 7.461000e+02 1.228739e-02
1.200000e+01 1.829000e+02 7.467000e+02 1.316245e-02
1.300000e+01 1.904000e+02 7.464000e+02 1.403781e-02
1.400000e+01 1.976000e+02 7.455000e+02 1.491342e-02
1.500000e+01 2.045000e+02 7.439000e+02 1.578924e-02
1.600000e+01 2.112000e+02 7.420000e+02 1.666523e-02
1.700000e+01 2.177000e+02 7.396000e+02 1.754138e-02
1.800000e+01 2.241000e+02 7.370000e+02 1.841765e-02
2.000000e+01 2.362000e+02 7.309000e+02 2.017052e-02
2.250000e+01 2.505000e+02 7.225000e+02 2.234390e-02
2.500000e+01 2.641000e+02 7.134000e+02 2.451795e-02
2.750000e+01 2.769000e+02 7.040000e+02 2.665708e-02
3.000000e+01 2.893000e+02 6.945000e+02 2.883227e-02
3.250000e+01 3.011000e+02 6.849000e+02 3.100774e-02
3.500000e+01 3.124000e+02 6.754000e+02 3.314891e-02
3.750000e+01 3.234000e+02 6.660000e+02 3.539082e-02
4.000000e+01 3.340000e+02 6.568000e+02 3.753319e-02
4.500000e+01 3.543000e+02 6.389000e+02 4.191957e-02
5.000000e+01 3.734000e+02 6.218000e+02 4.629838e-02
5.500000e+01 3.917000e+02 6.056000e+02 5.065491e-02
6.000000e+01 4.074000e+02 5.902000e+02 5.510472e-02
6.500000e+01 4.237000e+02 5.757000e+02 5.943248e-02
7.000000e+01 4.401000e+02 5.619000e+02 6.385405e-02
8.000000e+01 4.712000e+02 5.365000e+02 7.258650e-02
9.000000e+01 4.989000e+02 5.135000e+02 8.143857e-02
1.000000e+02 5.233000e+02 4.928000e+02 9.021336e-02
1.100000e+02 5.444000e+02 4.739000e+02 9.908607e-02
1.200000e+02 5.630000e+02 4.566000e+02 1.078411e-01
1.300000e+02 5.793000e+02 4.408000e+02 1.166934e-01
1.400000e+02 5.940000e+02 4.262000e+02 1.255946e-01
1.500000e+02 6.073000e+02 4.127000e+02 1.344055e-01
1.600000e+02 6.197000e+02 4.002000e+02 1.432876e-01
1.700000e+02 6.313000e+02 3.885000e+02 1.522675e-01
1.800000e+02 6.425000e+02 3.777000e+02 1.612506e-01
2.000000e+02 6.639000e+02 3.579000e+02 1.791793e-01
2.250000e+02 6.903000e+02 3.364000e+02 2.016018e-01
2.500000e+02 7.171000e+02 3.178000e+02 2.239520e-01
2.750000e+02 7.449000e+02 3.014000e+02 2.461968e-01
3.000000e+02 7.738000e+02 2.868000e+02 2.682523e-01
3.250000e+02 8.039000e+02 2.738000e+02 2.900101e-01
3.500000e+02 8.351000e+02 2.622000e+02 3.114078e-01
