# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 8.494000e+01 2.245000e+03 7.576939e-03
1.100000e+01 8.909000e+01 2.323000e+03 8.000625e-03
1.200000e+01 9.305000e+01 2.395000e+03 8.329466e-03
1.300000e+01 9.685000e+01 2.462000e+03 8.734415e-03
1.400000e+01 1.005000e+02 2.524000e+03 9.063112e-03
1.500000e+01 1.040000e+02 2.582000e+03 9.366963e-03
1.600000e+01 1.074000e+02 2.637000e+03 9.771898e-03
1.700000e+01 1.108000e+02 2.688000e+03 1.010050e-02
1.800000e+01 1.140000e+02 2.737000e+03 1.038605e-02
2.000000e+01 1.201000e+02 2.827000e+03 1.102452e-02
2.250000e+01 1.274000e+02 2.927000e+03 1.184778e-02
2.500000e+01 1.343000e+02 3.016000e+03 1.258134e-02
2.750000e+01 1.409000e+02 3.097000e+03 1.329135e-02
3.000000e+01 1.471000e+02 3.169000e+03 1.402498e-02
3.250000e+01 1.531000e+02 3.235000e+03 1.465776e-02
3.500000e+01 1.589000e+02 3.296000e+03 1.536815e-02
3.750000e+01 1.645000e+02 3.351000e+03 1.600594e-02
4.000000e+01 1.699000e+02 3.403000e+03 1.671646e-02
4.500000e+01 1.802000e+02 3.495000e+03 1.794659e-02
5.000000e+01 1.899000e+02 3.574000e+03 1.919922e-02
5.500000e+01 1.992000e+02 3.644000e+03 2.042964e-02
6.000000e+01 2.081000e+02 3.705000e+03 2.166033e-02
6.500000e+01 2.166000e+02 3.760000e+03 2.279517e-02
7.000000e+01 2.247000e+02 3.809000e+03 2.402624e-02
8.000000e+01 2.403000e+02 3.892000e+03 2.630019e-02
9.000000e+01 2.548000e+02 3.959000e+03 2.857026e-02
1.000000e+02 2.686000e+02 4.014000e+03 3.070651e-02
1.100000e+02 2.817000e+02 4.060000e+03 3.297711e-02
1.200000e+02 2.943000e+02 4.098000e+03 3.513446e-02
1.300000e+02 3.063000e+02 4.129000e+03 3.719543e-02
1.400000e+02 3.178000e+02 4.155000e+03 3.933306e-02
1.500000e+02 3.290000e+02 4.176000e+03 4.139420e-02
