# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 8.758000e+01 2.103000e+03 7.433034e-03
1.100000e+01 9.186000e+01 2.168000e+03 7.856844e-03
1.200000e+01 9.594000e+01 2.228000e+03 8.280700e-03
1.300000e+01 9.986000e+01 2.282000e+03 8.704596e-03
1.400000e+01 1.036000e+02 2.333000e+03 9.013878e-03
1.500000e+01 1.073000e+02 2.380000e+03 9.437690e-03
1.600000e+01 1.108000e+02 2.424000e+03 9.767292e-03
1.700000e+01 1.142000e+02 2.465000e+03 1.014495e-02
1.800000e+01 1.175000e+02 2.503000e+03 1.047425e-02
2.000000e+01 1.239000e+02 2.574000e+03 1.120759e-02
2.250000e+01 1.314000e+02 2.651000e+03 1.205529e-02
2.500000e+01 1.385000e+02 2.719000e+03 1.276323e-02
2.750000e+01 1.452000e+02 2.779000e+03 1.361102e-02
3.000000e+01 1.517000e+02 2.833000e+03 1.434434e-02
3.250000e+01 1.579000e+02 2.881000e+03 1.516740e-02
3.500000e+01 1.638000e+02 2.924000e+03 1.590063e-02
3.750000e+01 1.696000e+02 2.963000e+03 1.660964e-02
4.000000e+01 1.752000e+02 2.999000e+03 1.734301e-02
4.500000e+01 1.858000e+02 3.062000e+03 1.880479e-02
5.000000e+01 1.958000e+02 3.115000e+03 2.024772e-02
5.500000e+01 2.054000e+02 3.160000e+03 2.159097e-02
6.000000e+01 2.145000e+02 3.198000e+03 2.293883e-02
6.500000e+01 2.233000e+02 3.231000e+03 2.428683e-02
7.000000e+01 2.317000e+02 3.259000e+03 2.563065e-02
8.000000e+01 2.477000e+02 3.304000e+03 2.832684e-02
9.000000e+01 2.627000e+02 3.338000e+03 3.090518e-02
1.000000e+02 2.770000e+02 3.363000e+03 3.346192e-02
1.100000e+02 2.905000e+02 3.380000e+03 3.594510e-02
1.200000e+02 3.034000e+02 3.392000e+03 3.852441e-02
1.300000e+02 3.158000e+02 3.400000e+03 4.100780e-02
1.400000e+02 3.277000e+02 3.404000e+03 4.358738e-02
1.500000e+02 3.392000e+02 3.405000e+03 4.604976e-02
1.600000e+02 3.503000e+02 3.403000e+03 4.862962e-02
1.700000e+02 3.611000e+02 3.400000e+03 5.109247e-02
1.800000e+02 3.716000e+02 3.394000e+03 5.357621e-02
2.000000e+02 3.917000e+02 3.379000e+03 5.860256e-02
2.250000e+02 4.154000e+02 3.354000e+03 6.476496e-02
2.500000e+02 4.543000e+02 3.325000e+03 7.104111e-02
2.750000e+02 5.019000e+02 3.293000e+03 7.730116e-02
3.000000e+02 5.354000e+02 3.259000e+03 8.356171e-02
3.250000e+02 5.603000e+02 3.224000e+03 8.980323e-02
3.500000e+02 5.802000e+02 3.188000e+03 9.604863e-02
3.750000e+02 5.974000e+02 3.152000e+03 1.022913e-01
4.000000e+02 6.134000e+02 3.117000e+03 1.086313e-01
4.500000e+02 6.442000e+02 3.045000e+03 1.215252e-01
5.000000e+02 6.757000e+02 2.976000e+03 1.344050e-01
5.500000e+02 7.086000e+02 2.909000e+03 1.475925e-01
6.000000e+02 7.430000e+02 2.845000e+03 1.607481e-01
6.500000e+02 7.785000e+02 2.783000e+03 1.741321e-01
7.000000e+02 8.146000e+02 2.724000e+03 1.875818e-01
8.000000e+02 8.873000e+02 2.613000e+03 2.147913e-01
9.000000e+02 9.591000e+02 2.512000e+03 2.422966e-01
1.000000e+03 1.029000e+03 2.419000e+03 2.700642e-01
1.100000e+03 1.095000e+03 2.334000e+03 2.980302e-01
1.200000e+03 1.159000e+03 2.256000e+03 3.260646e-01
1.300000e+03 1.220000e+03 2.183000e+03 3.542838e-01
1.400000e+03 1.278000e+03 2.116000e+03 3.826995e-01
1.500000e+03 1.333000e+03 2.053000e+03 4.110890e-01
1.600000e+03 1.386000e+03 1.995000e+03 4.396771e-01
1.700000e+03 1.437000e+03 1.940000e+03 4.682246e-01
1.800000e+03 1.486000e+03 1.889000e+03 4.968027e-01
2.000000e+03 1.580000e+03 1.796000e+03 5.540916e-01
2.250000e+03 1.692000e+03 1.693000e+03 6.258174e-01
2.500000e+03 1.798000e+03 1.604000e+03 6.972777e-01
2.750000e+03 1.901000e+03 1.525000e+03 7.683753e-01
3.000000e+03 2.003000e+03 1.454000e+03 8.390132e-01
3.250000e+03 2.103000e+03 1.391000e+03 9.089097e-01
3.500000e+03 2.203000e+03 1.334000e+03 9.781513e-01
3.750000e+03 2.303000e+03 1.282000e+03 1.044976e+00
4.000000e+03 2.404000e+03 1.235000e+03 1.115410e+00
4.500000e+03 2.606000e+03 1.151000e+03 1.246311e+00
5.000000e+03 2.811000e+03 1.080000e+03 1.377034e+00
5.500000e+03 3.019000e+03 1.018000e+03 1.497705e+00
