# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 9.127000e+01 1.981000e+03 7.387828e-03
1.100000e+01 9.573000e+01 2.036000e+03 7.840281e-03
1.200000e+01 9.998000e+01 2.086000e+03 8.263776e-03
1.300000e+01 1.041000e+02 2.132000e+03 8.687347e-03
1.400000e+01 1.080000e+02 2.174000e+03 9.082951e-03
1.500000e+01 1.118000e+02 2.212000e+03 9.391486e-03
1.600000e+01 1.155000e+02 2.248000e+03 9.815294e-03
1.700000e+01 1.190000e+02 2.281000e+03 1.023914e-02
1.800000e+01 1.225000e+02 2.312000e+03 1.056930e-02
2.000000e+01 1.291000e+02 2.368000e+03 1.130177e-02
2.250000e+01 1.369000e+02 2.428000e+03 1.224337e-02
2.500000e+01 1.443000e+02 2.481000e+03 1.307020e-02
2.750000e+01 1.514000e+02 2.526000e+03 1.391797e-02
3.000000e+01 1.581000e+02 2.566000e+03 1.476584e-02
3.250000e+01 1.645000e+02 2.601000e+03 1.559295e-02
3.500000e+01 1.708000e+02 2.633000e+03 1.641493e-02
3.750000e+01 1.768000e+02 2.661000e+03 1.724239e-02
4.000000e+01 1.825000e+02 2.685000e+03 1.799583e-02
4.500000e+01 1.936000e+02 2.728000e+03 1.955147e-02
5.000000e+01 2.041000e+02 2.762000e+03 2.111232e-02
5.500000e+01 2.141000e+02 2.789000e+03 2.266848e-02
6.000000e+01 2.236000e+02 2.812000e+03 2.422499e-02
6.500000e+01 2.327000e+02 2.830000e+03 2.569144e-02
7.000000e+01 2.415000e+02 2.844000e+03 2.715308e-02
8.000000e+01 2.582000e+02 2.865000e+03 3.015245e-02
9.000000e+01 2.738000e+02 2.876000e+03 3.305722e-02
1.000000e+02 2.886000e+02 2.881000e+03 3.596234e-02
1.100000e+02 3.027000e+02 2.881000e+03 3.896319e-02
1.200000e+02 3.162000e+02 2.877000e+03 4.186884e-02
1.300000e+02 3.291000e+02 2.870000e+03 4.477466e-02
1.400000e+02 3.415000e+02 2.861000e+03 4.766225e-02
1.500000e+02 3.535000e+02 2.850000e+03 5.056837e-02
1.600000e+02 3.651000e+02 2.838000e+03 5.345222e-02
1.700000e+02 3.763000e+02 2.824000e+03 5.634057e-02
1.800000e+02 3.873000e+02 2.809000e+03 5.934290e-02
2.000000e+02 4.285000e+02 2.778000e+03 6.511636e-02
2.250000e+02 5.071000e+02 2.736000e+03 7.233512e-02
2.500000e+02 5.527000e+02 2.694000e+03 7.962952e-02
2.750000e+02 5.807000e+02 2.651000e+03 8.684981e-02
3.000000e+02 5.997000e+02 2.608000e+03 9.414595e-02
3.250000e+02 6.149000e+02 2.565000e+03 1.015393e-01
3.500000e+02 6.289000e+02 2.524000e+03 1.089333e-01
3.750000e+02 6.430000e+02 2.483000e+03 1.164080e-01
4.000000e+02 6.580000e+02 2.444000e+03 1.239965e-01
4.500000e+02 6.916000e+02 2.368000e+03 1.393881e-01
5.000000e+02 7.299000e+02 2.298000e+03 1.549554e-01
5.500000e+02 7.718000e+02 2.231000e+03 1.706834e-01
6.000000e+02 8.161000e+02 2.168000e+03 1.865451e-01
6.500000e+02 8.618000e+02 2.110000e+03 2.025649e-01
7.000000e+02 9.080000e+02 2.054000e+03 2.186051e-01
8.000000e+02 9.998000e+02 1.953000e+03 2.508326e-01
9.000000e+02 1.088000e+03 1.863000e+03 2.832424e-01
