# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 7.860000e+01 2.122000e+03 7.621680e-03
1.100000e+01 8.244000e+01 2.190000e+03 8.045496e-03
1.200000e+01 8.611000e+01 2.252000e+03 8.374963e-03
1.300000e+01 8.962000e+01 2.309000e+03 8.778952e-03
1.400000e+01 9.301000e+01 2.362000e+03 9.202717e-03
1.500000e+01 9.627000e+01 2.411000e+03 9.532051e-03
1.600000e+01 9.943000e+01 2.458000e+03 9.930257e-03
1.700000e+01 1.025000e+02 2.501000e+03 1.023963e-02
1.800000e+01 1.055000e+02 2.541000e+03 1.056882e-02
2.000000e+01 1.112000e+02 2.616000e+03 1.127697e-02
2.250000e+01 1.179000e+02 2.698000e+03 1.210537e-02
2.500000e+01 1.243000e+02 2.771000e+03 1.295299e-02
2.750000e+01 1.304000e+02 2.835000e+03 1.366199e-02
3.000000e+01 1.361000e+02 2.893000e+03 1.450965e-02
3.250000e+01 1.417000e+02 2.945000e+03 1.524303e-02
3.500000e+01 1.471000e+02 2.992000e+03 1.595243e-02
3.750000e+01 1.522000e+02 3.035000e+03 1.666223e-02
4.000000e+01 1.572000e+02 3.074000e+03 1.741436e-02
4.500000e+01 1.667000e+02 3.143000e+03 1.885762e-02
5.000000e+01 1.758000e+02 3.202000e+03 2.018267e-02
5.500000e+01 1.843000e+02 3.253000e+03 2.154925e-02
6.000000e+01 1.925000e+02 3.296000e+03 2.289738e-02
6.500000e+01 2.004000e+02 3.334000e+03 2.422313e-02
7.000000e+01 2.080000e+02 3.367000e+03 2.557147e-02
8.000000e+01 2.223000e+02 3.420000e+03 2.816824e-02
9.000000e+01 2.358000e+02 3.462000e+03 3.062956e-02
1.000000e+02 2.486000e+02 3.493000e+03 3.320888e-02
1.100000e+02 2.607000e+02 3.517000e+03 3.569230e-02
1.200000e+02 2.723000e+02 3.535000e+03 3.813725e-02
1.300000e+02 2.834000e+02 3.548000e+03 4.062093e-02
1.400000e+02 2.941000e+02 3.557000e+03 4.298756e-02
1.500000e+02 3.044000e+02 3.562000e+03 4.547131e-02
1.600000e+02 3.144000e+02 3.565000e+03 4.791753e-02
1.700000e+02 3.241000e+02 3.565000e+03 5.028459e-02
1.800000e+02 3.335000e+02 3.563000e+03 5.274827e-02
2.000000e+02 3.515000e+02 3.555000e+03 5.758272e-02
2.250000e+02 3.729000e+02 3.537000e+03 6.364951e-02
2.500000e+02 3.930000e+02 3.514000e+03 6.968077e-02
2.750000e+02 4.519000e+02 3.488000e+03 7.563227e-02
3.000000e+02 5.130000e+02 3.458000e+03 8.168096e-02
3.250000e+02 5.543000e+02 3.427000e+03 8.761724e-02
3.500000e+02 5.826000e+02 3.394000e+03 9.355394e-02
3.750000e+02 6.028000e+02 3.361000e+03 9.958499e-02
4.000000e+02 6.180000e+02 3.328000e+03 1.055224e-01
4.500000e+02 6.409000e+02 3.260000e+03 1.176709e-01
5.000000e+02 6.608000e+02 3.194000e+03 1.300485e-01
5.500000e+02 6.815000e+02 3.129000e+03 1.424912e-01
6.000000e+02 7.043000e+02 3.066000e+03 1.550324e-01
6.500000e+02 7.296000e+02 3.004000e+03 1.677842e-01
7.000000e+02 7.572000e+02 2.946000e+03 1.806196e-01
8.000000e+02 8.178000e+02 2.834000e+03 2.066975e-01
9.000000e+02 8.831000e+02 2.732000e+03 2.331685e-01
1.000000e+03 9.505000e+02 2.637000e+03 2.598210e-01
1.100000e+03 1.018000e+03 2.550000e+03 2.867370e-01
1.200000e+03 1.085000e+03 2.468000e+03 3.137694e-01
1.300000e+03 1.150000e+03 2.393000e+03 3.409685e-01
1.400000e+03 1.213000e+03 2.323000e+03 3.681700e-01
1.500000e+03 1.274000e+03 2.257000e+03 3.955261e-01
1.600000e+03 1.332000e+03 2.196000e+03 4.228996e-01
1.700000e+03 1.388000e+03 2.138000e+03 4.502456e-01
1.800000e+03 1.442000e+03 2.084000e+03 4.776919e-01
2.000000e+03 1.544000e+03 1.985000e+03 5.325630e-01
2.250000e+03 1.662000e+03 1.876000e+03 6.011567e-01
2.500000e+03 1.772000e+03 1.780000e+03 6.695821e-01
2.750000e+03 1.874000e+03 1.695000e+03 7.378412e-01
3.000000e+03 1.971000e+03 1.619000e+03 8.057637e-01
3.250000e+03 2.065000e+03 1.550000e+03 8.733502e-01
3.500000e+03 2.156000e+03 1.488000e+03 9.403793e-01
3.750000e+03 2.245000e+03 1.432000e+03 1.006975e+00
4.000000e+03 2.332000e+03 1.380000e+03 1.074628e+00
4.500000e+03 2.506000e+03 1.289000e+03 1.205523e+00
5.000000e+03 2.679000e+03 1.211000e+03 1.326386e+00
5.500000e+03 2.853000e+03 1.143000e+03 1.456993e+00
6.000000e+03 3.029000e+03 1.083000e+03 1.577590e+00
6.500000e+03 3.207000e+03 1.030000e+03 1.688178e+00
7.000000e+03 3.387000e+03 9.824000e+02 1.808552e+00
8.000000e+03 3.752000e+03 9.012000e+02 2.029349e+00
9.000000e+03 4.122000e+03 8.339000e+02 2.230011e+00
1.000000e+04 4.492000e+03 7.772000e+02 2.420490e+00
1.100000e+04 4.861000e+03 7.285000e+02 2.600830e+00
1.200000e+04 5.225000e+03 6.863000e+02 2.771085e+00
1.300000e+04 5.584000e+03 6.493000e+02 2.941195e+00
1.400000e+04 5.934000e+03 6.165000e+02 3.091339e+00
1.500000e+04 6.276000e+03 5.872000e+02 3.241388e+00
1.600000e+04 6.608000e+03 5.609000e+02 3.381424e+00
1.700000e+04 6.931000e+03 5.372000e+02 3.521399e+00
1.800000e+04 7.243000e+03 5.155000e+02 3.651388e+00
2.000000e+04 7.835000e+03 4.776000e+02 3.891425e+00
2.250000e+04 8.518000e+03 4.382000e+02 4.181355e+00
2.500000e+04 9.140000e+03 4.053000e+02 4.451228e+00
2.750000e+04 9.707000e+03 3.775000e+02 4.701080e+00
3.000000e+04 1.022000e+04 3.537000e+02 4.940894e+00
3.250000e+04 1.070000e+04 3.329000e+02 5.170698e+00
3.500000e+04 1.114000e+04 3.147000e+02 5.390494e+00
3.750000e+04 1.154000e+04 2.985000e+02 5.610256e+00
4.000000e+04 1.192000e+04 2.841000e+02 5.810070e+00
4.500000e+04 1.260000e+04 2.594000e+02 6.209773e+00
5.000000e+04 1.321000e+04 2.390000e+02 6.589459e+00
5.500000e+04 1.376000e+04 2.218000e+02 6.949163e+00
6.000000e+04 1.427000e+04 2.071000e+02 7.298858e+00
6.500000e+04 1.474000e+04 1.944000e+02 7.638566e+00
7.000000e+04 1.518000e+04 1.833000e+02 7.968282e+00
8.000000e+04 1.599000e+04 1.648000e+02 8.607963e+00
9.000000e+04 1.672000e+04 1.499000e+02 9.207660e+00
1.000000e+05 1.739000e+04 1.377000e+02 9.787354e+00
