# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 1.160000e+02 1.245000e+03 8.848164e-03
1.100000e+01 1.216000e+02 1.263000e+03 9.510520e-03
1.200000e+01 1.271000e+02 1.277000e+03 1.005634e-02
1.300000e+01 1.322000e+02 1.290000e+03 1.069299e-02
1.400000e+01 1.372000e+02 1.301000e+03 1.135518e-02
1.500000e+01 1.421000e+02 1.310000e+03 1.190126e-02
1.600000e+01 1.467000e+02 1.318000e+03 1.250520e-02
1.700000e+01 1.512000e+02 1.325000e+03 1.307631e-02
1.800000e+01 1.556000e+02 1.331000e+03 1.371350e-02
2.000000e+01 1.640000e+02 1.340000e+03 1.479797e-02
2.250000e+01 1.740000e+02 1.347000e+03 1.628036e-02
2.500000e+01 1.834000e+02 1.352000e+03 1.767173e-02
2.750000e+01 1.923000e+02 1.353000e+03 1.906332e-02
3.000000e+01 2.009000e+02 1.353000e+03 2.054702e-02
3.250000e+01 2.091000e+02 1.352000e+03 2.193901e-02
3.500000e+01 2.170000e+02 1.349000e+03 2.330772e-02
3.750000e+01 2.246000e+02 1.345000e+03 2.470000e-02
4.000000e+01 2.320000e+02 1.341000e+03 2.609234e-02
4.500000e+01 2.460000e+02 1.330000e+03 2.896964e-02
5.000000e+01 2.594000e+02 1.318000e+03 3.170205e-02
5.500000e+01 2.720000e+02 1.304000e+03 3.458020e-02
6.000000e+01 2.841000e+02 1.290000e+03 3.740695e-02
6.500000e+01 2.957000e+02 1.275000e+03 4.028561e-02
7.000000e+01 3.069000e+02 1.261000e+03 4.311357e-02
8.000000e+01 3.281000e+02 1.231000e+03 4.891472e-02
9.000000e+01 3.480000e+02 1.202000e+03 5.466772e-02
1.000000e+02 3.807000e+02 1.174000e+03 6.044320e-02
1.100000e+02 4.285000e+02 1.147000e+03 6.621963e-02
1.200000e+02 4.704000e+02 1.121000e+03 7.194929e-02
1.300000e+02 5.074000e+02 1.096000e+03 7.770051e-02
1.400000e+02 5.404000e+02 1.072000e+03 8.333823e-02
1.500000e+02 5.702000e+02 1.050000e+03 8.895044e-02
1.600000e+02 5.973000e+02 1.028000e+03 9.456374e-02
1.700000e+02 6.221000e+02 1.007000e+03 1.002726e-01
1.800000e+02 6.450000e+02 9.874000e+02 1.058623e-01
2.000000e+02 6.858000e+02 9.504000e+02 1.170449e-01
2.250000e+02 7.297000e+02 9.085000e+02 1.311918e-01
2.500000e+02 7.676000e+02 8.706000e+02 1.452194e-01
2.750000e+02 8.010000e+02 8.363000e+02 1.594237e-01
3.000000e+02 8.311000e+02 8.050000e+02 1.735868e-01
3.250000e+02 8.586000e+02 7.763000e+02 1.878321e-01
3.500000e+02 8.841000e+02 7.500000e+02 2.020818e-01
3.750000e+02 9.082000e+02 7.257000e+02 2.164094e-01
4.000000e+02 9.312000e+02 7.032000e+02 2.307197e-01
4.500000e+02 9.747000e+02 6.628000e+02 2.594294e-01
5.000000e+02 1.016000e+03 6.275000e+02 2.880735e-01
5.500000e+02 1.057000e+03 5.963000e+02 3.166926e-01
6.000000e+02 1.097000e+03 5.686000e+02 3.452671e-01
6.500000e+02 1.136000e+03 5.437000e+02 3.736041e-01
7.000000e+02 1.176000e+03 5.212000e+02 4.017039e-01
8.000000e+02 1.256000e+03 4.822000e+02 4.570838e-01
9.000000e+02 1.337000e+03 4.494000e+02 5.113360e-01
1.000000e+03 1.418000e+03 4.214000e+02 5.641057e-01
1.100000e+03 1.500000e+03 3.971000e+02 6.153920e-01
1.200000e+03 1.583000e+03 3.758000e+02 6.653225e-01
1.300000e+03 1.665000e+03 3.570000e+02 7.136859e-01
1.400000e+03 1.748000e+03 3.403000e+02 7.606086e-01
1.500000e+03 1.831000e+03 3.252000e+02 8.060754e-01
1.600000e+03 1.913000e+03 3.116000e+02 8.501981e-01
1.700000e+03 1.995000e+03 2.992000e+02 8.930033e-01
1.800000e+03 2.077000e+03 2.879000e+02 9.346724e-01
2.000000e+03 2.238000e+03 2.680000e+02 1.014371e+00
2.250000e+03 2.435000e+03 2.470000e+02 1.106978e+00
2.500000e+03 2.628000e+03 2.295000e+02 1.197116e+00
2.750000e+03 2.815000e+03 2.145000e+02 1.277266e+00
3.000000e+03 2.996000e+03 2.016000e+02 1.357294e+00
3.250000e+03 3.172000e+03 1.903000e+02 1.437241e+00
3.500000e+03 3.342000e+03 1.803000e+02 1.507236e+00
3.750000e+03 3.507000e+03 1.715000e+02 1.567296e+00
4.000000e+03 3.667000e+03 1.635000e+02 1.637188e+00
4.500000e+03 3.972000e+03 1.499000e+02 1.757130e+00
5.000000e+03 4.259000e+03 1.385000e+02 1.876943e+00
5.500000e+03 4.528000e+03 1.289000e+02 1.986775e+00
6.000000e+03 4.781000e+03 1.207000e+02 2.086623e+00
6.500000e+03 5.020000e+03 1.135000e+02 2.186427e+00
7.000000e+03 5.244000e+03 1.072000e+02 2.286206e+00
8.000000e+03 5.655000e+03 9.674000e+01 2.455955e+00
9.000000e+03 6.021000e+03 8.826000e+01 2.625636e+00
