# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 1.441000e+02 2.156000e+03 7.406754e-03
1.100000e+01 1.511000e+02 2.226000e+03 7.716217e-03
1.200000e+01 1.578000e+02 2.290000e+03 8.140025e-03
1.300000e+01 1.642000e+02 2.349000e+03 8.469357e-03
1.400000e+01 1.704000e+02 2.404000e+03 8.873556e-03
1.500000e+01 1.764000e+02 2.455000e+03 9.177146e-03
1.600000e+01 1.822000e+02 2.503000e+03 9.601042e-03
1.700000e+01 1.878000e+02 2.548000e+03 9.910600e-03
1.800000e+01 1.933000e+02 2.590000e+03 1.023963e-02
2.000000e+01 2.037000e+02 2.668000e+03 1.085311e-02
2.250000e+01 2.161000e+02 2.754000e+03 1.168161e-02
2.500000e+01 2.278000e+02 2.829000e+03 1.240967e-02
2.750000e+01 2.389000e+02 2.897000e+03 1.314306e-02
3.000000e+01 2.495000e+02 2.957000e+03 1.385244e-02
3.250000e+01 2.597000e+02 3.012000e+03 1.458595e-02
3.500000e+01 2.695000e+02 3.061000e+03 1.531437e-02
3.750000e+01 2.790000e+02 3.107000e+03 1.602436e-02
4.000000e+01 2.881000e+02 3.148000e+03 1.666223e-02
4.500000e+01 3.056000e+02 3.221000e+03 1.798722e-02
5.000000e+01 3.221000e+02 3.284000e+03 1.933546e-02
5.500000e+01 3.378000e+02 3.338000e+03 2.056551e-02
6.000000e+01 3.529000e+02 3.384000e+03 2.181811e-02
6.500000e+01 3.673000e+02 3.425000e+03 2.306643e-02
7.000000e+01 3.811000e+02 3.460000e+03 2.427900e-02
8.000000e+01 4.075000e+02 3.519000e+03 2.666627e-02
9.000000e+01 4.322000e+02 3.565000e+03 2.903205e-02
1.000000e+02 4.556000e+02 3.600000e+03 3.139825e-02
1.100000e+02 4.778000e+02 3.628000e+03 3.365115e-02
1.200000e+02 4.990000e+02 3.649000e+03 3.592158e-02
1.300000e+02 5.194000e+02 3.665000e+03 3.817499e-02
1.400000e+02 5.390000e+02 3.676000e+03 4.044564e-02
1.500000e+02 5.579000e+02 3.684000e+03 4.269941e-02
1.600000e+02 5.762000e+02 3.689000e+03 4.485688e-02
1.700000e+02 5.940000e+02 3.691000e+03 4.711104e-02
1.800000e+02 6.112000e+02 3.692000e+03 4.928529e-02
2.000000e+02 6.443000e+02 3.687000e+03 5.367774e-02
2.250000e+02 6.833000e+02 3.673000e+03 5.910973e-02
2.500000e+02 7.203000e+02 3.653000e+03 6.454223e-02
