# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 1.016000e+02 1.885000e+03 7.531932e-03
1.100000e+01 1.066000e+02 1.934000e+03 7.955501e-03
1.200000e+01 1.113000e+02 1.978000e+03 8.379141e-03
1.300000e+01 1.158000e+02 2.018000e+03 8.802840e-03
1.400000e+01 1.202000e+02 2.055000e+03 9.204347e-03
1.500000e+01 1.244000e+02 2.089000e+03 9.628084e-03
1.600000e+01 1.285000e+02 2.120000e+03 1.005187e-02
1.700000e+01 1.325000e+02 2.148000e+03 1.038220e-02
1.800000e+01 1.363000e+02 2.175000e+03 1.080602e-02
2.000000e+01 1.437000e+02 2.223000e+03 1.153820e-02
2.250000e+01 1.524000e+02 2.275000e+03 1.247958e-02
2.500000e+01 1.606000e+02 2.318000e+03 1.344842e-02
2.750000e+01 1.685000e+02 2.356000e+03 1.438993e-02
3.000000e+01 1.760000e+02 2.389000e+03 1.521644e-02
3.250000e+01 1.832000e+02 2.418000e+03 1.606425e-02
3.500000e+01 1.901000e+02 2.443000e+03 1.698529e-02
3.750000e+01 1.968000e+02 2.464000e+03 1.783312e-02
4.000000e+01 2.032000e+02 2.484000e+03 1.868101e-02
4.500000e+01 2.155000e+02 2.516000e+03 2.033027e-02
5.000000e+01 2.272000e+02 2.541000e+03 2.200568e-02
5.500000e+01 2.383000e+02 2.560000e+03 2.368122e-02
6.000000e+01 2.489000e+02 2.574000e+03 2.523708e-02
6.500000e+01 2.590000e+02 2.585000e+03 2.691282e-02
7.000000e+01 2.688000e+02 2.593000e+03 2.844925e-02
8.000000e+01 2.874000e+02 2.602000e+03 3.168186e-02
9.000000e+01 3.048000e+02 2.604000e+03 3.480029e-02
1.000000e+02 3.213000e+02 2.600000e+03 3.803341e-02
1.100000e+02 3.370000e+02 2.592000e+03 4.112870e-02
1.200000e+02 3.520000e+02 2.581000e+03 4.434343e-02
1.300000e+02 3.663000e+02 2.569000e+03 4.743975e-02
1.400000e+02 3.802000e+02 2.554000e+03 5.067356e-02
1.500000e+02 3.935000e+02 2.538000e+03 5.377044e-02
1.600000e+02 4.064000e+02 2.522000e+03 5.698605e-02
1.700000e+02 4.189000e+02 2.504000e+03 6.017915e-02
1.800000e+02 4.393000e+02 2.486000e+03 6.337263e-02
2.000000e+02 5.161000e+02 2.450000e+03 6.968680e-02
2.250000e+02 5.728000e+02 2.403000e+03 7.751980e-02
2.500000e+02 6.063000e+02 2.357000e+03 8.544999e-02
2.750000e+02 6.288000e+02 2.311000e+03 9.335979e-02
3.000000e+02 6.467000e+02 2.266000e+03 1.013882e-01
3.250000e+02 6.635000e+02 2.223000e+03 1.094927e-01
3.500000e+02 6.807000e+02 2.181000e+03 1.177153e-01
3.750000e+02 6.991000e+02 2.141000e+03 1.259181e-01
4.000000e+02 7.188000e+02 2.102000e+03 1.343351e-01
4.500000e+02 7.622000e+02 2.028000e+03 1.511310e-01
5.000000e+02 8.099000e+02 1.960000e+03 1.681426e-01
5.500000e+02 8.602000e+02 1.896000e+03 1.853112e-01
6.000000e+02 9.119000e+02 1.838000e+03 2.025794e-01
6.500000e+02 9.638000e+02 1.783000e+03 2.198343e-01
7.000000e+02 1.015000e+03 1.732000e+03 2.371850e-01
8.000000e+02 1.115000e+03 1.639000e+03 2.718409e-01
9.000000e+02 1.209000e+03 1.558000e+03 3.064536e-01
1.000000e+03 1.296000e+03 1.485000e+03 3.409265e-01
1.100000e+03 1.378000e+03 1.420000e+03 3.752745e-01
1.200000e+03 1.453000e+03 1.361000e+03 4.094527e-01
1.300000e+03 1.524000e+03 1.308000e+03 4.435238e-01
1.400000e+03 1.591000e+03 1.260000e+03 4.773454e-01
1.500000e+03 1.655000e+03 1.215000e+03 5.109618e-01
1.600000e+03 1.715000e+03 1.174000e+03 5.444414e-01
1.700000e+03 1.773000e+03 1.136000e+03 5.777017e-01
1.800000e+03 1.829000e+03 1.101000e+03 6.107428e-01
2.000000e+03 1.937000e+03 1.038000e+03 6.761945e-01
2.250000e+03 2.067000e+03 9.703000e+02 7.567506e-01
2.500000e+03 2.194000e+03 9.120000e+02 8.356818e-01
2.750000e+03 2.320000e+03 8.612000e+02 9.129314e-01
3.000000e+03 2.447000e+03 8.166000e+02 9.884385e-01
3.250000e+03 2.574000e+03 7.770000e+02 1.065601e+00
3.500000e+03 2.702000e+03 7.416000e+02 1.135997e+00
3.750000e+03 2.832000e+03 7.097000e+02 1.206324e+00
4.000000e+03 2.963000e+03 6.808000e+02 1.266715e+00
4.500000e+03 3.227000e+03 6.304000e+02 1.397230e+00
5.000000e+03 3.495000e+03 5.878000e+02 1.527556e+00
5.500000e+03 3.763000e+03 5.513000e+02 1.637921e+00
6.000000e+03 4.030000e+03 5.195000e+02 1.748144e+00
6.500000e+03 4.295000e+03 4.917000e+02 1.858262e+00
7.000000e+03 4.556000e+03 4.670000e+02 1.958364e+00
8.000000e+03 5.064000e+03 4.251000e+02 2.148534e+00
9.000000e+03 5.548000e+03 3.909000e+02 2.318635e+00
1.000000e+04 6.007000e+03 3.623000e+02 2.478635e+00
1.100000e+04 6.438000e+03 3.380000e+02 2.628576e+00
1.200000e+04 6.842000e+03 3.171000e+02 2.768493e+00
1.300000e+04 7.220000e+03 2.989000e+02 2.908349e+00
1.400000e+04 7.573000e+03 2.829000e+02 3.038216e+00
1.500000e+04 7.903000e+03 2.686000e+02 3.158100e+00
1.600000e+04 8.212000e+03 2.559000e+02 3.277949e+00
1.700000e+04 8.500000e+03 2.445000e+02 3.397766e+00
1.800000e+04 8.771000e+03 2.341000e+02 3.507629e+00
2.000000e+04 9.264000e+03 2.160000e+02 3.717408e+00
2.250000e+04 9.805000e+03 1.973000e+02 3.977106e+00
2.500000e+04 1.028000e+04 1.818000e+02 4.216832e+00
2.750000e+04 1.070000e+04 1.688000e+02 4.446559e+00
3.000000e+04 1.108000e+04 1.577000e+02 4.676263e+00
3.250000e+04 1.143000e+04 1.480000e+02 4.895996e+00
3.500000e+04 1.175000e+04 1.396000e+02 5.105744e+00
3.750000e+04 1.205000e+04 1.321000e+02 5.315484e+00
4.000000e+04 1.233000e+04 1.255000e+02 5.515255e+00
4.500000e+04 1.284000e+04 1.142000e+02 5.904949e+00
5.000000e+04 1.331000e+04 1.049000e+02 6.284641e+00
5.500000e+04 1.373000e+04 9.715000e+01 6.654346e+00
6.000000e+04 1.412000e+04 9.053000e+01 7.004087e+00
6.500000e+04 1.448000e+04 8.481000e+01 7.353823e+00
7.000000e+04 1.481000e+04 7.982000e+01 7.693577e+00
8.000000e+04 1.539000e+04 7.154000e+01 8.353386e+00
9.000000e+04 1.589000e+04 6.491000e+01 8.983198e+00
1.000000e+05 1.633000e+04 5.949000e+01 9.603005e+00
