# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 1.109000e+02 1.596000e+03 7.854935e-03
1.100000e+01 1.163000e+02 1.629000e+03 8.309633e-03
1.200000e+01 1.215000e+02 1.657000e+03 8.848164e-03
1.300000e+01 1.264000e+02 1.683000e+03 9.362692e-03
1.400000e+01 1.312000e+02 1.706000e+03 9.816822e-03
1.500000e+01 1.358000e+02 1.726000e+03 1.033151e-02
1.600000e+01 1.402000e+02 1.745000e+03 1.075453e-02
1.700000e+01 1.446000e+02 1.762000e+03 1.117766e-02
1.800000e+01 1.488000e+02 1.777000e+03 1.172348e-02
2.000000e+01 1.568000e+02 1.804000e+03 1.256981e-02
2.250000e+01 1.663000e+02 1.831000e+03 1.372370e-02
2.500000e+01 1.753000e+02 1.853000e+03 1.478547e-02
2.750000e+01 1.839000e+02 1.870000e+03 1.584740e-02
3.000000e+01 1.920000e+02 1.884000e+03 1.693222e-02
3.250000e+01 1.999000e+02 1.895000e+03 1.796497e-02
3.500000e+01 2.074000e+02 1.904000e+03 1.902709e-02
3.750000e+01 2.147000e+02 1.911000e+03 2.008930e-02
4.000000e+01 2.217000e+02 1.916000e+03 2.112297e-02
4.500000e+01 2.352000e+02 1.922000e+03 2.324780e-02
5.000000e+01 2.479000e+02 1.924000e+03 2.534462e-02
5.500000e+01 2.600000e+02 1.923000e+03 2.734831e-02
6.000000e+01 2.716000e+02 1.919000e+03 2.944588e-02
6.500000e+01 2.827000e+02 1.913000e+03 3.154378e-02
7.000000e+01 2.933000e+02 1.906000e+03 3.352700e-02
8.000000e+01 3.136000e+02 1.888000e+03 3.772400e-02
9.000000e+01 3.326000e+02 1.868000e+03 4.180694e-02
1.000000e+02 3.506000e+02 1.845000e+03 4.597880e-02
1.100000e+02 3.677000e+02 1.822000e+03 5.015735e-02
1.200000e+02 3.841000e+02 1.798000e+03 5.433645e-02
1.300000e+02 4.030000e+02 1.774000e+03 5.849043e-02
1.400000e+02 4.302000e+02 1.750000e+03 6.275930e-02
1.500000e+02 4.528000e+02 1.726000e+03 6.693952e-02
1.600000e+02 4.722000e+02 1.703000e+03 7.118996e-02
1.700000e+02 4.893000e+02 1.680000e+03 7.544097e-02
1.800000e+02 5.048000e+02 1.657000e+03 7.969247e-02
2.000000e+02 5.328000e+02 1.614000e+03 8.829190e-02
2.250000e+02 5.653000e+02 1.562000e+03 9.906432e-02
