# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 9.354000e+01 1.911000e+03 7.439086e-03
1.100000e+01 9.811000e+01 1.961000e+03 7.955501e-03
1.200000e+01 1.025000e+02 2.007000e+03 8.379141e-03
1.300000e+01 1.067000e+02 2.048000e+03 8.780661e-03
1.400000e+01 1.107000e+02 2.086000e+03 9.110982e-03
1.500000e+01 1.146000e+02 2.121000e+03 9.534674e-03
1.600000e+01 1.183000e+02 2.153000e+03 9.958414e-03
1.700000e+01 1.220000e+02 2.183000e+03 1.038220e-02
1.800000e+01 1.255000e+02 2.210000e+03 1.069065e-02
2.000000e+01 1.323000e+02 2.260000e+03 1.153820e-02
2.250000e+01 1.403000e+02 2.314000e+03 1.238588e-02
2.500000e+01 1.479000e+02 2.359000e+03 1.332742e-02
2.750000e+01 1.551000e+02 2.399000e+03 1.424781e-02
3.000000e+01 1.620000e+02 2.433000e+03 1.509569e-02
3.250000e+01 1.686000e+02 2.463000e+03 1.594365e-02
3.500000e+01 1.750000e+02 2.489000e+03 1.677051e-02
3.750000e+01 1.811000e+02 2.513000e+03 1.761846e-02
4.000000e+01 1.871000e+02 2.533000e+03 1.853996e-02
4.500000e+01 1.984000e+02 2.567000e+03 2.012088e-02
5.000000e+01 2.092000e+02 2.594000e+03 2.179633e-02
5.500000e+01 2.194000e+02 2.615000e+03 2.344653e-02
6.000000e+01 2.291000e+02 2.631000e+03 2.502758e-02
6.500000e+01 2.385000e+02 2.644000e+03 2.658364e-02
7.000000e+01 2.475000e+02 2.653000e+03 2.816469e-02
8.000000e+01 2.646000e+02 2.664000e+03 3.137738e-02
9.000000e+01 2.806000e+02 2.667000e+03 3.449087e-02
1.000000e+02 2.958000e+02 2.665000e+03 3.760957e-02
1.100000e+02 3.102000e+02 2.659000e+03 4.070491e-02
1.200000e+02 3.240000e+02 2.650000e+03 4.382431e-02
1.300000e+02 3.373000e+02 2.638000e+03 4.693922e-02
1.400000e+02 3.500000e+02 2.625000e+03 5.005887e-02
1.500000e+02 3.623000e+02 2.610000e+03 5.315562e-02
1.600000e+02 3.742000e+02 2.594000e+03 5.634838e-02
1.700000e+02 3.857000e+02 2.577000e+03 5.946848e-02
1.800000e+02 3.977000e+02 2.560000e+03 6.256605e-02
2.000000e+02 4.803000e+02 2.524000e+03 6.885768e-02
2.250000e+02 5.384000e+02 2.478000e+03 7.659465e-02
2.500000e+02 5.698000e+02 2.432000e+03 8.442861e-02
2.750000e+02 5.888000e+02 2.386000e+03 9.224202e-02
3.000000e+02 6.030000e+02 2.342000e+03 1.001739e-01
3.250000e+02 6.161000e+02 2.298000e+03 1.081817e-01
3.500000e+02 6.301000e+02 2.256000e+03 1.162909e-01
3.750000e+02 6.456000e+02 2.216000e+03 1.244935e-01
4.000000e+02 6.629000e+02 2.176000e+03 1.327172e-01
4.500000e+02 7.028000e+02 2.102000e+03 1.495323e-01
5.000000e+02 7.482000e+02 2.033000e+03 1.664267e-01
5.500000e+02 7.970000e+02 1.969000e+03 1.835171e-01
6.000000e+02 8.476000e+02 1.909000e+03 2.007065e-01
6.500000e+02 8.987000e+02 1.853000e+03 2.179569e-01
7.000000e+02 9.494000e+02 1.801000e+03 2.352282e-01
8.000000e+02 1.047000e+03 1.706000e+03 2.698996e-01
9.000000e+02 1.138000e+03 1.622000e+03 3.045273e-01
1.000000e+03 1.221000e+03 1.548000e+03 3.390294e-01
1.100000e+03 1.298000e+03 1.481000e+03 3.735862e-01
1.200000e+03 1.368000e+03 1.421000e+03 4.080037e-01
1.300000e+03 1.432000e+03 1.366000e+03 4.423946e-01
