# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 2.738000e-01 1.823000e+00 1.457978e-02
1.100000e+01 2.871000e-01 1.824000e+00 1.578385e-02
1.200000e+01 2.999000e-01 1.822000e+00 1.698853e-02
1.300000e+01 3.121000e-01 1.819000e+00 1.819368e-02
1.400000e+01 3.239000e-01 1.814000e+00 1.931114e-02
1.500000e+01 3.353000e-01 1.808000e+00 2.052754e-02
1.600000e+01 3.463000e-01 1.801000e+00 2.173338e-02
1.700000e+01 3.569000e-01 1.793000e+00 2.293949e-02
1.800000e+01 3.673000e-01 1.785000e+00 2.414581e-02
2.000000e+01 3.871000e-01 1.766000e+00 2.647017e-02
2.250000e+01 4.106000e-01 1.742000e+00 2.949220e-02
2.500000e+01 4.328000e-01 1.716000e+00 3.245258e-02
2.750000e+01 4.540000e-01 1.690000e+00 3.550296e-02
3.000000e+01 4.742000e-01 1.664000e+00 3.855399e-02
3.250000e+01 4.935000e-01 1.638000e+00 4.169544e-02
3.500000e+01 5.122000e-01 1.613000e+00 4.471208e-02
3.750000e+01 5.301000e-01 1.588000e+00 4.785488e-02
4.000000e+01 5.475000e-01 1.564000e+00 5.097352e-02
4.500000e+01 5.807000e-01 1.517000e+00 5.722683e-02
5.000000e+01 6.121000e-01 1.473000e+00 6.366365e-02
5.500000e+01 6.429000e-01 1.432000e+00 7.006897e-02
6.000000e+01 6.762000e-01 1.393000e+00 7.648595e-02
6.500000e+01 7.088000e-01 1.356000e+00 8.298657e-02
7.000000e+01 7.402000e-01 1.322000e+00 8.945664e-02
8.000000e+01 7.988000e-01 1.258000e+00 1.025953e-01
9.000000e+01 8.525000e-01 1.202000e+00 1.158239e-01
1.000000e+02 9.023000e-01 1.151000e+00 1.290975e-01
1.100000e+02 9.489000e-01 1.105000e+00 1.423393e-01
1.200000e+02 9.930000e-01 1.063000e+00 1.557507e-01
1.300000e+02 1.035000e+00 1.024000e+00 1.690740e-01
1.400000e+02 1.075000e+00 9.890000e-01 1.824164e-01
1.500000e+02 1.114000e+00 9.565000e-01 1.958298e-01
1.600000e+02 1.152000e+00 9.264000e-01 2.091762e-01
1.700000e+02 1.190000e+00 8.985000e-01 2.224568e-01
1.800000e+02 1.226000e+00 8.725000e-01 2.357365e-01
2.000000e+02 1.298000e+00 8.255000e-01 2.622397e-01
2.250000e+02 1.386000e+00 7.745000e-01 2.949544e-01
2.500000e+02 1.472000e+00 7.303000e-01 3.271727e-01
2.750000e+02 1.559000e+00 6.917000e-01 3.588032e-01
3.000000e+02 1.645000e+00 6.575000e-01 3.899381e-01
3.250000e+02 1.730000e+00 6.270000e-01 4.204107e-01
3.500000e+02 1.816000e+00 5.997000e-01 4.502202e-01
3.750000e+02 1.901000e+00 5.749000e-01 4.794624e-01
4.000000e+02 1.986000e+00 5.524000e-01 5.079460e-01
4.500000e+02 2.154000e+00 5.130000e-01 5.632179e-01
5.000000e+02 2.320000e+00 4.796000e-01 6.159143e-01
5.500000e+02 2.484000e+00 4.508000e-01 6.664587e-01
6.000000e+02 2.645000e+00 4.256000e-01 7.148262e-01
6.500000e+02 2.804000e+00 4.035000e-01 7.611718e-01
7.000000e+02 2.959000e+00 3.839000e-01 8.057752e-01
8.000000e+02 3.262000e+00 3.504000e-01 8.900171e-01
9.000000e+02 3.553000e+00 3.229000e-01 9.686745e-01
1.000000e+03 3.834000e+00 2.999000e-01 1.044679e+00
1.100000e+03 4.104000e+00 2.802000e-01 1.114734e+00
1.200000e+03 4.365000e+00 2.633000e-01 1.174860e+00
1.300000e+03 4.618000e+00 2.485000e-01 1.244670e+00
1.400000e+03 4.862000e+00 2.354000e-01 1.304594e+00
1.500000e+03 5.099000e+00 2.238000e-01 1.354621e+00
1.600000e+03 5.329000e+00 2.134000e-01 1.414410e+00
1.700000e+03 5.553000e+00 2.040000e-01 1.464333e+00
1.800000e+03 5.770000e+00 1.955000e-01 1.514208e+00
2.000000e+03 6.188000e+00 1.807000e-01 1.613884e+00
2.250000e+03 6.683000e+00 1.653000e-01 1.723595e+00
2.500000e+03 7.149000e+00 1.525000e-01 1.833181e+00
2.750000e+03 7.589000e+00 1.418000e-01 1.932831e+00
3.000000e+03 8.005000e+00 1.325000e-01 2.032414e+00
3.250000e+03 8.398000e+00 1.246000e-01 2.122079e+00
3.500000e+03 8.770000e+00 1.176000e-01 2.211717e+00
3.750000e+03 9.120000e+00 1.114000e-01 2.291436e+00
4.000000e+03 9.451000e+00 1.059000e-01 2.371130e+00
4.500000e+03 1.006000e+01 9.645000e-02 2.530550e+00
5.000000e+03 1.059000e+01 8.870000e-02 2.670098e+00
5.500000e+03 1.107000e+01 8.220000e-02 2.809616e+00
6.000000e+03 1.148000e+01 7.665000e-02 2.949143e+00
6.500000e+03 1.185000e+01 7.186000e-02 3.078724e+00
7.000000e+03 1.217000e+01 6.768000e-02 3.208319e+00
8.000000e+03 1.270000e+01 6.072000e-02 3.447719e+00
9.000000e+03 1.310000e+01 5.515000e-02 3.687125e+00
1.000000e+04 1.341000e+01 5.058000e-02 3.916603e+00
