# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 1.507000e+02 9.261000e+02 1.114495e-02
1.100000e+01 1.580000e+02 9.350000e+02 1.202165e-02
1.200000e+01 1.651000e+02 9.418000e+02 1.274755e-02
1.300000e+01 1.718000e+02 9.476000e+02 1.362461e-02
1.400000e+01 1.783000e+02 9.520000e+02 1.437707e-02
1.500000e+01 1.845000e+02 9.554000e+02 1.516377e-02
1.600000e+01 1.906000e+02 9.578000e+02 1.600687e-02
1.700000e+01 1.965000e+02 9.598000e+02 1.673440e-02
1.800000e+01 2.022000e+02 9.608000e+02 1.752084e-02
2.000000e+01 2.131000e+02 9.618000e+02 1.900184e-02
2.250000e+01 2.260000e+02 9.608000e+02 2.096330e-02
2.500000e+01 2.383000e+02 9.581000e+02 2.286766e-02
2.750000e+01 2.499000e+02 9.537000e+02 2.480504e-02
3.000000e+01 2.610000e+02 9.486000e+02 2.671067e-02
3.250000e+01 2.717000e+02 9.428000e+02 2.855679e-02
3.500000e+01 2.819000e+02 9.363000e+02 3.043961e-02
3.750000e+01 2.918000e+02 9.299000e+02 3.234656e-02
4.000000e+01 3.014000e+02 9.227000e+02 3.425390e-02
4.500000e+01 3.197000e+02 9.081000e+02 3.795431e-02
5.000000e+01 3.369000e+02 8.932000e+02 4.177092e-02
5.500000e+01 3.532000e+02 8.782000e+02 4.556600e-02
6.000000e+01 3.692000e+02 8.636000e+02 4.936203e-02
6.500000e+01 3.842000e+02 8.490000e+02 5.318054e-02
7.000000e+01 3.988000e+02 8.347000e+02 5.694866e-02
8.000000e+01 4.263000e+02 8.075000e+02 6.451620e-02
9.000000e+01 4.624000e+02 7.820000e+02 7.215130e-02
1.000000e+02 4.930000e+02 7.578000e+02 7.976133e-02
1.100000e+02 5.188000e+02 7.354000e+02 8.737397e-02
1.200000e+02 5.413000e+02 7.143000e+02 9.487407e-02
1.300000e+02 5.606000e+02 6.946000e+02 1.025583e-01
1.400000e+02 5.780000e+02 6.759000e+02 1.101302e-01
1.500000e+02 5.936000e+02 6.586000e+02 1.177730e-01
1.600000e+02 6.079000e+02 6.422000e+02 1.254181e-01
1.700000e+02 6.212000e+02 6.266000e+02 1.331601e-01
1.800000e+02 6.337000e+02 6.120000e+02 1.408087e-01
2.000000e+02 6.569000e+02 5.851000e+02 1.563715e-01
2.250000e+02 6.837000e+02 5.552000e+02 1.759183e-01
2.500000e+02 7.092000e+02 5.287000e+02 1.955412e-01
2.750000e+02 7.340000e+02 5.049000e+02 2.152086e-01
3.000000e+02 7.582000e+02 4.835000e+02 2.348795e-01
3.250000e+02 7.823000e+02 4.641000e+02 2.545924e-01
3.500000e+02 8.068000e+02 4.464000e+02 2.742160e-01
3.750000e+02 8.309000e+02 4.304000e+02 2.936905e-01
4.000000e+02 8.554000e+02 4.158000e+02 3.131507e-01
4.500000e+02 9.044000e+02 3.893000e+02 3.516469e-01
5.000000e+02 9.537000e+02 3.668000e+02 3.895319e-01
5.500000e+02 1.003000e+03 3.468000e+02 4.266842e-01
6.000000e+02 1.051000e+03 3.295000e+02 4.630697e-01
6.500000e+02 1.100000e+03 3.139000e+02 4.987205e-01
7.000000e+02 1.147000e+03 3.000000e+02 5.336044e-01
8.000000e+02 1.239000e+03 2.760000e+02 6.011847e-01
9.000000e+02 1.328000e+03 2.560000e+02 6.659368e-01
1.000000e+03 1.414000e+03 2.391000e+02 7.280986e-01
1.100000e+03 1.495000e+03 2.245000e+02 7.878492e-01
1.200000e+03 1.574000e+03 2.119000e+02 8.455395e-01
1.300000e+03 1.649000e+03 2.007000e+02 9.011673e-01
1.400000e+03 1.721000e+03 1.908000e+02 9.551508e-01
1.500000e+03 1.790000e+03 1.820000e+02 1.007404e+00
1.600000e+03 1.857000e+03 1.740000e+02 1.057237e+00
1.700000e+03 1.922000e+03 1.668000e+02 1.107328e+00
1.800000e+03 1.986000e+03 1.602000e+02 1.157374e+00
2.000000e+03 2.107000e+03 1.487000e+02 1.247549e+00
2.250000e+03 2.250000e+03 1.366000e+02 1.357636e+00
2.500000e+03 2.387000e+03 1.266000e+02 1.467597e+00
2.750000e+03 2.520000e+03 1.180000e+02 1.567584e+00
3.000000e+03 2.649000e+03 1.107000e+02 1.657590e+00
3.250000e+03 2.775000e+03 1.043000e+02 1.747531e+00
3.500000e+03 2.898000e+03 9.867000e+01 1.837419e+00
3.750000e+03 3.019000e+03 9.367000e+01 1.917346e+00
4.000000e+03 3.138000e+03 8.921000e+01 2.007170e+00
4.500000e+03 3.370000e+03 8.156000e+01 2.157025e+00
5.000000e+03 3.594000e+03 7.524000e+01 2.306794e+00
5.500000e+03 3.811000e+03 6.990000e+01 2.436634e+00
6.000000e+03 4.019000e+03 6.531000e+01 2.566422e+00
6.500000e+03 4.216000e+03 6.137000e+01 2.696166e+00
7.000000e+03 4.406000e+03 5.790000e+01 2.815959e+00
8.000000e+03 4.753000e+03 5.212000e+01 3.035661e+00
9.000000e+03 5.059000e+03 4.746000e+01 3.245334e+00
1.000000e+04 5.331000e+03 4.362000e+01 3.445026e+00
1.100000e+04 5.569000e+03 4.039000e+01 3.634725e+00
1.200000e+04 5.776000e+03 3.767000e+01 3.814450e+00
1.300000e+04 5.957000e+03 3.529000e+01 3.994170e+00
1.400000e+04 6.113000e+03 3.324000e+01 4.163922e+00
1.500000e+04 6.252000e+03 3.143000e+01 4.333670e+00
1.600000e+04 6.371000e+03 2.981000e+01 4.493452e+00
1.700000e+04 6.477000e+03 2.837000e+01 4.653236e+00
1.800000e+04 6.565000e+03 2.707000e+01 4.813020e+00
2.000000e+04 6.711000e+03 2.482000e+01 5.132705e+00
2.250000e+04 6.844000e+03 2.251000e+01 5.512413e+00
2.500000e+04 6.936000e+03 2.063000e+01 5.892139e+00
2.750000e+04 6.990000e+03 1.905000e+01 6.261886e+00
3.000000e+04 7.024000e+03 1.772000e+01 6.631650e+00
3.250000e+04 7.038000e+03 1.657000e+01 7.011411e+00
3.500000e+04 7.038000e+03 1.557000e+01 7.381205e+00
3.750000e+04 7.028000e+03 1.469000e+01 7.751013e+00
4.000000e+04 7.007000e+03 1.391000e+01 8.120837e+00
4.500000e+04 6.953000e+03 1.259000e+01 8.870828e+00
5.000000e+04 6.881000e+03 1.152000e+01 9.620824e+00
5.500000e+04 6.803000e+03 1.062000e+01 1.038082e+01
6.000000e+04 6.718000e+03 9.856000e+00 1.116080e+01
6.500000e+04 6.633000e+03 9.207000e+00 1.194080e+01
7.000000e+04 6.545000e+03 8.639000e+00 1.273080e+01
8.000000e+04 6.371000e+03 7.704000e+00 1.435173e+01
9.000000e+04 6.246000e+03 6.960000e+00 1.600254e+01
1.000000e+05 6.069000e+03 6.354000e+00 1.770323e+01
