# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 2.565000e-01 4.517000e+00 9.100000e-03
1.100000e+01 2.691000e-01 4.619000e+00 9.615612e-03
1.200000e+01 2.810000e-01 4.711000e+00 1.018479e-02
1.300000e+01 2.925000e-01 4.794000e+00 1.070047e-02
1.400000e+01 3.035000e-01 4.868000e+00 1.121651e-02
1.500000e+01 3.142000e-01 4.936000e+00 1.176223e-02
1.600000e+01 3.245000e-01 4.998000e+00 1.227844e-02
1.700000e+01 3.345000e-01 5.054000e+00 1.279492e-02
1.800000e+01 3.442000e-01 5.106000e+00 1.334054e-02
2.000000e+01 3.628000e-01 5.198000e+00 1.428076e-02
2.250000e+01 3.848000e-01 5.294000e+00 1.555185e-02
2.500000e+01 4.056000e-01 5.374000e+00 1.670748e-02
2.750000e+01 4.254000e-01 5.440000e+00 1.786337e-02
3.000000e+01 4.443000e-01 5.496000e+00 1.904127e-02
3.250000e+01 4.625000e-01 5.542000e+00 2.019728e-02
3.500000e+01 4.799000e-01 5.582000e+00 2.132604e-02
3.750000e+01 4.968000e-01 5.614000e+00 2.248244e-02
4.000000e+01 5.131000e-01 5.642000e+00 2.363895e-02
4.500000e+01 5.442000e-01 5.683000e+00 2.585247e-02
5.000000e+01 5.736000e-01 5.710000e+00 2.813930e-02
5.500000e+01 6.016000e-01 5.726000e+00 3.035869e-02
6.000000e+01 6.284000e-01 5.734000e+00 3.255196e-02
6.500000e+01 6.540000e-01 5.734000e+00 3.474550e-02
7.000000e+01 6.787000e-01 5.730000e+00 3.693927e-02
8.000000e+01 7.256000e-01 5.707000e+00 4.132735e-02
9.000000e+01 7.696000e-01 5.672000e+00 4.569617e-02
1.000000e+02 8.113000e-01 5.630000e+00 5.006046e-02
1.100000e+02 8.509000e-01 5.581000e+00 5.443069e-02
1.200000e+02 8.887000e-01 5.529000e+00 5.889126e-02
1.300000e+02 9.250000e-01 5.475000e+00 6.326239e-02
1.400000e+02 9.599000e-01 5.419000e+00 6.770510e-02
1.500000e+02 9.945000e-01 5.362000e+00 7.219093e-02
1.600000e+02 1.074000e+00 5.305000e+00 7.672998e-02
1.700000e+02 1.138000e+00 5.248000e+00 8.117426e-02
1.800000e+02 1.191000e+00 5.191000e+00 8.563726e-02
2.000000e+02 1.274000e+00 5.079000e+00 9.462320e-02
2.250000e+02 1.353000e+00 4.944000e+00 1.059975e-01
2.500000e+02 1.419000e+00 4.815000e+00 1.174465e-01
2.750000e+02 1.482000e+00 4.691000e+00 1.289758e-01
3.000000e+02 1.544000e+00 4.574000e+00 1.407162e-01
3.250000e+02 1.606000e+00 4.463000e+00 1.525540e-01
3.500000e+02 1.670000e+00 4.358000e+00 1.644681e-01
3.750000e+02 1.735000e+00 4.258000e+00 1.765762e-01
4.000000e+02 1.801000e+00 4.163000e+00 1.887067e-01
4.500000e+02 1.934000e+00 3.987000e+00 2.130854e-01
5.000000e+02 2.066000e+00 3.828000e+00 2.376786e-01
5.500000e+02 2.195000e+00 3.682000e+00 2.624492e-01
6.000000e+02 2.322000e+00 3.550000e+00 2.872658e-01
6.500000e+02 2.445000e+00 3.427000e+00 3.120677e-01
7.000000e+02 2.565000e+00 3.315000e+00 3.369520e-01
8.000000e+02 2.794000e+00 3.114000e+00 3.866003e-01
9.000000e+02 3.009000e+00 2.940000e+00 4.361589e-01
1.000000e+03 3.213000e+00 2.787000e+00 4.853534e-01
1.100000e+03 3.408000e+00 2.652000e+00 5.341699e-01
1.200000e+03 3.596000e+00 2.531000e+00 5.825453e-01
1.300000e+03 3.778000e+00 2.423000e+00 6.304618e-01
1.400000e+03 3.955000e+00 2.325000e+00 6.778099e-01
1.500000e+03 4.129000e+00 2.235000e+00 7.246342e-01
1.600000e+03 4.300000e+00 2.154000e+00 7.708220e-01
1.700000e+03 4.470000e+00 2.079000e+00 8.164708e-01
1.800000e+03 4.638000e+00 2.010000e+00 8.614975e-01
2.000000e+03 4.971000e+00 1.887000e+00 9.495704e-01
2.250000e+03 5.384000e+00 1.755000e+00 1.058652e+00
2.500000e+03 5.797000e+00 1.643000e+00 1.159379e+00
2.750000e+03 6.209000e+00 1.546000e+00 1.259918e+00
3.000000e+03 6.622000e+00 1.461000e+00 1.350442e+00
3.250000e+03 7.035000e+00 1.387000e+00 1.440829e+00
3.500000e+03 7.448000e+00 1.320000e+00 1.531097e+00
3.750000e+03 7.859000e+00 1.261000e+00 1.611394e+00
4.000000e+03 8.269000e+00 1.207000e+00 1.691605e+00
4.500000e+03 9.080000e+00 1.113000e+00 1.851884e+00
5.000000e+03 9.877000e+00 1.035000e+00 1.992149e+00
5.500000e+03 1.066000e+01 9.682000e-01 2.122312e+00
6.000000e+03 1.142000e+01 9.103000e-01 2.252329e+00
6.500000e+03 1.215000e+01 8.598000e-01 2.372329e+00
7.000000e+03 1.287000e+01 8.151000e-01 2.482333e+00
8.000000e+03 1.422000e+01 7.397000e-01 2.692284e+00
9.000000e+03 1.549000e+01 6.783000e-01 2.892100e+00
1.000000e+04 1.665000e+01 6.273000e-01 3.071917e+00
