# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 3.647000e-01 4.017000e-01 3.354162e-02
1.100000e+01 3.825000e-01 3.914000e-01 3.658128e-02
1.200000e+01 3.995000e-01 3.816000e-01 3.970756e-02
1.300000e+01 4.158000e-01 3.723000e-01 4.280444e-02
1.400000e+01 4.315000e-01 3.635000e-01 4.580764e-02
1.500000e+01 4.467000e-01 3.551000e-01 4.886737e-02
1.600000e+01 4.613000e-01 3.472000e-01 5.184313e-02
1.700000e+01 4.755000e-01 3.397000e-01 5.493724e-02
1.800000e+01 4.893000e-01 3.325000e-01 5.796283e-02
2.000000e+01 5.158000e-01 3.192000e-01 6.397163e-02
2.250000e+01 5.479000e-01 3.042000e-01 7.128962e-02
2.500000e+01 5.844000e-01 2.908000e-01 7.861660e-02
2.750000e+01 6.215000e-01 2.787000e-01 8.576066e-02
3.000000e+01 6.576000e-01 2.678000e-01 9.278798e-02
3.250000e+01 6.918000e-01 2.578000e-01 9.964121e-02
3.500000e+01 7.241000e-01 2.487000e-01 1.063159e-01
3.750000e+01 7.544000e-01 2.403000e-01 1.129400e-01
4.000000e+01 7.826000e-01 2.325000e-01 1.194412e-01
4.500000e+01 8.337000e-01 2.187000e-01 1.321372e-01
5.000000e+01 8.783000e-01 2.066000e-01 1.446085e-01
5.500000e+01 9.174000e-01 1.960000e-01 1.566824e-01
6.000000e+01 9.520000e-01 1.866000e-01 1.686252e-01
6.500000e+01 9.831000e-01 1.782000e-01 1.804333e-01
7.000000e+01 1.011000e+00 1.707000e-01 1.921118e-01
8.000000e+01 1.061000e+00 1.576000e-01 2.149492e-01
9.000000e+01 1.105000e+00 1.466000e-01 2.373323e-01
1.000000e+02 1.146000e+00 1.373000e-01 2.593492e-01
1.100000e+02 1.185000e+00 1.292000e-01 2.809275e-01
1.200000e+02 1.222000e+00 1.222000e-01 3.021364e-01
1.300000e+02 1.259000e+00 1.159000e-01 3.229470e-01
1.400000e+02 1.296000e+00 1.104000e-01 3.433867e-01
1.500000e+02 1.333000e+00 1.054000e-01 3.635397e-01
1.600000e+02 1.369000e+00 1.009000e-01 3.831502e-01
1.700000e+02 1.406000e+00 9.687000e-02 4.025649e-01
1.800000e+02 1.443000e+00 9.315000e-02 4.215512e-01
2.000000e+02 1.517000e+00 8.661000e-02 4.583881e-01
2.250000e+02 1.610000e+00 7.975000e-02 5.025100e-01
2.500000e+02 1.703000e+00 7.402000e-02 5.446876e-01
2.750000e+02 1.795000e+00 6.913000e-02 5.849124e-01
3.000000e+02 1.885000e+00 6.492000e-02 6.235209e-01
3.250000e+02 1.975000e+00 6.124000e-02 6.604904e-01
3.500000e+02 2.062000e+00 5.800000e-02 6.960439e-01
3.750000e+02 2.148000e+00 5.512000e-02 7.304030e-01
4.000000e+02 2.231000e+00 5.255000e-02 7.634390e-01
4.500000e+02 2.391000e+00 4.812000e-02 8.265182e-01
5.000000e+02 2.541000e+00 4.444000e-02 8.859589e-01
5.500000e+02 2.683000e+00 4.134000e-02 9.423899e-01
6.000000e+02 2.815000e+00 3.867000e-02 9.961168e-01
6.500000e+02 2.939000e+00 3.636000e-02 1.045577e+00
7.000000e+02 3.055000e+00 3.434000e-02 1.095395e+00
8.000000e+02 3.264000e+00 3.095000e-02 1.195021e+00
9.000000e+02 3.447000e+00 2.822000e-02 1.284704e+00
1.000000e+03 3.607000e+00 2.597000e-02 1.364469e+00
1.100000e+03 3.747000e+00 2.408000e-02 1.444212e+00
1.200000e+03 3.869000e+00 2.247000e-02 1.523933e+00
1.300000e+03 3.977000e+00 2.107000e-02 1.603653e+00
1.400000e+03 4.071000e+00 1.985000e-02 1.683368e+00
1.500000e+03 4.153000e+00 1.878000e-02 1.753162e+00
1.600000e+03 4.226000e+00 1.782000e-02 1.822960e+00
1.700000e+03 4.289000e+00 1.697000e-02 1.892766e+00
1.800000e+03 4.344000e+00 1.620000e-02 1.962565e+00
2.000000e+03 4.433000e+00 1.487000e-02 2.102225e+00
2.250000e+03 4.513000e+00 1.350000e-02 2.271875e+00
2.500000e+03 4.565000e+00 1.238000e-02 2.441546e+00
2.750000e+03 4.596000e+00 1.144000e-02 2.611236e+00
3.000000e+03 4.612000e+00 1.064000e-02 2.780941e+00
3.250000e+03 4.616000e+00 9.958000e-03 2.940717e+00
3.500000e+03 4.610000e+00 9.361000e-03 3.110469e+00
3.750000e+03 4.598000e+00 8.837000e-03 3.270280e+00
4.000000e+03 4.581000e+00 8.372000e-03 3.440066e+00
4.500000e+03 4.536000e+00 7.583000e-03 3.779848e+00
5.000000e+03 4.482000e+00 6.939000e-03 4.119668e+00
5.500000e+03 4.422000e+00 6.402000e-03 4.459519e+00
6.000000e+03 4.359000e+00 5.947000e-03 4.809378e+00
6.500000e+03 4.295000e+00 5.556000e-03 5.169251e+00
7.000000e+03 4.230000e+00 5.216000e-03 5.529149e+00
8.000000e+03 4.101000e+00 4.655000e-03 6.259426e+00
9.000000e+03 3.976000e+00 4.208000e-03 7.019670e+00
1.000000e+04 3.855000e+00 3.844000e-03 7.809899e+00
