# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 2.047000e-01 5.748000e+00 8.873556e-03
1.100000e+01 2.147000e-01 5.938000e+00 9.297311e-03
1.200000e+01 2.242000e-01 6.113000e+00 9.815804e-03
1.300000e+01 2.334000e-01 6.275000e+00 1.023963e-02
1.400000e+01 2.422000e-01 6.425000e+00 1.066349e-02
1.500000e+01 2.507000e-01 6.565000e+00 1.106797e-02
1.600000e+01 2.589000e-01 6.696000e+00 1.149174e-02
1.700000e+01 2.669000e-01 6.819000e+00 1.191554e-02
1.800000e+01 2.746000e-01 6.935000e+00 1.220041e-02
2.000000e+01 2.895000e-01 7.148000e+00 1.304799e-02
2.250000e+01 3.070000e-01 7.384000e+00 1.397176e-02
2.500000e+01 3.237000e-01 7.594000e+00 1.491442e-02
2.750000e+01 3.395000e-01 7.781000e+00 1.576198e-02
3.000000e+01 3.545000e-01 7.949000e+00 1.666223e-02
3.250000e+01 3.690000e-01 8.101000e+00 1.749114e-02
3.500000e+01 3.830000e-01 8.240000e+00 1.833848e-02
3.750000e+01 3.964000e-01 8.367000e+00 1.914419e-02
4.000000e+01 4.094000e-01 8.483000e+00 1.999150e-02
4.500000e+01 4.342000e-01 8.689000e+00 2.153091e-02
5.000000e+01 4.577000e-01 8.866000e+00 2.308874e-02
5.500000e+01 4.801000e-01 9.019000e+00 2.462864e-02
6.000000e+01 5.014000e-01 9.152000e+00 2.609080e-02
6.500000e+01 5.219000e-01 9.270000e+00 2.751309e-02
7.000000e+01 5.416000e-01 9.373000e+00 2.907129e-02
8.000000e+01 5.790000e-01 9.545000e+00 3.184274e-02
9.000000e+01 6.141000e-01 9.680000e+00 3.474953e-02
1.000000e+02 6.473000e-01 9.788000e+00 3.752159e-02
1.100000e+02 6.789000e-01 9.873000e+00 4.029404e-02
1.200000e+02 7.091000e-01 9.940000e+00 4.294985e-02
1.300000e+02 7.381000e-01 9.993000e+00 4.562653e-02
1.400000e+02 7.659000e-01 1.003000e+01 4.841663e-02
1.500000e+02 7.928000e-01 1.006000e+01 5.109344e-02
1.600000e+02 8.188000e-01 1.008000e+01 5.375035e-02
1.700000e+02 8.440000e-01 1.010000e+01 5.631421e-02
1.800000e+02 8.685000e-01 1.011000e+01 5.897160e-02
2.000000e+02 9.155000e-01 1.011000e+01 6.430661e-02
2.250000e+02 9.710000e-01 1.008000e+01 7.089358e-02
2.500000e+02 1.024000e+00 1.004000e+01 7.744546e-02
2.750000e+02 1.073000e+00 9.991000e+00 8.409489e-02
3.000000e+02 1.234000e+00 9.928000e+00 9.064497e-02
3.250000e+02 1.352000e+00 9.858000e+00 9.719841e-02
3.500000e+02 1.439000e+00 9.784000e+00 1.037338e-01
3.750000e+02 1.504000e+00 9.706000e+00 1.101908e-01
4.000000e+02 1.555000e+00 9.625000e+00 1.167117e-01
4.500000e+02 1.633000e+00 9.460000e+00 1.298825e-01
5.000000e+02 1.696000e+00 9.293000e+00 1.432667e-01
5.500000e+02 1.756000e+00 9.127000e+00 1.567170e-01
6.000000e+02 1.817000e+00 8.963000e+00 1.702805e-01
6.500000e+02 1.882000e+00 8.804000e+00 1.840424e-01
7.000000e+02 1.950000e+00 8.649000e+00 1.979001e-01
8.000000e+02 2.095000e+00 8.353000e+00 2.258963e-01
9.000000e+02 2.249000e+00 8.076000e+00 2.543838e-01
1.000000e+03 2.407000e+00 7.817000e+00 2.832488e-01
1.100000e+03 2.567000e+00 7.576000e+00 3.123121e-01
1.200000e+03 2.725000e+00 7.351000e+00 3.416691e-01
1.300000e+03 2.881000e+00 7.141000e+00 3.711954e-01
1.400000e+03 3.034000e+00 6.944000e+00 4.009201e-01
1.500000e+03 3.182000e+00 6.760000e+00 4.307300e-01
1.600000e+03 3.327000e+00 6.586000e+00 4.607103e-01
1.700000e+03 3.467000e+00 6.423000e+00 4.907060e-01
1.800000e+03 3.603000e+00 6.269000e+00 5.208853e-01
2.000000e+03 3.864000e+00 5.985000e+00 5.813224e-01
2.250000e+03 4.171000e+00 5.671000e+00 6.572059e-01
2.500000e+03 4.461000e+00 5.393000e+00 7.330322e-01
2.750000e+03 4.736000e+00 5.145000e+00 8.088157e-01
3.000000e+03 4.999000e+00 4.923000e+00 8.844214e-01
3.250000e+03 5.254000e+00 4.722000e+00 9.596909e-01
3.500000e+03 5.501000e+00 4.540000e+00 1.034908e+00
3.750000e+03 5.744000e+00 4.373000e+00 1.105562e+00
4.000000e+03 5.982000e+00 4.220000e+00 1.186003e+00
4.500000e+03 6.452000e+00 3.949000e+00 1.327144e+00
5.000000e+03 6.916000e+00 3.716000e+00 1.468111e+00
5.500000e+03 7.378000e+00 3.512000e+00 1.608923e+00
6.000000e+03 7.841000e+00 3.333000e+00 1.749608e+00
6.500000e+03 8.305000e+00 3.174000e+00 1.880267e+00
7.000000e+03 8.771000e+00 3.031000e+00 2.010820e+00
8.000000e+03 9.708000e+00 2.786000e+00 2.261837e+00
9.000000e+03 1.065000e+01 2.582000e+00 2.492685e+00
1.000000e+04 1.159000e+01 2.409000e+00 2.723217e+00
