# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 8.394000e+01 8.915000e+01 4.661427e-02
1.100000e+01 8.802000e+01 8.636000e+01 5.116034e-02
1.200000e+01 9.193000e+01 8.374000e+01 5.562625e-02
1.300000e+01 9.571000e+01 8.129000e+01 6.018521e-02
1.400000e+01 9.931000e+01 7.901000e+01 6.466413e-02
1.500000e+01 1.028000e+02 7.691000e+01 6.917839e-02
1.600000e+01 1.062000e+02 7.490000e+01 7.370522e-02
1.700000e+01 1.094000e+02 7.303000e+01 7.815011e-02
1.800000e+01 1.126000e+02 7.126000e+01 8.264200e-02
2.000000e+01 1.178000e+02 6.800000e+01 9.151721e-02
2.250000e+01 1.243000e+02 6.439000e+01 1.026423e-01
2.500000e+01 1.307000e+02 6.123000e+01 1.136734e-01
2.750000e+01 1.372000e+02 5.838000e+01 1.246498e-01
3.000000e+01 1.436000e+02 5.586000e+01 1.353890e-01
3.250000e+01 1.500000e+02 5.358000e+01 1.460430e-01
3.500000e+01 1.564000e+02 5.147000e+01 1.565488e-01
3.750000e+01 1.627000e+02 4.960000e+01 1.669120e-01
4.000000e+01 1.689000e+02 4.784000e+01 1.771324e-01
4.500000e+01 1.811000e+02 4.478000e+01 1.970507e-01
5.000000e+01 1.927000e+02 4.212000e+01 2.163365e-01
5.500000e+01 2.038000e+02 3.981000e+01 2.350201e-01
6.000000e+01 2.145000e+02 3.777000e+01 2.531918e-01
6.500000e+01 2.246000e+02 3.597000e+01 2.709059e-01
7.000000e+01 2.344000e+02 3.434000e+01 2.882288e-01
8.000000e+01 2.528000e+02 3.156000e+01 3.215812e-01
9.000000e+01 2.699000e+02 2.925000e+01 3.534944e-01
1.000000e+02 2.861000e+02 2.729000e+01 3.841199e-01
1.100000e+02 3.013000e+02 2.561000e+01 4.136378e-01
1.200000e+02 3.159000e+02 2.415000e+01 4.421864e-01
1.300000e+02 3.299000e+02 2.287000e+01 4.697617e-01
