# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 3.849000e-01 5.285000e-01 2.838133e-02
1.100000e+01 4.037000e-01 5.171000e-01 3.096417e-02
1.200000e+01 4.216000e-01 5.062000e-01 3.356010e-02
1.300000e+01 4.389000e-01 4.957000e-01 3.611468e-02
1.400000e+01 4.554000e-01 4.856000e-01 3.867092e-02
1.500000e+01 4.714000e-01 4.760000e-01 4.131416e-02
1.600000e+01 4.869000e-01 4.667000e-01 4.387311e-02
1.700000e+01 5.019000e-01 4.578000e-01 4.643296e-02
1.800000e+01 5.164000e-01 4.493000e-01 4.895324e-02
2.000000e+01 5.443000e-01 4.334000e-01 5.408447e-02
2.250000e+01 5.774000e-01 4.151000e-01 6.039512e-02
2.500000e+01 6.157000e-01 3.986000e-01 6.661486e-02
2.750000e+01 6.593000e-01 3.835000e-01 7.273555e-02
3.000000e+01 6.967000e-01 3.697000e-01 7.874490e-02
3.250000e+01 7.294000e-01 3.571000e-01 8.472314e-02
3.500000e+01 7.583000e-01 3.454000e-01 9.055358e-02
3.750000e+01 7.843000e-01 3.346000e-01 9.632720e-02
4.000000e+01 8.082000e-01 3.246000e-01 1.021043e-01
4.500000e+01 8.511000e-01 3.065000e-01 1.134859e-01
5.000000e+01 8.892000e-01 2.907000e-01 1.247632e-01
5.500000e+01 9.241000e-01 2.767000e-01 1.359325e-01
6.000000e+01 9.566000e-01 2.642000e-01 1.469395e-01
6.500000e+01 9.872000e-01 2.529000e-01 1.578067e-01
7.000000e+01 1.016000e+00 2.427000e-01 1.685672e-01
8.000000e+01 1.072000e+00 2.250000e-01 1.898603e-01
9.000000e+01 1.124000e+00 2.100000e-01 2.106617e-01
1.000000e+02 1.174000e+00 1.972000e-01 2.311110e-01
1.100000e+02 1.224000e+00 1.860000e-01 2.509966e-01
1.200000e+02 1.272000e+00 1.763000e-01 2.705266e-01
1.300000e+02 1.320000e+00 1.676000e-01 2.897256e-01
1.400000e+02 1.367000e+00 1.599000e-01 3.083564e-01
1.500000e+02 1.414000e+00 1.529000e-01 3.265805e-01
1.600000e+02 1.460000e+00 1.466000e-01 3.444909e-01
1.700000e+02 1.506000e+00 1.409000e-01 3.620438e-01
1.800000e+02 1.552000e+00 1.356000e-01 3.790904e-01
2.000000e+02 1.642000e+00 1.264000e-01 4.123293e-01
2.250000e+02 1.752000e+00 1.166000e-01 4.519580e-01
2.500000e+02 1.860000e+00 1.085000e-01 4.896160e-01
2.750000e+02 1.966000e+00 1.015000e-01 5.257016e-01
3.000000e+02 2.069000e+00 9.543000e-02 5.601499e-01
3.250000e+02 2.169000e+00 9.015000e-02 5.932827e-01
3.500000e+02 2.266000e+00 8.548000e-02 6.251741e-01
3.750000e+02 2.361000e+00 8.132000e-02 6.558411e-01
4.000000e+02 2.453000e+00 7.759000e-02 6.855042e-01
4.500000e+02 2.630000e+00 7.117000e-02 7.421081e-01
5.000000e+02 2.797000e+00 6.583000e-02 7.954772e-01
5.500000e+02 2.955000e+00 6.131000e-02 8.461336e-01
6.000000e+02 3.105000e+00 5.743000e-02 8.943782e-01
6.500000e+02 3.246000e+00 5.405000e-02 9.407085e-01
7.000000e+02 3.380000e+00 5.109000e-02 9.852468e-01
8.000000e+02 3.627000e+00 4.612000e-02 1.066088e+00
9.000000e+02 3.849000e+00 4.211000e-02 1.145782e+00
1.000000e+03 4.050000e+00 3.879000e-02 1.225433e+00
1.100000e+03 4.231000e+00 3.600000e-02 1.295171e+00
1.200000e+03 4.394000e+00 3.362000e-02 1.364893e+00
1.300000e+03 4.543000e+00 3.156000e-02 1.434599e+00
1.400000e+03 4.677000e+00 2.975000e-02 1.504309e+00
1.500000e+03 4.799000e+00 2.816000e-02 1.564111e+00
1.600000e+03 4.909000e+00 2.674000e-02 1.623903e+00
1.700000e+03 5.009000e+00 2.547000e-02 1.683693e+00
1.800000e+03 5.099000e+00 2.433000e-02 1.743493e+00
2.000000e+03 5.254000e+00 2.235000e-02 1.863107e+00
2.250000e+03 5.406000e+00 2.031000e-02 2.002741e+00
2.500000e+03 5.522000e+00 1.864000e-02 2.142380e+00
2.750000e+03 5.607000e+00 1.724000e-02 2.282042e+00
3.000000e+03 5.668000e+00 1.605000e-02 2.421722e+00
3.250000e+03 5.710000e+00 1.502000e-02 2.551461e+00
3.500000e+03 5.736000e+00 1.413000e-02 2.681216e+00
3.750000e+03 5.751000e+00 1.334000e-02 2.820946e+00
4.000000e+03 5.755000e+00 1.265000e-02 2.950735e+00
4.500000e+03 5.743000e+00 1.146000e-02 3.220420e+00
5.000000e+03 5.710000e+00 1.050000e-02 3.480177e+00
5.500000e+03 5.664000e+00 9.690000e-03 3.749931e+00
6.000000e+03 5.610000e+00 9.006000e-03 4.029701e+00
6.500000e+03 5.550000e+00 8.418000e-03 4.299519e+00
7.000000e+03 5.487000e+00 7.907000e-03 4.579340e+00
8.000000e+03 5.355000e+00 7.060000e-03 5.139377e+00
9.000000e+03 5.221000e+00 6.387000e-03 5.719397e+00
1.000000e+04 5.090000e+00 5.837000e-03 6.319428e+00
