# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 3.535000e-01 2.948000e+00 1.076011e-02
1.100000e+01 3.708000e-01 2.980000e+00 1.151130e-02
1.200000e+01 3.872000e-01 3.007000e+00 1.226295e-02
1.300000e+01 4.031000e-01 3.029000e+00 1.302344e-02
1.400000e+01 4.183000e-01 3.047000e+00 1.377534e-02
1.500000e+01 4.329000e-01 3.061000e+00 1.456228e-02
1.600000e+01 4.471000e-01 3.073000e+00 1.531437e-02
1.700000e+01 4.609000e-01 3.083000e+00 1.604089e-02
1.800000e+01 4.743000e-01 3.090000e+00 1.679345e-02
2.000000e+01 4.999000e-01 3.099000e+00 1.821675e-02
2.250000e+01 5.303000e-01 3.103000e+00 2.002823e-02
2.500000e+01 5.589000e-01 3.100000e+00 2.187373e-02
2.750000e+01 5.862000e-01 3.093000e+00 2.368628e-02
3.000000e+01 6.123000e-01 3.082000e+00 2.553214e-02
3.250000e+01 6.373000e-01 3.068000e+00 2.734538e-02
3.500000e+01 6.613000e-01 3.053000e+00 2.915905e-02
3.750000e+01 6.846000e-01 3.035000e+00 3.094931e-02
4.000000e+01 7.070000e-01 3.017000e+00 3.279558e-02
4.500000e+01 7.499000e-01 2.977000e+00 3.642458e-02
5.000000e+01 7.905000e-01 2.935000e+00 4.003124e-02
5.500000e+01 8.290000e-01 2.892000e+00 4.363886e-02
6.000000e+01 8.659000e-01 2.850000e+00 4.733973e-02
6.500000e+01 9.013000e-01 2.807000e+00 5.104145e-02
7.000000e+01 9.353000e-01 2.765000e+00 5.476587e-02
8.000000e+01 9.998000e-01 2.683000e+00 6.214218e-02
9.000000e+01 1.061000e+00 2.605000e+00 6.970724e-02
1.000000e+02 1.126000e+00 2.532000e+00 7.727464e-02
1.100000e+02 1.191000e+00 2.462000e+00 8.481539e-02
1.200000e+02 1.256000e+00 2.396000e+00 9.245183e-02
1.300000e+02 1.318000e+00 2.334000e+00 1.000625e-01
1.400000e+02 1.379000e+00 2.276000e+00 1.077023e-01
1.500000e+02 1.437000e+00 2.221000e+00 1.153163e-01
1.600000e+02 1.494000e+00 2.169000e+00 1.229994e-01
1.700000e+02 1.549000e+00 2.119000e+00 1.305700e-01
1.800000e+02 1.601000e+00 2.072000e+00 1.382566e-01
2.000000e+02 1.701000e+00 1.986000e+00 1.535886e-01
2.250000e+02 1.816000e+00 1.888000e+00 1.727470e-01
2.500000e+02 1.924000e+00 1.802000e+00 1.918250e-01
2.750000e+02 2.025000e+00 1.724000e+00 2.107674e-01
3.000000e+02 2.121000e+00 1.654000e+00 2.296935e-01
3.250000e+02 2.212000e+00 1.590000e+00 2.485617e-01
3.500000e+02 2.301000e+00 1.532000e+00 2.673003e-01
3.750000e+02 2.388000e+00 1.478000e+00 2.859274e-01
4.000000e+02 2.472000e+00 1.429000e+00 3.044427e-01
4.500000e+02 2.638000e+00 1.341000e+00 3.409902e-01
5.000000e+02 2.799000e+00 1.265000e+00 3.768588e-01
5.500000e+02 2.959000e+00 1.199000e+00 4.121509e-01
6.000000e+02 3.116000e+00 1.140000e+00 4.465577e-01
6.500000e+02 3.273000e+00 1.088000e+00 4.804414e-01
7.000000e+02 3.428000e+00 1.040000e+00 5.134405e-01
8.000000e+02 3.736000e+00 9.588000e-01 5.772846e-01
9.000000e+02 4.041000e+00 8.907000e-01 6.382626e-01
1.000000e+03 4.342000e+00 8.329000e-01 6.965200e-01
1.100000e+03 4.639000e+00 7.831000e-01 7.521992e-01
1.200000e+03 4.931000e+00 7.396000e-01 8.054930e-01
1.300000e+03 5.219000e+00 7.013000e-01 8.567077e-01
1.400000e+03 5.501000e+00 6.672000e-01 9.058023e-01
1.500000e+03 5.778000e+00 6.367000e-01 9.530396e-01
1.600000e+03 6.051000e+00 6.092000e-01 9.986558e-01
1.700000e+03 6.318000e+00 5.843000e-01 1.038792e+00
1.800000e+03 6.580000e+00 5.616000e-01 1.088713e+00
2.000000e+03 7.088000e+00 5.216000e-01 1.168824e+00
2.250000e+03 7.695000e+00 4.798000e-01 1.258923e+00
2.500000e+03 8.273000e+00 4.449000e-01 1.348873e+00
2.750000e+03 8.823000e+00 4.152000e-01 1.438708e+00
3.000000e+03 9.348000e+00 3.896000e-01 1.508714e+00
3.250000e+03 9.848000e+00 3.673000e-01 1.588533e+00
3.500000e+03 1.032000e+01 3.477000e-01 1.658412e+00
3.750000e+03 1.078000e+01 3.303000e-01 1.728261e+00
4.000000e+03 1.122000e+01 3.147000e-01 1.798079e+00
4.500000e+03 1.204000e+01 2.879000e-01 1.927779e+00
5.000000e+03 1.279000e+01 2.657000e-01 2.047502e+00
5.500000e+03 1.348000e+01 2.470000e-01 2.157243e+00
6.000000e+03 1.412000e+01 2.310000e-01 2.266961e+00
6.500000e+03 1.471000e+01 2.171000e-01 2.366723e+00
7.000000e+03 1.525000e+01 2.049000e-01 2.466469e+00
8.000000e+03 1.622000e+01 1.846000e-01 2.666000e+00
9.000000e+03 1.705000e+01 1.682000e-01 2.845619e+00
1.000000e+04 1.777000e+01 1.547000e-01 3.015260e+00
