# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 2.425000e-01 5.469000e+00 8.731552e-03
1.100000e+01 2.543000e-01 5.634000e+00 9.155326e-03
1.200000e+01 2.656000e-01 5.784000e+00 9.673159e-03
1.300000e+01 2.764000e-01 5.923000e+00 1.009703e-02
1.400000e+01 2.869000e-01 6.050000e+00 1.052093e-02
1.500000e+01 2.970000e-01 6.168000e+00 1.101862e-02
1.600000e+01 3.067000e-01 6.278000e+00 1.144246e-02
1.700000e+01 3.161000e-01 6.381000e+00 1.186634e-02
1.800000e+01 3.253000e-01 6.477000e+00 1.229024e-02
2.000000e+01 3.429000e-01 6.653000e+00 1.302344e-02
2.250000e+01 3.637000e-01 6.845000e+00 1.406023e-02
2.500000e+01 3.834000e-01 7.013000e+00 1.500267e-02
2.750000e+01 4.021000e-01 7.161000e+00 1.594522e-02
3.000000e+01 4.200000e-01 7.293000e+00 1.686802e-02
3.250000e+01 4.371000e-01 7.411000e+00 1.781067e-02
3.500000e+01 4.536000e-01 7.517000e+00 1.863894e-02
3.750000e+01 4.695000e-01 7.613000e+00 1.958162e-02
4.000000e+01 4.849000e-01 7.699000e+00 2.040515e-02
4.500000e+01 5.143000e-01 7.850000e+00 2.217634e-02
5.000000e+01 5.422000e-01 7.976000e+00 2.380966e-02
5.500000e+01 5.686000e-01 8.082000e+00 2.548588e-02
6.000000e+01 5.939000e-01 8.171000e+00 2.713872e-02
6.500000e+01 6.182000e-01 8.247000e+00 2.869634e-02
7.000000e+01 6.415000e-01 8.311000e+00 3.033101e-02
8.000000e+01 6.858000e-01 8.413000e+00 3.346939e-02
9.000000e+01 7.274000e-01 8.485000e+00 3.666251e-02
1.000000e+02 7.667000e-01 8.536000e+00 3.976041e-02
1.100000e+02 8.042000e-01 8.569000e+00 4.274085e-02
1.200000e+02 8.399000e-01 8.589000e+00 4.583939e-02
1.300000e+02 8.742000e-01 8.598000e+00 4.882438e-02
1.400000e+02 9.072000e-01 8.599000e+00 5.192331e-02
1.500000e+02 9.391000e-01 8.592000e+00 5.490501e-02
1.600000e+02 9.699000e-01 8.579000e+00 5.800422e-02
1.700000e+02 9.997000e-01 8.562000e+00 6.096909e-02
1.800000e+02 1.029000e+00 8.540000e+00 6.397226e-02
2.000000e+02 1.084000e+00 8.488000e+00 7.003728e-02
2.250000e+02 1.150000e+00 8.409000e+00 7.762409e-02
2.500000e+02 1.238000e+00 8.321000e+00 8.523209e-02
2.750000e+02 1.312000e+00 8.227000e+00 9.282074e-02
3.000000e+02 1.375000e+00 8.129000e+00 1.004101e-01
3.250000e+02 1.433000e+00 8.030000e+00 1.080968e-01
3.500000e+02 1.487000e+00 7.931000e+00 1.157841e-01
3.750000e+02 1.541000e+00 7.831000e+00 1.235686e-01
4.000000e+02 1.594000e+00 7.733000e+00 1.314506e-01
4.500000e+02 1.701000e+00 7.540000e+00 1.472003e-01
5.000000e+02 1.809000e+00 7.354000e+00 1.630641e-01
5.500000e+02 1.916000e+00 7.175000e+00 1.790898e-01
6.000000e+02 2.022000e+00 7.005000e+00 1.953267e-01
6.500000e+02 2.126000e+00 6.843000e+00 2.116443e-01
7.000000e+02 2.228000e+00 6.688000e+00 2.280635e-01
8.000000e+02 2.422000e+00 6.401000e+00 2.612921e-01
9.000000e+02 2.604000e+00 6.141000e+00 2.948809e-01
1.000000e+03 2.775000e+00 5.903000e+00 3.287667e-01
1.100000e+03 2.937000e+00 5.686000e+00 3.630001e-01
1.200000e+03 3.089000e+00 5.487000e+00 3.973334e-01
1.300000e+03 3.235000e+00 5.303000e+00 4.319498e-01
1.400000e+03 3.375000e+00 5.134000e+00 4.667344e-01
1.500000e+03 3.510000e+00 4.976000e+00 5.017034e-01
1.600000e+03 3.641000e+00 4.830000e+00 5.366624e-01
1.700000e+03 3.769000e+00 4.694000e+00 5.718044e-01
1.800000e+03 3.894000e+00 4.566000e+00 6.069233e-01
2.000000e+03 4.139000e+00 4.334000e+00 6.772668e-01
2.250000e+03 4.439000e+00 4.080000e+00 7.650619e-01
2.500000e+03 4.736000e+00 3.858000e+00 8.522601e-01
2.750000e+03 5.033000e+00 3.663000e+00 9.386673e-01
3.000000e+03 5.330000e+00 3.490000e+00 1.025997e+00
3.250000e+03 5.630000e+00 3.335000e+00 1.106729e+00
3.500000e+03 5.932000e+00 3.195000e+00 1.187385e+00
3.750000e+03 6.236000e+00 3.068000e+00 1.267967e+00
4.000000e+03 6.542000e+00 2.953000e+00 1.348478e+00
4.500000e+03 7.160000e+00 2.749000e+00 1.509368e+00
5.000000e+03 7.784000e+00 2.576000e+00 1.660144e+00
5.500000e+03 8.409000e+00 2.426000e+00 1.800818e+00
6.000000e+03 9.034000e+00 2.294000e+00 1.931428e+00
6.500000e+03 9.656000e+00 2.178000e+00 2.061880e+00
7.000000e+03 1.027000e+01 2.075000e+00 2.192182e+00
8.000000e+03 1.148000e+01 1.898000e+00 2.422878e+00
9.000000e+03 1.266000e+01 1.753000e+00 2.643280e+00
1.000000e+04 1.379000e+01 1.630000e+00 2.843580e+00
