# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 1.680000e+02 8.517000e+02 1.145818e-02
1.100000e+01 1.761000e+02 8.578000e+02 1.229837e-02
1.200000e+01 1.840000e+02 8.626000e+02 1.317498e-02
1.300000e+01 1.915000e+02 8.663000e+02 1.396209e-02
1.400000e+01 1.987000e+02 8.687000e+02 1.480338e-02
1.500000e+01 2.057000e+02 8.704000e+02 1.568024e-02
1.600000e+01 2.124000e+02 8.714000e+02 1.646724e-02
1.700000e+01 2.190000e+02 8.717000e+02 1.730925e-02
1.800000e+01 2.253000e+02 8.717000e+02 1.809613e-02
2.000000e+01 2.375000e+02 8.704000e+02 1.969975e-02
2.250000e+01 2.519000e+02 8.666000e+02 2.175086e-02
2.500000e+01 2.656000e+02 8.619000e+02 2.377751e-02
2.750000e+01 2.785000e+02 8.558000e+02 2.571400e-02
3.000000e+01 2.909000e+02 8.493000e+02 2.776635e-02
3.250000e+01 3.028000e+02 8.422000e+02 2.976189e-02
3.500000e+01 3.142000e+02 8.347000e+02 3.169937e-02
3.750000e+01 3.252000e+02 8.269000e+02 3.372862e-02
4.000000e+01 3.359000e+02 8.190000e+02 3.563439e-02
4.500000e+01 3.563000e+02 8.034000e+02 3.966283e-02
5.000000e+01 3.757000e+02 7.878000e+02 4.360046e-02
5.500000e+01 3.940000e+02 7.721000e+02 4.760042e-02
6.000000e+01 4.114000e+02 7.572000e+02 5.153969e-02
6.500000e+01 4.280000e+02 7.425000e+02 5.554188e-02
7.000000e+01 4.447000e+02 7.286000e+02 5.952302e-02
8.000000e+01 5.154000e+02 7.021000e+02 6.729495e-02
9.000000e+01 5.603000e+02 6.773000e+02 7.491929e-02
1.000000e+02 5.889000e+02 6.545000e+02 8.254726e-02
1.100000e+02 6.069000e+02 6.334000e+02 9.015681e-02
1.200000e+02 6.181000e+02 6.137000e+02 9.781503e-02
1.300000e+02 6.256000e+02 5.953000e+02 1.055914e-01
1.400000e+02 6.303000e+02 5.783000e+02 1.134648e-01
1.500000e+02 6.337000e+02 5.623000e+02 1.214407e-01
1.600000e+02 6.368000e+02 5.474000e+02 1.294878e-01
1.700000e+02 6.392000e+02 5.331000e+02 1.376269e-01
1.800000e+02 6.416000e+02 5.198000e+02 1.458685e-01
2.000000e+02 6.477000e+02 4.957000e+02 1.626624e-01
2.250000e+02 6.575000e+02 4.688000e+02 1.839552e-01
2.500000e+02 6.708000e+02 4.454000e+02 2.057166e-01
2.750000e+02 6.871000e+02 4.243000e+02 2.275561e-01
3.000000e+02 7.065000e+02 4.056000e+02 2.494778e-01
3.250000e+02 7.279000e+02 3.886000e+02 2.714813e-01
3.500000e+02 7.517000e+02 3.733000e+02 2.933360e-01
3.750000e+02 7.769000e+02 3.594000e+02 3.150806e-01
4.000000e+02 8.034000e+02 3.464000e+02 3.366182e-01
4.500000e+02 8.598000e+02 3.239000e+02 3.788066e-01
5.000000e+02 9.187000e+02 3.044000e+02 4.198823e-01
5.500000e+02 9.788000e+02 2.875000e+02 4.596900e-01
6.000000e+02 1.040000e+03 2.726000e+02 4.982109e-01
6.500000e+02 1.101000e+03 2.594000e+02 5.354633e-01
7.000000e+02 1.161000e+03 2.476000e+02 5.714636e-01
8.000000e+02 1.279000e+03 2.273000e+02 6.400453e-01
9.000000e+02 1.394000e+03 2.105000e+02 7.044689e-01
1.000000e+03 1.504000e+03 1.962000e+02 7.653490e-01
1.100000e+03 1.609000e+03 1.840000e+02 8.230368e-01
1.200000e+03 1.709000e+03 1.735000e+02 8.779501e-01
1.300000e+03 1.806000e+03 1.641000e+02 9.305211e-01
1.400000e+03 1.898000e+03 1.559000e+02 9.808177e-01
1.500000e+03 1.987000e+03 1.486000e+02 1.027825e+00
1.600000e+03 2.072000e+03 1.419000e+02 1.077819e+00
1.700000e+03 2.155000e+03 1.360000e+02 1.117940e+00
1.800000e+03 2.234000e+03 1.305000e+02 1.167842e+00
2.000000e+03 2.385000e+03 1.210000e+02 1.247888e+00
2.250000e+03 2.561000e+03 1.110000e+02 1.347820e+00
2.500000e+03 2.727000e+03 1.027000e+02 1.437750e+00
2.750000e+03 2.884000e+03 9.574000e+01 1.527610e+00
3.000000e+03 3.032000e+03 8.972000e+01 1.617384e+00
3.250000e+03 3.174000e+03 8.445000e+01 1.697238e+00
3.500000e+03 3.311000e+03 7.986000e+01 1.767145e+00
3.750000e+03 3.441000e+03 7.578000e+01 1.846937e+00
4.000000e+03 3.566000e+03 7.215000e+01 1.916777e+00
4.500000e+03 3.804000e+03 6.589000e+01 2.056472e+00
5.000000e+03 4.025000e+03 6.072000e+01 2.186179e+00
5.500000e+03 4.229000e+03 5.637000e+01 2.305926e+00
6.000000e+03 4.420000e+03 5.266000e+01 2.425636e+00
6.500000e+03 4.597000e+03 4.943000e+01 2.545333e+00
7.000000e+03 4.760000e+03 4.661000e+01 2.655081e+00
8.000000e+03 5.045000e+03 4.192000e+01 2.864701e+00
9.000000e+03 5.290000e+03 3.815000e+01 3.064327e+00
1.000000e+04 5.494000e+03 3.505000e+01 3.253981e+00
1.100000e+04 5.668000e+03 3.245000e+01 3.433676e+00
1.200000e+04 5.817000e+03 3.024000e+01 3.613377e+00
1.300000e+04 5.943000e+03 2.833000e+01 3.793076e+00
1.400000e+04 6.048000e+03 2.667000e+01 3.962815e+00
1.500000e+04 6.140000e+03 2.520000e+01 4.142533e+00
1.600000e+04 6.215000e+03 2.390000e+01 4.302318e+00
1.700000e+04 6.283000e+03 2.273000e+01 4.472082e+00
1.800000e+04 6.337000e+03 2.168000e+01 4.631882e+00
2.000000e+04 6.422000e+03 1.987000e+01 4.961588e+00
2.250000e+04 6.490000e+03 1.802000e+01 5.361325e+00
2.500000e+04 6.531000e+03 1.650000e+01 5.761075e+00
2.750000e+04 6.548000e+03 1.523000e+01 6.160846e+00
3.000000e+04 6.548000e+03 1.416000e+01 6.560638e+00
3.250000e+04 6.538000e+03 1.324000e+01 6.960445e+00
3.500000e+04 6.518000e+03 1.244000e+01 7.360268e+00
3.750000e+04 6.490000e+03 1.173000e+01 7.760114e+00
4.000000e+04 6.460000e+03 1.111000e+01 8.159966e+00
4.500000e+04 6.382000e+03 1.005000e+01 8.980069e+00
5.000000e+04 6.300000e+03 9.187000e+00 9.800168e+00
5.500000e+04 6.208000e+03 8.469000e+00 1.063026e+01
6.000000e+04 6.116000e+03 7.861000e+00 1.148033e+01
6.500000e+04 6.025000e+03 7.340000e+00 1.234041e+01
7.000000e+04 5.933000e+03 6.885000e+00 1.322048e+01
8.000000e+04 5.787000e+03 6.137000e+00 1.500170e+01
9.000000e+04 5.593000e+03 5.545000e+00 1.684274e+01
1.000000e+05 5.423000e+03 5.059000e+00 1.873367e+01
