# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 7.912000e+01 1.330000e+03 9.633795e-03
1.100000e+01 8.296000e+01 1.354000e+03 1.027132e-02
1.200000e+01 8.666000e+01 1.376000e+03 1.084205e-02
1.300000e+01 9.020000e+01 1.395000e+03 1.147955e-02
1.400000e+01 9.360000e+01 1.411000e+03 1.208553e-02
1.500000e+01 9.690000e+01 1.426000e+03 1.265583e-02
1.600000e+01 1.001000e+02 1.440000e+03 1.329361e-02
1.700000e+01 1.032000e+02 1.451000e+03 1.390036e-02
1.800000e+01 1.061000e+02 1.462000e+03 1.447031e-02
2.000000e+01 1.119000e+02 1.480000e+03 1.562338e-02
2.250000e+01 1.187000e+02 1.498000e+03 1.701558e-02
2.500000e+01 1.251000e+02 1.512000e+03 1.850027e-02
2.750000e+01 1.312000e+02 1.522000e+03 1.989271e-02
3.000000e+01 1.370000e+02 1.530000e+03 2.125535e-02
3.250000e+01 1.426000e+02 1.536000e+03 2.264796e-02
3.500000e+01 1.480000e+02 1.540000e+03 2.401791e-02
3.750000e+01 1.532000e+02 1.542000e+03 2.538129e-02
4.000000e+01 1.582000e+02 1.544000e+03 2.677405e-02
4.500000e+01 1.678000e+02 1.543000e+03 2.950847e-02
5.000000e+01 1.769000e+02 1.539000e+03 3.224360e-02
5.500000e+01 1.855000e+02 1.534000e+03 3.500086e-02
6.000000e+01 1.938000e+02 1.527000e+03 3.773672e-02
6.500000e+01 2.017000e+02 1.518000e+03 4.047295e-02
7.000000e+01 2.093000e+02 1.509000e+03 4.318182e-02
8.000000e+01 2.238000e+02 1.487000e+03 4.874977e-02
9.000000e+01 2.373000e+02 1.465000e+03 5.429162e-02
1.000000e+02 2.502000e+02 1.442000e+03 5.986126e-02
1.100000e+02 2.624000e+02 1.419000e+03 6.549916e-02
1.200000e+02 2.799000e+02 1.396000e+03 7.123244e-02
1.300000e+02 3.107000e+02 1.374000e+03 7.699253e-02
1.400000e+02 3.316000e+02 1.351000e+03 8.260684e-02
1.500000e+02 3.458000e+02 1.329000e+03 8.834223e-02
1.600000e+02 3.556000e+02 1.308000e+03 9.405892e-02
1.700000e+02 3.628000e+02 1.288000e+03 9.986511e-02
1.800000e+02 3.682000e+02 1.268000e+03 1.057920e-01
2.000000e+02 3.767000e+02 1.230000e+03 1.177176e-01
2.250000e+02 3.869000e+02 1.186000e+03 1.329554e-01
2.500000e+02 3.988000e+02 1.145000e+03 1.484821e-01
2.750000e+02 4.131000e+02 1.107000e+03 1.643935e-01
3.000000e+02 4.294000e+02 1.072000e+03 1.804989e-01
3.250000e+02 4.478000e+02 1.039000e+03 1.968158e-01
3.500000e+02 4.675000e+02 1.009000e+03 2.133038e-01
3.750000e+02 4.879000e+02 9.805000e+02 2.298900e-01
4.000000e+02 5.090000e+02 9.540000e+02 2.465522e-01
4.500000e+02 5.521000e+02 9.057000e+02 2.801670e-01
5.000000e+02 5.953000e+02 8.629000e+02 3.138265e-01
5.500000e+02 6.375000e+02 8.245000e+02 3.475484e-01
6.000000e+02 6.786000e+02 7.898000e+02 3.812368e-01
6.500000e+02 7.181000e+02 7.585000e+02 4.146823e-01
7.000000e+02 7.565000e+02 7.303000e+02 4.480597e-01
8.000000e+02 8.289000e+02 6.800000e+02 5.141825e-01
9.000000e+02 8.976000e+02 6.375000e+02 5.794368e-01
1.000000e+03 9.625000e+02 6.008000e+02 6.436843e-01
1.100000e+03 1.026000e+03 5.685000e+02 7.068147e-01
1.200000e+03 1.087000e+03 5.399000e+02 7.688586e-01
1.300000e+03 1.148000e+03 5.147000e+02 8.295928e-01
1.400000e+03 1.208000e+03 4.920000e+02 8.891770e-01
1.500000e+03 1.268000e+03 4.716000e+02 9.475960e-01
1.600000e+03 1.329000e+03 4.529000e+02 1.004624e+00
1.700000e+03 1.390000e+03 4.359000e+02 1.062865e+00
1.800000e+03 1.451000e+03 4.202000e+02 1.113398e+00
2.000000e+03 1.576000e+03 3.927000e+02 1.224075e+00
2.250000e+03 1.735000e+03 3.634000e+02 1.344930e+00
2.500000e+03 1.898000e+03 3.386000e+02 1.465459e+00
2.750000e+03 2.064000e+03 3.174000e+02 1.575884e+00
3.000000e+03 2.233000e+03 2.991000e+02 1.676267e+00
3.250000e+03 2.403000e+03 2.830000e+02 1.776447e+00
3.500000e+03 2.573000e+03 2.687000e+02 1.866636e+00
3.750000e+03 2.744000e+03 2.560000e+02 1.956684e+00
4.000000e+03 2.913000e+03 2.445000e+02 2.036776e+00
4.500000e+03 3.249000e+03 2.248000e+02 2.186882e+00
5.000000e+03 3.577000e+03 2.083000e+02 2.326836e+00
5.500000e+03 3.893000e+03 1.943000e+02 2.456708e+00
6.000000e+03 4.195000e+03 1.822000e+02 2.586431e+00
6.500000e+03 4.484000e+03 1.717000e+02 2.696275e+00
7.000000e+03 4.763000e+03 1.624000e+02 2.806031e+00
8.000000e+03 5.277000e+03 1.469000e+02 3.005629e+00
9.000000e+03 5.736000e+03 1.344000e+02 3.185227e+00
1.000000e+04 6.147000e+03 1.239000e+02 3.354804e+00
1.100000e+04 6.514000e+03 1.152000e+02 3.514369e+00
1.200000e+04 6.841000e+03 1.076000e+02 3.673910e+00
1.300000e+04 7.133000e+03 1.011000e+02 3.813538e+00
1.400000e+04 7.395000e+03 9.544000e+01 3.963100e+00
1.500000e+04 7.629000e+03 9.040000e+01 4.092770e+00
1.600000e+04 7.844000e+03 8.592000e+01 4.232368e+00
1.700000e+04 8.034000e+03 8.187000e+01 4.352079e+00
1.800000e+04 8.211000e+03 7.823000e+01 4.481724e+00
2.000000e+04 8.517000e+03 7.194000e+01 4.731151e+00
2.250000e+04 8.836000e+03 6.545000e+01 5.030528e+00
2.500000e+04 9.102000e+03 6.011000e+01 5.319953e+00
2.750000e+04 9.329000e+03 5.566000e+01 5.599426e+00
3.000000e+04 9.527000e+03 5.185000e+01 5.868953e+00
3.250000e+04 9.700000e+03 4.858000e+01 6.138488e+00
3.500000e+04 9.850000e+03 4.569000e+01 6.408049e+00
3.750000e+04 9.986000e+03 4.318000e+01 6.667659e+00
4.000000e+04 1.011000e+04 4.097000e+01 6.927277e+00
4.500000e+04 1.031000e+04 3.716000e+01 7.436767e+00
5.000000e+04 1.048000e+04 3.403000e+01 7.936306e+00
5.500000e+04 1.061000e+04 3.145000e+01 8.425889e+00
6.000000e+04 1.073000e+04 2.925000e+01 8.915503e+00
6.500000e+04 1.082000e+04 2.735000e+01 9.405134e+00
7.000000e+04 1.089000e+04 2.570000e+01 9.884813e+00
8.000000e+04 1.099000e+04 2.297000e+01 1.083466e+01
9.000000e+04 1.104000e+04 2.079000e+01 1.178449e+01
1.000000e+05 1.106000e+04 1.902000e+01 1.272436e+01
