# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 3.168000e-01 3.551000e+00 9.906563e-03
1.100000e+01 3.322000e-01 3.607000e+00 1.056882e-02
1.200000e+01 3.470000e-01 3.655000e+00 1.120580e-02
1.300000e+01 3.612000e-01 3.697000e+00 1.195910e-02
1.400000e+01 3.748000e-01 3.734000e+00 1.259643e-02
1.500000e+01 3.880000e-01 3.766000e+00 1.325858e-02
1.600000e+01 4.007000e-01 3.793000e+00 1.389604e-02
1.700000e+01 4.130000e-01 3.818000e+00 1.452618e-02
1.800000e+01 4.250000e-01 3.839000e+00 1.507216e-02
2.000000e+01 4.480000e-01 3.874000e+00 1.637193e-02
2.250000e+01 4.751000e-01 3.907000e+00 1.794714e-02
2.500000e+01 5.008000e-01 3.929000e+00 1.943116e-02
2.750000e+01 5.253000e-01 3.943000e+00 2.091554e-02
3.000000e+01 5.487000e-01 3.952000e+00 2.243078e-02
3.250000e+01 5.711000e-01 3.955000e+00 2.400792e-02
3.500000e+01 5.926000e-01 3.955000e+00 2.549294e-02
3.750000e+01 6.134000e-01 3.951000e+00 2.697814e-02
4.000000e+01 6.335000e-01 3.944000e+00 2.846349e-02
4.500000e+01 6.720000e-01 3.925000e+00 3.143454e-02
5.000000e+01 7.083000e-01 3.900000e+00 3.437674e-02
5.500000e+01 7.429000e-01 3.870000e+00 3.744182e-02
6.000000e+01 7.759000e-01 3.838000e+00 4.041398e-02
6.500000e+01 8.076000e-01 3.804000e+00 4.333624e-02
7.000000e+01 8.381000e-01 3.768000e+00 4.640237e-02
8.000000e+01 8.960000e-01 3.694000e+00 5.248619e-02
9.000000e+01 9.503000e-01 3.620000e+00 5.857149e-02
1.000000e+02 1.002000e+00 3.547000e+00 6.463072e-02
1.100000e+02 1.047000e+00 3.475000e+00 7.081229e-02
1.200000e+02 1.093000e+00 3.405000e+00 7.706238e-02
1.300000e+02 1.141000e+00 3.337000e+00 8.332023e-02
1.400000e+02 1.191000e+00 3.272000e+00 8.957248e-02
1.500000e+02 1.240000e+00 3.210000e+00 9.592023e-02
1.600000e+02 1.288000e+00 3.150000e+00 1.022688e-01
1.700000e+02 1.336000e+00 3.092000e+00 1.086877e-01
1.800000e+02 1.381000e+00 3.036000e+00 1.150378e-01
2.000000e+02 1.468000e+00 2.931000e+00 1.278859e-01
2.250000e+02 1.568000e+00 2.811000e+00 1.441120e-01
2.500000e+02 1.657000e+00 2.702000e+00 1.604381e-01
2.750000e+02 1.738000e+00 2.602000e+00 1.768401e-01
3.000000e+02 1.812000e+00 2.511000e+00 1.934190e-01
3.250000e+02 1.880000e+00 2.426000e+00 2.099967e-01
3.500000e+02 1.943000e+00 2.348000e+00 2.267295e-01
3.750000e+02 2.002000e+00 2.276000e+00 2.434441e-01
4.000000e+02 2.058000e+00 2.209000e+00 2.603759e-01
4.500000e+02 2.164000e+00 2.088000e+00 2.942808e-01
5.000000e+02 2.265000e+00 1.981000e+00 3.283312e-01
5.500000e+02 2.364000e+00 1.887000e+00 3.624485e-01
6.000000e+02 2.461000e+00 1.803000e+00 3.966164e-01
6.500000e+02 2.560000e+00 1.727000e+00 4.306422e-01
7.000000e+02 2.660000e+00 1.658000e+00 4.645263e-01
8.000000e+02 2.866000e+00 1.538000e+00 5.316495e-01
9.000000e+02 3.081000e+00 1.436000e+00 5.973167e-01
1.000000e+03 3.304000e+00 1.349000e+00 6.613685e-01
1.100000e+03 3.535000e+00 1.273000e+00 7.236108e-01
1.200000e+03 3.773000e+00 1.207000e+00 7.838498e-01
1.300000e+03 4.017000e+00 1.148000e+00 8.420182e-01
1.400000e+03 4.266000e+00 1.095000e+00 8.981980e-01
1.500000e+03 4.518000e+00 1.048000e+00 9.524040e-01
1.600000e+03 4.773000e+00 1.005000e+00 1.004777e+00
1.700000e+03 5.030000e+00 9.659000e-01 1.050762e+00
1.800000e+03 5.288000e+00 9.301000e-01 1.101003e+00
2.000000e+03 5.805000e+00 8.669000e-01 1.191487e+00
2.250000e+03 6.447000e+00 8.004000e-01 1.301824e+00
2.500000e+03 7.079000e+00 7.445000e-01 1.402059e+00
2.750000e+03 7.698000e+00 6.967000e-01 1.492241e+00
3.000000e+03 8.300000e+00 6.554000e-01 1.582265e+00
3.250000e+03 8.884000e+00 6.192000e-01 1.662306e+00
3.500000e+03 9.449000e+00 5.872000e-01 1.742247e+00
3.750000e+03 9.994000e+00 5.587000e-01 1.812236e+00
4.000000e+03 1.052000e+01 5.332000e-01 1.882155e+00
4.500000e+03 1.151000e+01 4.892000e-01 2.012004e+00
5.000000e+03 1.243000e+01 4.526000e-01 2.131805e+00
5.500000e+03 1.328000e+01 4.216000e-01 2.251515e+00
6.000000e+03 1.406000e+01 3.949000e-01 2.361244e+00
6.500000e+03 1.479000e+01 3.718000e-01 2.461021e+00
7.000000e+03 1.546000e+01 3.514000e-01 2.560751e+00
8.000000e+03 1.665000e+01 3.173000e-01 2.740351e+00
9.000000e+03 1.768000e+01 2.898000e-01 2.919888e+00
1.000000e+04 1.857000e+01 2.670000e-01 3.079499e+00
