# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 1.111000e+02 3.706000e+02 1.960332e-02
1.100000e+01 1.166000e+02 3.672000e+02 2.138831e-02
1.200000e+01 1.218000e+02 3.634000e+02 2.307596e-02
1.300000e+01 1.267000e+02 3.594000e+02 2.477579e-02
1.400000e+01 1.315000e+02 3.556000e+02 2.655052e-02
1.500000e+01 1.361000e+02 3.515000e+02 2.829717e-02
1.600000e+01 1.406000e+02 3.478000e+02 2.995764e-02
1.700000e+01 1.449000e+02 3.437000e+02 3.173405e-02
1.800000e+01 1.491000e+02 3.399000e+02 3.352223e-02
2.000000e+01 1.572000e+02 3.323000e+02 3.704848e-02
2.250000e+01 1.667000e+02 3.231000e+02 4.141280e-02
2.500000e+01 1.757000e+02 3.144000e+02 4.579050e-02
2.750000e+01 1.843000e+02 3.061000e+02 5.024789e-02
3.000000e+01 1.925000e+02 2.983000e+02 5.470731e-02
3.250000e+01 2.004000e+02 2.909000e+02 5.914186e-02
3.500000e+01 2.079000e+02 2.839000e+02 6.369372e-02
3.750000e+01 2.152000e+02 2.772000e+02 6.821122e-02
4.000000e+01 2.367000e+02 2.709000e+02 7.261467e-02
4.500000e+01 2.716000e+02 2.593000e+02 8.107688e-02
5.000000e+01 2.923000e+02 2.487000e+02 8.939474e-02
5.500000e+01 3.048000e+02 2.391000e+02 9.768465e-02
6.000000e+01 3.129000e+02 2.304000e+02 1.060454e-01
6.500000e+01 3.185000e+02 2.224000e+02 1.143539e-01
7.000000e+01 3.232000e+02 2.150000e+02 1.227592e-01
8.000000e+01 3.320000e+02 2.018000e+02 1.399268e-01
9.000000e+01 3.420000e+02 1.904000e+02 1.572365e-01
1.000000e+02 3.543000e+02 1.805000e+02 1.746257e-01
1.100000e+02 3.679000e+02 1.716000e+02 1.919767e-01
1.200000e+02 3.835000e+02 1.638000e+02 2.092347e-01
1.300000e+02 4.002000e+02 1.567000e+02 2.262911e-01
1.400000e+02 4.175000e+02 1.503000e+02 2.430016e-01
1.500000e+02 4.355000e+02 1.445000e+02 2.594384e-01
1.600000e+02 4.539000e+02 1.392000e+02 2.756712e-01
1.700000e+02 4.726000e+02 1.344000e+02 2.914638e-01
1.800000e+02 4.913000e+02 1.299000e+02 3.070296e-01
2.000000e+02 5.287000e+02 1.219000e+02 3.371484e-01
2.250000e+02 5.742000e+02 1.133000e+02 3.731393e-01
2.500000e+02 6.181000e+02 1.060000e+02 4.073629e-01
2.750000e+02 6.603000e+02 9.979000e+01 4.399960e-01
3.000000e+02 7.007000e+02 9.428000e+01 4.713457e-01
3.250000e+02 7.391000e+02 8.945000e+01 5.015061e-01
3.500000e+02 7.759000e+02 8.517000e+01 5.305345e-01
3.750000e+02 8.112000e+02 8.129000e+01 5.586021e-01
4.000000e+02 8.452000e+02 7.782000e+01 5.857452e-01
4.500000e+02 9.098000e+02 7.181000e+01 6.378498e-01
5.000000e+02 9.700000e+02 6.674000e+01 6.870669e-01
5.500000e+02 1.027000e+03 6.242000e+01 7.340247e-01
6.000000e+02 1.082000e+03 5.868000e+01 7.789285e-01
6.500000e+02 1.135000e+03 5.542000e+01 8.220823e-01
7.000000e+02 1.186000e+03 5.253000e+01 8.635297e-01
8.000000e+02 1.283000e+03 4.767000e+01 9.421000e-01
9.000000e+02 1.377000e+03 4.369000e+01 1.015803e+00
1.000000e+03 1.467000e+03 4.039000e+01 1.089328e+00
1.100000e+03 1.554000e+03 3.760000e+01 1.149216e+00
1.200000e+03 1.638000e+03 3.522000e+01 1.209010e+00
1.300000e+03 1.720000e+03 3.315000e+01 1.268777e+00
1.400000e+03 1.800000e+03 3.132000e+01 1.328514e+00
1.500000e+03 1.876000e+03 2.971000e+01 1.388216e+00
1.600000e+03 1.950000e+03 2.827000e+01 1.438040e+00
1.700000e+03 2.022000e+03 2.697000e+01 1.487848e+00
1.800000e+03 2.091000e+03 2.580000e+01 1.537631e+00
2.000000e+03 2.220000e+03 2.376000e+01 1.637210e+00
2.250000e+03 2.367000e+03 2.166000e+01 1.746811e+00
2.500000e+03 2.499000e+03 1.993000e+01 1.846466e+00
2.750000e+03 2.615000e+03 1.848000e+01 1.946093e+00
3.000000e+03 2.717000e+03 1.723000e+01 2.045725e+00
3.250000e+03 2.805000e+03 1.616000e+01 2.135419e+00
3.500000e+03 2.882000e+03 1.522000e+01 2.225114e+00
3.750000e+03 2.948000e+03 1.440000e+01 2.314814e+00
4.000000e+03 3.004000e+03 1.367000e+01 2.404521e+00
4.500000e+03 3.092000e+03 1.242000e+01 2.574063e+00
5.000000e+03 3.152000e+03 1.139000e+01 2.743620e+00
5.500000e+03 3.192000e+03 1.054000e+01 2.903252e+00
6.000000e+03 3.216000e+03 9.809000e+00 3.062903e+00
