# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 2.706000e-01 3.790000e+00 9.666437e-03
1.100000e+01 2.838000e-01 3.856000e+00 1.032860e-02
1.200000e+01 2.964000e-01 3.914000e+00 1.096586e-02
1.300000e+01 3.085000e-01 3.964000e+00 1.159569e-02
1.400000e+01 3.201000e-01 4.009000e+00 1.223315e-02
1.500000e+01 3.314000e-01 4.048000e+00 1.277928e-02
1.600000e+01 3.422000e-01 4.083000e+00 1.344135e-02
1.700000e+01 3.528000e-01 4.114000e+00 1.404742e-02
1.800000e+01 3.630000e-01 4.142000e+00 1.459349e-02
2.000000e+01 3.826000e-01 4.189000e+00 1.577023e-02
2.250000e+01 4.058000e-01 4.234000e+00 1.725427e-02
2.500000e+01 4.278000e-01 4.268000e+00 1.873873e-02
2.750000e+01 4.487000e-01 4.292000e+00 2.013107e-02
3.000000e+01 4.686000e-01 4.310000e+00 2.161597e-02
3.250000e+01 4.878000e-01 4.322000e+00 2.300848e-02
3.500000e+01 5.062000e-01 4.329000e+00 2.440102e-02
3.750000e+01 5.239000e-01 4.332000e+00 2.583409e-02
4.000000e+01 5.411000e-01 4.331000e+00 2.722683e-02
4.500000e+01 5.740000e-01 4.323000e+00 3.007624e-02
5.000000e+01 6.050000e-01 4.307000e+00 3.283976e-02
5.500000e+01 6.345000e-01 4.285000e+00 3.568991e-02
6.000000e+01 6.628000e-01 4.259000e+00 3.842538e-02
6.500000e+01 6.898000e-01 4.230000e+00 4.125482e-02
7.000000e+01 7.159000e-01 4.199000e+00 4.408480e-02
8.000000e+01 7.653000e-01 4.132000e+00 4.976686e-02
9.000000e+01 8.117000e-01 4.063000e+00 5.542905e-02
1.000000e+02 8.556000e-01 3.992000e+00 6.118635e-02
1.100000e+02 8.974000e-01 3.922000e+00 6.703231e-02
1.200000e+02 9.993000e-01 3.853000e+00 7.279135e-02
1.300000e+02 1.088000e+00 3.785000e+00 7.861927e-02
1.400000e+02 1.154000e+00 3.720000e+00 8.435360e-02
1.500000e+02 1.203000e+00 3.656000e+00 9.018326e-02
1.600000e+02 1.242000e+00 3.594000e+00 9.598823e-02
1.700000e+02 1.272000e+00 3.534000e+00 1.018193e-01
1.800000e+02 1.297000e+00 3.476000e+00 1.077458e-01
2.000000e+02 1.336000e+00 3.366000e+00 1.197657e-01
2.250000e+02 1.376000e+00 3.239000e+00 1.349786e-01
2.500000e+02 1.413000e+00 3.122000e+00 1.506002e-01
2.750000e+02 1.450000e+00 3.014000e+00 1.664880e-01
3.000000e+02 1.490000e+00 2.915000e+00 1.826839e-01
3.250000e+02 1.532000e+00 2.823000e+00 1.990565e-01
3.500000e+02 1.577000e+00 2.738000e+00 2.156412e-01
3.750000e+02 1.623000e+00 2.658000e+00 2.323022e-01
4.000000e+02 1.672000e+00 2.584000e+00 2.492538e-01
4.500000e+02 1.773000e+00 2.449000e+00 2.832603e-01
5.000000e+02 1.879000e+00 2.330000e+00 3.176136e-01
5.500000e+02 1.987000e+00 2.223000e+00 3.520138e-01
6.000000e+02 2.097000e+00 2.128000e+00 3.863818e-01
6.500000e+02 2.208000e+00 2.042000e+00 4.207014e-01
7.000000e+02 2.318000e+00 1.963000e+00 4.547963e-01
8.000000e+02 2.540000e+00 1.826000e+00 5.222841e-01
9.000000e+02 2.759000e+00 1.709000e+00 5.885343e-01
1.000000e+03 2.975000e+00 1.609000e+00 6.532424e-01
1.100000e+03 3.189000e+00 1.521000e+00 7.163319e-01
1.200000e+03 3.400000e+00 1.443000e+00 7.779164e-01
1.300000e+03 3.609000e+00 1.375000e+00 8.378177e-01
1.400000e+03 3.817000e+00 1.313000e+00 8.961333e-01
1.500000e+03 4.022000e+00 1.258000e+00 9.528785e-01
1.600000e+03 4.226000e+00 1.207000e+00 1.008151e+00
1.700000e+03 4.429000e+00 1.161000e+00 1.062372e+00
1.800000e+03 4.630000e+00 1.119000e+00 1.112784e+00
2.000000e+03 5.030000e+00 1.045000e+00 1.213441e+00
2.250000e+03 5.525000e+00 9.660000e-01 1.334044e+00
2.500000e+03 6.016000e+00 8.997000e-01 1.444520e+00
2.750000e+03 6.502000e+00 8.429000e-01 1.544934e+00
3.000000e+03 6.983000e+00 7.937000e-01 1.645143e+00
3.250000e+03 7.460000e+00 7.505000e-01 1.745197e+00
3.500000e+03 7.931000e+00 7.123000e-01 1.835262e+00
3.750000e+03 8.398000e+00 6.783000e-01 1.915372e+00
4.000000e+03 8.858000e+00 6.477000e-01 1.995397e+00
4.500000e+03 9.761000e+00 5.949000e-01 2.145390e+00
5.000000e+03 1.064000e+01 5.510000e-01 2.285280e+00
5.500000e+03 1.149000e+01 5.136000e-01 2.415134e+00
6.000000e+03 1.230000e+01 4.816000e-01 2.544860e+00
6.500000e+03 1.309000e+01 4.536000e-01 2.654691e+00
7.000000e+03 1.385000e+01 4.291000e-01 2.764456e+00
8.000000e+03 1.526000e+01 3.878000e-01 2.974004e+00
9.000000e+03 1.656000e+01 3.544000e-01 3.153633e+00
1.000000e+04 1.773000e+01 3.268000e-01 3.333177e+00
