# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 2.198000e-01 4.432000e+00 9.215747e-03
1.100000e+01 2.305000e-01 4.530000e+00 9.761660e-03
1.200000e+01 2.408000e-01 4.618000e+00 1.036967e-02
1.300000e+01 2.506000e-01 4.697000e+00 1.091559e-02
1.400000e+01 2.601000e-01 4.769000e+00 1.143154e-02
1.500000e+01 2.692000e-01 4.833000e+00 1.200042e-02
1.600000e+01 2.780000e-01 4.892000e+00 1.251639e-02
1.700000e+01 2.866000e-01 4.946000e+00 1.303265e-02
1.800000e+01 2.949000e-01 4.995000e+00 1.357829e-02
2.000000e+01 3.108000e-01 5.082000e+00 1.461130e-02
2.250000e+01 3.297000e-01 5.173000e+00 1.586001e-02
2.500000e+01 3.475000e-01 5.247000e+00 1.703790e-02
2.750000e+01 3.645000e-01 5.309000e+00 1.828715e-02
3.000000e+01 3.807000e-01 5.361000e+00 1.946510e-02
3.250000e+01 3.963000e-01 5.403000e+00 2.071473e-02
3.500000e+01 4.112000e-01 5.439000e+00 2.187099e-02
3.750000e+01 4.257000e-01 5.469000e+00 2.304886e-02
4.000000e+01 4.396000e-01 5.493000e+00 2.420516e-02
4.500000e+01 4.663000e-01 5.529000e+00 2.658515e-02
5.000000e+01 4.915000e-01 5.551000e+00 2.891954e-02
5.500000e+01 5.155000e-01 5.563000e+00 3.120657e-02
6.000000e+01 5.384000e-01 5.567000e+00 3.352029e-02
6.500000e+01 5.604000e-01 5.564000e+00 3.580810e-02
7.000000e+01 5.816000e-01 5.556000e+00 3.800184e-02
8.000000e+01 6.217000e-01 5.528000e+00 4.260458e-02
9.000000e+01 6.594000e-01 5.489000e+00 4.718252e-02
1.000000e+02 6.951000e-01 5.443000e+00 5.176128e-02
1.100000e+02 7.290000e-01 5.392000e+00 5.646034e-02
1.200000e+02 7.614000e-01 5.338000e+00 6.104007e-02
1.300000e+02 7.925000e-01 5.281000e+00 6.571530e-02
1.400000e+02 8.225000e-01 5.224000e+00 7.039098e-02
1.500000e+02 8.453000e-01 5.166000e+00 7.514360e-02
1.600000e+02 8.509000e-01 5.108000e+00 7.991546e-02
1.700000e+02 8.633000e-01 5.050000e+00 8.468766e-02
1.800000e+02 8.807000e-01 4.993000e+00 8.955563e-02
2.000000e+02 9.256000e-01 4.881000e+00 9.929768e-02
2.250000e+02 9.923000e-01 4.746000e+00 1.117094e-01
2.500000e+02 1.064000e+00 4.617000e+00 1.242967e-01
2.750000e+02 1.136000e+00 4.495000e+00 1.369991e-01
3.000000e+02 1.206000e+00 4.380000e+00 1.498728e-01
3.250000e+02 1.272000e+00 4.270000e+00 1.627699e-01
3.500000e+02 1.335000e+00 4.167000e+00 1.758387e-01
3.750000e+02 1.394000e+00 4.069000e+00 1.891014e-01
4.000000e+02 1.449000e+00 3.976000e+00 2.023443e-01
4.500000e+02 1.548000e+00 3.804000e+00 2.292614e-01
5.000000e+02 1.635000e+00 3.649000e+00 2.565278e-01
5.500000e+02 1.712000e+00 3.507000e+00 2.842014e-01
6.000000e+02 1.782000e+00 3.378000e+00 3.122461e-01
6.500000e+02 1.846000e+00 3.260000e+00 3.406661e-01
7.000000e+02 1.906000e+00 3.151000e+00 3.693773e-01
8.000000e+02 2.019000e+00 2.957000e+00 4.276835e-01
9.000000e+02 2.127000e+00 2.789000e+00 4.869340e-01
1.000000e+03 2.235000e+00 2.642000e+00 5.469238e-01
1.100000e+03 2.345000e+00 2.513000e+00 6.072647e-01
1.200000e+03 2.459000e+00 2.397000e+00 6.678413e-01
1.300000e+03 2.578000e+00 2.293000e+00 7.284783e-01
1.400000e+03 2.701000e+00 2.199000e+00 7.888511e-01
1.500000e+03 2.830000e+00 2.114000e+00 8.487969e-01
1.600000e+03 2.964000e+00 2.036000e+00 9.081723e-01
1.700000e+03 3.102000e+00 1.965000e+00 9.670087e-01
1.800000e+03 3.246000e+00 1.899000e+00 1.021782e+00
2.000000e+03 3.545000e+00 1.781000e+00 1.142899e+00
2.250000e+03 3.941000e+00 1.656000e+00 1.274388e+00
2.500000e+03 4.355000e+00 1.549000e+00 1.405514e+00
2.750000e+03 4.784000e+00 1.457000e+00 1.526481e+00
3.000000e+03 5.225000e+00 1.377000e+00 1.647168e+00
3.250000e+03 5.672000e+00 1.306000e+00 1.747957e+00
3.500000e+03 6.125000e+00 1.243000e+00 1.858346e+00
3.750000e+03 6.581000e+00 1.187000e+00 1.958744e+00
4.000000e+03 7.037000e+00 1.136000e+00 2.049127e+00
4.500000e+03 7.947000e+00 1.048000e+00 2.229552e+00
5.000000e+03 8.844000e+00 9.734000e-01 2.379983e+00
5.500000e+03 9.723000e+00 9.102000e-01 2.530100e+00
6.000000e+03 1.058000e+01 8.556000e-01 2.670099e+00
6.500000e+03 1.141000e+01 8.078000e-01 2.800059e+00
7.000000e+03 1.222000e+01 7.657000e-01 2.919992e+00
8.000000e+03 1.375000e+01 6.946000e-01 3.139815e+00
9.000000e+03 1.517000e+01 6.367000e-01 3.339547e+00
1.000000e+04 1.649000e+01 5.887000e-01 3.519255e+00
