# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 4.104000e-01 5.669000e+00 8.469357e-03
1.100000e+01 4.305000e-01 5.850000e+00 8.987769e-03
1.200000e+01 4.496000e-01 6.016000e+00 9.411695e-03
1.300000e+01 4.680000e-01 6.169000e+00 9.815804e-03
1.400000e+01 4.856000e-01 6.311000e+00 1.023963e-02
1.500000e+01 5.027000e-01 6.443000e+00 1.066349e-02
1.600000e+01 5.192000e-01 6.567000e+00 1.108738e-02
1.700000e+01 5.352000e-01 6.682000e+00 1.149174e-02
1.800000e+01 5.507000e-01 6.791000e+00 1.182074e-02
2.000000e+01 5.805000e-01 6.990000e+00 1.262418e-02
2.250000e+01 6.157000e-01 7.210000e+00 1.347182e-02
2.500000e+01 6.490000e-01 7.403000e+00 1.439549e-02
2.750000e+01 6.806000e-01 7.576000e+00 1.524303e-02
3.000000e+01 7.109000e-01 7.730000e+00 1.614311e-02
3.250000e+01 7.399000e-01 7.869000e+00 1.699059e-02
3.500000e+01 7.679000e-01 7.995000e+00 1.781937e-02
3.750000e+01 7.948000e-01 8.110000e+00 1.854805e-02
4.000000e+01 8.209000e-01 8.215000e+00 1.937679e-02
4.500000e+01 8.707000e-01 8.399000e+00 2.093442e-02
5.000000e+01 9.178000e-01 8.556000e+00 2.247376e-02
5.500000e+01 9.626000e-01 8.691000e+00 2.393596e-02
6.000000e+01 1.005000e+00 8.807000e+00 2.547567e-02
6.500000e+01 1.046000e+00 8.907000e+00 2.689777e-02
7.000000e+01 1.086000e+00 8.995000e+00 2.836001e-02
8.000000e+01 1.161000e+00 9.139000e+00 3.113117e-02
9.000000e+01 1.231000e+00 9.249000e+00 3.392050e-02
1.000000e+02 1.298000e+00 9.333000e+00 3.659631e-02
1.100000e+02 1.361000e+00 9.397000e+00 3.927238e-02
1.200000e+02 1.422000e+00 9.445000e+00 4.194866e-02
1.300000e+02 1.480000e+00 9.480000e+00 4.462511e-02
1.400000e+02 1.536000e+00 9.503000e+00 4.728129e-02
1.500000e+02 1.590000e+00 9.518000e+00 4.986161e-02
1.600000e+02 1.642000e+00 9.525000e+00 5.251838e-02
1.700000e+02 1.692000e+00 9.526000e+00 5.509882e-02
1.800000e+02 1.741000e+00 9.521000e+00 5.765943e-02
2.000000e+02 1.836000e+00 9.498000e+00 6.278431e-02
2.250000e+02 1.947000e+00 9.451000e+00 6.923872e-02
2.500000e+02 2.052000e+00 9.390000e+00 7.557784e-02
2.750000e+02 2.134000e+00 9.318000e+00 8.191776e-02
3.000000e+02 2.205000e+00 9.239000e+00 8.837392e-02
3.250000e+02 2.271000e+00 9.156000e+00 9.471484e-02
3.500000e+02 2.334000e+00 9.069000e+00 1.011378e-01
3.750000e+02 2.396000e+00 8.981000e+00 1.075767e-01
4.000000e+02 2.457000e+00 8.891000e+00 1.140008e-01
4.500000e+02 2.579000e+00 8.711000e+00 1.269626e-01
5.000000e+02 2.701000e+00 8.533000e+00 1.400230e-01
5.500000e+02 2.822000e+00 8.359000e+00 1.531645e-01
6.000000e+02 2.940000e+00 8.190000e+00 1.664047e-01
6.500000e+02 3.055000e+00 8.027000e+00 1.796318e-01
7.000000e+02 3.167000e+00 7.870000e+00 1.930692e-01
8.000000e+02 3.376000e+00 7.573000e+00 2.199163e-01
9.000000e+02 3.566000e+00 7.299000e+00 2.470597e-01
1.000000e+03 3.739000e+00 7.045000e+00 2.744542e-01
1.100000e+03 3.895000e+00 6.811000e+00 3.020612e-01
1.200000e+03 4.038000e+00 6.594000e+00 3.299363e-01
1.300000e+03 4.168000e+00 6.393000e+00 3.580102e-01
1.400000e+03 4.286000e+00 6.205000e+00 3.862681e-01
1.500000e+03 4.395000e+00 6.030000e+00 4.147102e-01
1.600000e+03 4.496000e+00 5.866000e+00 4.433512e-01
1.700000e+03 4.590000e+00 5.712000e+00 4.722891e-01
1.800000e+03 4.678000e+00 5.568000e+00 5.013134e-01
2.000000e+03 4.838000e+00 5.303000e+00 5.599592e-01
2.250000e+03 5.017000e+00 5.011000e+00 6.341418e-01
2.500000e+03 5.179000e+00 4.755000e+00 7.090821e-01
2.750000e+03 5.332000e+00 4.528000e+00 7.848800e-01
3.000000e+03 5.479000e+00 4.324000e+00 8.611432e-01
3.250000e+03 5.624000e+00 4.142000e+00 9.378840e-01
3.500000e+03 5.769000e+00 3.976000e+00 1.013599e+00
3.750000e+03 5.915000e+00 3.825000e+00 1.094123e+00
4.000000e+03 6.065000e+00 3.687000e+00 1.164749e+00
4.500000e+03 6.375000e+00 3.443000e+00 1.325767e+00
5.000000e+03 6.705000e+00 3.234000e+00 1.476777e+00
5.500000e+03 7.055000e+00 3.052000e+00 1.627648e+00
6.000000e+03 7.425000e+00 2.892000e+00 1.778414e+00
6.500000e+03 7.814000e+00 2.751000e+00 1.919170e+00
7.000000e+03 8.222000e+00 2.624000e+00 2.059802e+00
8.000000e+03 9.082000e+00 2.407000e+00 2.331010e+00
9.000000e+03 9.991000e+00 2.228000e+00 2.581995e+00
1.000000e+04 1.093000e+01 2.076000e+00 2.822708e+00
