# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 2.352000e-01 5.522000e+00 8.637708e-03
1.100000e+01 2.467000e-01 5.689000e+00 9.155326e-03
1.200000e+01 2.577000e-01 5.843000e+00 9.579144e-03
1.300000e+01 2.682000e-01 5.983000e+00 1.009703e-02
1.400000e+01 2.783000e-01 6.114000e+00 1.052093e-02
1.500000e+01 2.881000e-01 6.234000e+00 1.092428e-02
1.600000e+01 2.976000e-01 6.347000e+00 1.134813e-02
1.700000e+01 3.067000e-01 6.452000e+00 1.177200e-02
1.800000e+01 3.156000e-01 6.550000e+00 1.219590e-02
2.000000e+01 3.327000e-01 6.730000e+00 1.302344e-02
2.250000e+01 3.529000e-01 6.927000e+00 1.396567e-02
2.500000e+01 3.719000e-01 7.100000e+00 1.490805e-02
2.750000e+01 3.901000e-01 7.252000e+00 1.583067e-02
3.000000e+01 4.074000e-01 7.388000e+00 1.677319e-02
3.250000e+01 4.241000e-01 7.509000e+00 1.771581e-02
3.500000e+01 4.401000e-01 7.618000e+00 1.851945e-02
3.750000e+01 4.555000e-01 7.717000e+00 1.946227e-02
4.000000e+01 4.705000e-01 7.807000e+00 2.029064e-02
4.500000e+01 4.990000e-01 7.963000e+00 2.194288e-02
5.000000e+01 5.260000e-01 8.094000e+00 2.361906e-02
5.500000e+01 5.517000e-01 8.205000e+00 2.527172e-02
6.000000e+01 5.762000e-01 8.298000e+00 2.692471e-02
6.500000e+01 5.998000e-01 8.378000e+00 2.848666e-02
7.000000e+01 6.224000e-01 8.446000e+00 3.004430e-02
8.000000e+01 6.654000e-01 8.554000e+00 3.314136e-02
9.000000e+01 7.057000e-01 8.632000e+00 3.623893e-02
1.000000e+02 7.439000e-01 8.688000e+00 3.933688e-02
1.100000e+02 7.802000e-01 8.726000e+00 4.233923e-02
1.200000e+02 8.149000e-01 8.750000e+00 4.531997e-02
1.300000e+02 8.482000e-01 8.763000e+00 4.832267e-02
1.400000e+02 8.802000e-01 8.766000e+00 5.128645e-02
1.500000e+02 9.111000e-01 8.763000e+00 5.428941e-02
1.600000e+02 9.410000e-01 8.753000e+00 5.725400e-02
1.700000e+02 9.699000e-01 8.738000e+00 6.025712e-02
1.800000e+02 9.981000e-01 8.718000e+00 6.323947e-02
2.000000e+02 1.052000e+00 8.670000e+00 6.919118e-02
2.250000e+02 1.116000e+00 8.595000e+00 7.671877e-02
2.500000e+02 1.229000e+00 8.510000e+00 8.411332e-02
2.750000e+02 1.323000e+00 8.419000e+00 9.158870e-02
3.000000e+02 1.395000e+00 8.324000e+00 9.908128e-02
3.250000e+02 1.453000e+00 8.226000e+00 1.065549e-01
3.500000e+02 1.506000e+00 8.128000e+00 1.141453e-01
3.750000e+02 1.554000e+00 8.029000e+00 1.217201e-01
4.000000e+02 1.602000e+00 7.931000e+00 1.292923e-01
4.500000e+02 1.696000e+00 7.739000e+00 1.447509e-01
5.000000e+02 1.792000e+00 7.553000e+00 1.602894e-01
5.500000e+02 1.891000e+00 7.374000e+00 1.761025e-01
6.000000e+02 1.990000e+00 7.203000e+00 1.919355e-01
6.500000e+02 2.090000e+00 7.040000e+00 2.079464e-01
7.000000e+02 2.190000e+00 6.884000e+00 2.241681e-01
8.000000e+02 2.385000e+00 6.594000e+00 2.567975e-01
9.000000e+02 2.572000e+00 6.330000e+00 2.897865e-01
1.000000e+03 2.750000e+00 6.089000e+00 3.230389e-01
1.100000e+03 2.919000e+00 5.868000e+00 3.565884e-01
1.200000e+03 3.080000e+00 5.665000e+00 3.904186e-01
1.300000e+03 3.234000e+00 5.478000e+00 4.243204e-01
1.400000e+03 3.381000e+00 5.305000e+00 4.584040e-01
1.500000e+03 3.522000e+00 5.144000e+00 4.925755e-01
1.600000e+03 3.659000e+00 4.995000e+00 5.268196e-01
1.700000e+03 3.791000e+00 4.855000e+00 5.611635e-01
1.800000e+03 3.920000e+00 4.725000e+00 5.955806e-01
2.000000e+03 4.170000e+00 4.487000e+00 6.644103e-01
2.250000e+03 4.472000e+00 4.226000e+00 7.502841e-01
2.500000e+03 4.766000e+00 3.999000e+00 8.357835e-01
2.750000e+03 5.057000e+00 3.798000e+00 9.205896e-01
3.000000e+03 5.347000e+00 3.620000e+00 1.004434e+00
3.250000e+03 5.636000e+00 3.460000e+00 1.086530e+00
3.500000e+03 5.927000e+00 3.316000e+00 1.167172e+00
3.750000e+03 6.219000e+00 3.185000e+00 1.247741e+00
4.000000e+03 6.513000e+00 3.066000e+00 1.328238e+00
4.500000e+03 7.106000e+00 2.856000e+00 1.479268e+00
5.000000e+03 7.706000e+00 2.677000e+00 1.630045e+00
5.500000e+03 8.310000e+00 2.521000e+00 1.770745e+00
6.000000e+03 8.915000e+00 2.385000e+00 1.911267e+00
6.500000e+03 9.521000e+00 2.265000e+00 2.041739e+00
7.000000e+03 1.012000e+01 2.158000e+00 2.162181e+00
8.000000e+03 1.132000e+01 1.975000e+00 2.402839e+00
9.000000e+03 1.248000e+01 1.825000e+00 2.623301e+00
1.000000e+04 1.361000e+01 1.698000e+00 2.823649e+00
