# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 1.372000e+02 9.581000e+02 1.093892e-02
1.100000e+01 1.439000e+02 9.676000e+02 1.172604e-02
1.200000e+01 1.503000e+02 9.754000e+02 1.247758e-02
1.300000e+01 1.564000e+02 9.816000e+02 1.335440e-02
1.400000e+01 1.623000e+02 9.867000e+02 1.410638e-02
1.500000e+01 1.680000e+02 9.907000e+02 1.489329e-02
1.600000e+01 1.735000e+02 9.938000e+02 1.561954e-02
1.700000e+01 1.789000e+02 9.962000e+02 1.637193e-02
1.800000e+01 1.840000e+02 9.979000e+02 1.715867e-02
2.000000e+01 1.940000e+02 9.996000e+02 1.863840e-02
2.250000e+01 2.058000e+02 9.992000e+02 2.057450e-02
2.500000e+01 2.169000e+02 9.972000e+02 2.238683e-02
2.750000e+01 2.275000e+02 9.935000e+02 2.423262e-02
3.000000e+01 2.376000e+02 9.890000e+02 2.613714e-02
3.250000e+01 2.473000e+02 9.836000e+02 2.798321e-02
3.500000e+01 2.566000e+02 9.775000e+02 2.979698e-02
3.750000e+01 2.656000e+02 9.710000e+02 3.170284e-02
4.000000e+01 2.744000e+02 9.642000e+02 3.351731e-02
4.500000e+01 2.910000e+02 9.499000e+02 3.724701e-02
5.000000e+01 3.067000e+02 9.350000e+02 4.096938e-02
5.500000e+01 3.217000e+02 9.200000e+02 4.466979e-02
6.000000e+01 3.360000e+02 9.054000e+02 4.837117e-02
6.500000e+01 3.498000e+02 8.908000e+02 5.216608e-02
7.000000e+01 3.631000e+02 8.765000e+02 5.598375e-02
8.000000e+01 3.923000e+02 8.490000e+02 6.345439e-02
9.000000e+01 4.311000e+02 8.228000e+02 7.099197e-02
1.000000e+02 4.620000e+02 7.983000e+02 7.843883e-02
1.100000e+02 4.875000e+02 7.752000e+02 8.595336e-02
1.200000e+02 5.093000e+02 7.534000e+02 9.347026e-02
1.300000e+02 5.283000e+02 7.334000e+02 1.009890e-01
1.400000e+02 5.457000e+02 7.140000e+02 1.085564e-01
1.500000e+02 5.617000e+02 6.963000e+02 1.160520e-01
1.600000e+02 5.770000e+02 6.793000e+02 1.237179e-01
1.700000e+02 5.912000e+02 6.630000e+02 1.312910e-01
1.800000e+02 6.048000e+02 6.480000e+02 1.389348e-01
2.000000e+02 6.310000e+02 6.198000e+02 1.543421e-01
2.250000e+02 6.616000e+02 5.885000e+02 1.736103e-01
2.500000e+02 6.912000e+02 5.610000e+02 1.929587e-01
2.750000e+02 7.198000e+02 5.362000e+02 2.122729e-01
3.000000e+02 7.476000e+02 5.137000e+02 2.315714e-01
3.250000e+02 7.752000e+02 4.933000e+02 2.508319e-01
3.500000e+02 8.024000e+02 4.750000e+02 2.699632e-01
3.750000e+02 8.289000e+02 4.580000e+02 2.890791e-01
4.000000e+02 8.554000e+02 4.427000e+02 3.080451e-01
4.500000e+02 9.078000e+02 4.148000e+02 3.455536e-01
5.000000e+02 9.595000e+02 3.910000e+02 3.823885e-01
5.500000e+02 1.010000e+03 3.699000e+02 4.185689e-01
