# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 2.154000e-01 5.789000e+00 8.778952e-03
1.100000e+01 2.259000e-01 5.982000e+00 9.297311e-03
1.200000e+01 2.359000e-01 6.159000e+00 9.721111e-03
1.300000e+01 2.456000e-01 6.323000e+00 1.014495e-02
1.400000e+01 2.548000e-01 6.476000e+00 1.054941e-02
1.500000e+01 2.638000e-01 6.618000e+00 1.097315e-02
1.600000e+01 2.724000e-01 6.751000e+00 1.139693e-02
1.700000e+01 2.808000e-01 6.876000e+00 1.179576e-02
1.800000e+01 2.889000e-01 6.994000e+00 1.220041e-02
2.000000e+01 3.046000e-01 7.211000e+00 1.295299e-02
2.250000e+01 3.230000e-01 7.452000e+00 1.387660e-02
2.500000e+01 3.405000e-01 7.665000e+00 1.481924e-02
2.750000e+01 3.571000e-01 7.856000e+00 1.562402e-02
3.000000e+01 3.730000e-01 8.028000e+00 1.647149e-02
3.250000e+01 3.883000e-01 8.183000e+00 1.739569e-02
3.500000e+01 4.029000e-01 8.325000e+00 1.821977e-02
3.750000e+01 4.171000e-01 8.455000e+00 1.895310e-02
4.000000e+01 4.307000e-01 8.574000e+00 1.975905e-02
4.500000e+01 4.569000e-01 8.785000e+00 2.131689e-02
5.000000e+01 4.816000e-01 8.967000e+00 2.285673e-02
5.500000e+01 5.051000e-01 9.125000e+00 2.441475e-02
6.000000e+01 5.275000e-01 9.262000e+00 2.585904e-02
6.500000e+01 5.491000e-01 9.383000e+00 2.732124e-02
7.000000e+01 5.698000e-01 9.490000e+00 2.874387e-02
8.000000e+01 6.092000e-01 9.668000e+00 3.153696e-02
9.000000e+01 6.461000e-01 9.810000e+00 3.432623e-02
1.000000e+02 6.811000e-01 9.922000e+00 3.709838e-02
1.100000e+02 7.143000e-01 1.001000e+01 3.975387e-02
1.200000e+02 7.461000e-01 1.008000e+01 4.243041e-02
1.300000e+02 7.765000e-01 1.014000e+01 4.510709e-02
1.400000e+02 8.058000e-01 1.018000e+01 4.778389e-02
1.500000e+02 8.341000e-01 1.022000e+01 5.044066e-02
1.600000e+02 8.615000e-01 1.024000e+01 5.302113e-02
1.700000e+02 8.880000e-01 1.026000e+01 5.567836e-02
1.800000e+02 9.137000e-01 1.027000e+01 5.825890e-02
2.000000e+02 9.632000e-01 1.027000e+01 6.338091e-02
2.250000e+02 1.022000e+00 1.026000e+01 6.993240e-02
2.500000e+02 1.077000e+00 1.022000e+01 7.638776e-02
2.750000e+02 1.129000e+00 1.017000e+01 8.284359e-02
3.000000e+02 1.230000e+00 1.011000e+01 8.928113e-02
3.250000e+02 1.319000e+00 1.004000e+01 9.573771e-02
3.500000e+02 1.394000e+00 9.972000e+00 1.020791e-01
3.750000e+02 1.458000e+00 9.896000e+00 1.086151e-01
4.000000e+02 1.515000e+00 9.817000e+00 1.150390e-01
4.500000e+02 1.613000e+00 9.655000e+00 1.280335e-01
5.000000e+02 1.699000e+00 9.489000e+00 1.410933e-01
5.500000e+02 1.779000e+00 9.325000e+00 1.542516e-01
6.000000e+02 1.855000e+00 9.162000e+00 1.676058e-01
6.500000e+02 1.929000e+00 9.003000e+00 1.810557e-01
7.000000e+02 2.002000e+00 8.848000e+00 1.946066e-01
8.000000e+02 2.147000e+00 8.551000e+00 2.219868e-01
9.000000e+02 2.290000e+00 8.272000e+00 2.497606e-01
1.000000e+03 2.433000e+00 8.012000e+00 2.780393e-01
1.100000e+03 2.574000e+00 7.769000e+00 3.064863e-01
1.200000e+03 2.714000e+00 7.542000e+00 3.353250e-01
1.300000e+03 2.853000e+00 7.329000e+00 3.643485e-01
1.400000e+03 2.990000e+00 7.130000e+00 3.936663e-01
1.500000e+03 3.126000e+00 6.943000e+00 4.230710e-01
1.600000e+03 3.259000e+00 6.767000e+00 4.526592e-01
1.700000e+03 3.391000e+00 6.601000e+00 4.824585e-01
1.800000e+03 3.521000e+00 6.444000e+00 5.122324e-01
2.000000e+03 3.775000e+00 6.156000e+00 5.721782e-01
2.250000e+03 4.082000e+00 5.835000e+00 6.473608e-01
2.500000e+03 4.380000e+00 5.552000e+00 7.226948e-01
2.750000e+03 4.669000e+00 5.299000e+00 7.978749e-01
3.000000e+03 4.950000e+00 5.072000e+00 8.726922e-01
3.250000e+03 5.225000e+00 4.867000e+00 9.471725e-01
3.500000e+03 5.493000e+00 4.680000e+00 1.024754e+00
3.750000e+03 5.757000e+00 4.509000e+00 1.095372e+00
4.000000e+03 6.016000e+00 4.353000e+00 1.165973e+00
4.500000e+03 6.523000e+00 4.075000e+00 1.307063e+00
5.000000e+03 7.019000e+00 3.835000e+00 1.447992e+00
5.500000e+03 7.506000e+00 3.626000e+00 1.588758e+00
6.000000e+03 7.986000e+00 3.442000e+00 1.719511e+00
6.500000e+03 8.462000e+00 3.278000e+00 1.850134e+00
7.000000e+03 8.933000e+00 3.132000e+00 1.980642e+00
8.000000e+03 9.864000e+00 2.879000e+00 2.221702e+00
9.000000e+03 1.078000e+01 2.669000e+00 2.452494e+00
1.000000e+04 1.169000e+01 2.492000e+00 2.673097e+00
