# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 7.901000e+01 5.477000e+02 1.584614e-02
1.100000e+01 8.289000e+01 5.467000e+02 1.720494e-02
1.200000e+01 8.656000e+01 5.453000e+02 1.853510e-02
1.300000e+01 9.010000e+01 5.430000e+02 1.989422e-02
1.400000e+01 9.350000e+01 5.406000e+02 2.122499e-02
1.500000e+01 9.680000e+01 5.375000e+02 2.255615e-02
1.600000e+01 9.996000e+01 5.345000e+02 2.400292e-02
1.700000e+01 1.030000e+02 5.311000e+02 2.529526e-02
1.800000e+01 1.060000e+02 5.277000e+02 2.662724e-02
2.000000e+01 1.118000e+02 5.209000e+02 2.940697e-02
2.250000e+01 1.185000e+02 5.117000e+02 3.282073e-02
2.500000e+01 1.249000e+02 5.025000e+02 3.632410e-02
2.750000e+01 1.310000e+02 4.933000e+02 3.976607e-02
3.000000e+01 1.369000e+02 4.845000e+02 4.332274e-02
3.250000e+01 1.425000e+02 4.760000e+02 4.682884e-02
3.500000e+01 1.478000e+02 4.675000e+02 5.042489e-02
3.750000e+01 1.530000e+02 4.593000e+02 5.402166e-02
4.000000e+01 1.581000e+02 4.512000e+02 5.769783e-02
4.500000e+01 1.676000e+02 4.362000e+02 6.503853e-02
5.000000e+01 1.826000e+02 4.223000e+02 7.249703e-02
5.500000e+01 2.020000e+02 4.090000e+02 7.979787e-02
6.000000e+01 2.171000e+02 3.971000e+02 8.719226e-02
6.500000e+01 2.291000e+02 3.855000e+02 9.447381e-02
7.000000e+01 2.388000e+02 3.750000e+02 1.018394e-01
8.000000e+01 2.540000e+02 3.556000e+02 1.167361e-01
9.000000e+01 2.660000e+02 3.385000e+02 1.317687e-01
1.000000e+02 2.765000e+02 3.232000e+02 1.470778e-01
1.100000e+02 2.864000e+02 3.095000e+02 1.624637e-01
1.200000e+02 2.961000e+02 2.970000e+02 1.780114e-01
1.300000e+02 3.058000e+02 2.857000e+02 1.937221e-01
1.400000e+02 3.158000e+02 2.754000e+02 2.094394e-01
1.500000e+02 3.259000e+02 2.659000e+02 2.251986e-01
1.600000e+02 3.364000e+02 2.571000e+02 2.410574e-01
1.700000e+02 3.471000e+02 2.490000e+02 2.567510e-01
1.800000e+02 3.580000e+02 2.415000e+02 2.725441e-01
2.000000e+02 3.808000e+02 2.280000e+02 3.037625e-01
2.250000e+02 4.104000e+02 2.133000e+02 3.422273e-01
2.500000e+02 4.406000e+02 2.008000e+02 3.797706e-01
2.750000e+02 4.716000e+02 1.898000e+02 4.163752e-01
3.000000e+02 5.032000e+02 1.801000e+02 4.520628e-01
3.250000e+02 5.348000e+02 1.715000e+02 4.865509e-01
3.500000e+02 5.668000e+02 1.638000e+02 5.201432e-01
3.750000e+02 5.987000e+02 1.569000e+02 5.526529e-01
4.000000e+02 6.303000e+02 1.505000e+02 5.841944e-01
4.500000e+02 6.939000e+02 1.396000e+02 6.443909e-01
5.000000e+02 7.565000e+02 1.303000e+02 7.011923e-01
5.500000e+02 8.180000e+02 1.223000e+02 7.549229e-01
6.000000e+02 8.785000e+02 1.153000e+02 8.058471e-01
6.500000e+02 9.380000e+02 1.092000e+02 8.541539e-01
7.000000e+02 9.965000e+02 1.038000e+02 9.002644e-01
8.000000e+02 1.110000e+03 9.455000e+01 9.866751e-01
9.000000e+02 1.219000e+03 8.700000e+01 1.068418e+00
1.000000e+03 1.324000e+03 8.068000e+01 1.138518e+00
1.100000e+03 1.426000e+03 7.534000e+01 1.208422e+00
1.200000e+03 1.523000e+03 7.072000e+01 1.278171e+00
1.300000e+03 1.618000e+03 6.667000e+01 1.338056e+00
1.400000e+03 1.709000e+03 6.314000e+01 1.397845e+00
1.500000e+03 1.798000e+03 5.997000e+01 1.447737e+00
1.600000e+03 1.883000e+03 5.715000e+01 1.507411e+00
1.700000e+03 1.966000e+03 5.460000e+01 1.557202e+00
1.800000e+03 2.047000e+03 5.229000e+01 1.606975e+00
2.000000e+03 2.200000e+03 4.828000e+01 1.696609e+00
