# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 8.656000e+01 1.252000e+03 9.906563e-03
1.100000e+01 9.078000e+01 1.273000e+03 1.054372e-02
1.200000e+01 9.482000e+01 1.291000e+03 1.120580e-02
1.300000e+01 9.867000e+01 1.307000e+03 1.181059e-02
1.400000e+01 1.024000e+02 1.321000e+03 1.247277e-02
1.500000e+01 1.060000e+02 1.334000e+03 1.311030e-02
1.600000e+01 1.095000e+02 1.345000e+03 1.377244e-02
1.700000e+01 1.128000e+02 1.354000e+03 1.441007e-02
1.800000e+01 1.161000e+02 1.363000e+03 1.492448e-02
2.000000e+01 1.224000e+02 1.377000e+03 1.622436e-02
2.250000e+01 1.298000e+02 1.391000e+03 1.770819e-02
2.500000e+01 1.368000e+02 1.400000e+03 1.919245e-02
2.750000e+01 1.435000e+02 1.407000e+03 2.067704e-02
3.000000e+01 1.499000e+02 1.412000e+03 2.216190e-02
3.250000e+01 1.560000e+02 1.415000e+03 2.364699e-02
3.500000e+01 1.619000e+02 1.416000e+03 2.513225e-02
3.750000e+01 1.676000e+02 1.416000e+03 2.661766e-02
4.000000e+01 1.731000e+02 1.415000e+03 2.810320e-02
4.500000e+01 1.836000e+02 1.411000e+03 3.107459e-02
5.000000e+01 1.935000e+02 1.404000e+03 3.392418e-02
5.500000e+01 2.030000e+02 1.395000e+03 3.687438e-02
6.000000e+01 2.120000e+02 1.386000e+03 3.981821e-02
6.500000e+01 2.207000e+02 1.375000e+03 4.276938e-02
7.000000e+01 2.290000e+02 1.364000e+03 4.571400e-02
8.000000e+01 2.448000e+02 1.340000e+03 5.170474e-02
9.000000e+01 2.597000e+02 1.316000e+03 5.769653e-02
1.000000e+02 2.737000e+02 1.292000e+03 6.373578e-02
1.100000e+02 2.873000e+02 1.267000e+03 6.982356e-02
1.200000e+02 3.189000e+02 1.244000e+03 7.588531e-02
1.300000e+02 3.437000e+02 1.221000e+03 8.204231e-02
1.400000e+02 3.634000e+02 1.199000e+03 8.818055e-02
1.500000e+02 3.798000e+02 1.177000e+03 9.431341e-02
1.600000e+02 3.937000e+02 1.156000e+03 1.004727e-01
1.700000e+02 4.056000e+02 1.136000e+03 1.066828e-01
1.800000e+02 4.165000e+02 1.117000e+03 1.129379e-01
2.000000e+02 4.359000e+02 1.080000e+03 1.255712e-01
2.250000e+02 4.576000e+02 1.038000e+03 1.416310e-01
2.500000e+02 4.784000e+02 9.996000e+02 1.579619e-01
2.750000e+02 4.988000e+02 9.642000e+02 1.744819e-01
3.000000e+02 5.192000e+02 9.316000e+02 1.911965e-01
3.250000e+02 5.396000e+02 9.013000e+02 2.079693e-01
3.500000e+02 5.603000e+02 8.734000e+02 2.250507e-01
3.750000e+02 5.807000e+02 8.473000e+02 2.421349e-01
4.000000e+02 6.014000e+02 8.231000e+02 2.592740e-01
4.500000e+02 6.429000e+02 7.793000e+02 2.937573e-01
5.000000e+02 6.847000e+02 7.405000e+02 3.282630e-01
5.500000e+02 7.266000e+02 7.062000e+02 3.627578e-01
6.000000e+02 7.680000e+02 6.756000e+02 3.969748e-01
6.500000e+02 8.099000e+02 6.477000e+02 4.310645e-01
7.000000e+02 8.513000e+02 6.222000e+02 4.647819e-01
8.000000e+02 9.346000e+02 5.780000e+02 5.312610e-01
9.000000e+02 1.017000e+03 5.406000e+02 5.960866e-01
1.000000e+03 1.100000e+03 5.086000e+02 6.589693e-01
1.100000e+03 1.182000e+03 4.804000e+02 7.200570e-01
1.200000e+03 1.264000e+03 4.556000e+02 7.792212e-01
1.300000e+03 1.345000e+03 4.338000e+02 8.364932e-01
1.400000e+03 1.427000e+03 4.141000e+02 8.920015e-01
1.500000e+03 1.508000e+03 3.964000e+02 9.457452e-01
1.600000e+03 1.588000e+03 3.804000e+02 9.977238e-01
1.700000e+03 1.668000e+03 3.658000e+02 1.051380e+00
1.800000e+03 1.748000e+03 3.526000e+02 1.101636e+00
2.000000e+03 1.906000e+03 3.288000e+02 1.192183e+00
2.250000e+03 2.099000e+03 3.039000e+02 1.302611e+00
2.500000e+03 2.290000e+03 2.828000e+02 1.402947e+00
2.750000e+03 2.476000e+03 2.649000e+02 1.493216e+00
3.000000e+03 2.657000e+03 2.493000e+02 1.583332e+00
3.250000e+03 2.834000e+03 2.357000e+02 1.673314e+00
3.500000e+03 3.007000e+03 2.236000e+02 1.753325e+00
3.750000e+03 3.175000e+03 2.129000e+02 1.833269e+00
4.000000e+03 3.339000e+03 2.032000e+02 1.903261e+00
4.500000e+03 3.651000e+03 1.866000e+02 2.043124e+00
5.000000e+03 3.947000e+03 1.727000e+02 2.172940e+00
5.500000e+03 4.229000e+03 1.610000e+02 2.292744e+00
6.000000e+03 4.491000e+03 1.509000e+02 2.412445e+00
6.500000e+03 4.739000e+03 1.420000e+02 2.522190e+00
7.000000e+03 4.974000e+03 1.343000e+02 2.621978e+00
8.000000e+03 5.402000e+03 1.214000e+02 2.811595e+00
9.000000e+03 5.787000e+03 1.109000e+02 3.001108e+00
1.000000e+04 6.123000e+03 1.022000e+02 3.170695e+00
1.100000e+04 6.429000e+03 9.493000e+01 3.330318e+00
1.200000e+04 6.698000e+03 8.867000e+01 3.489908e+00
1.300000e+04 6.943000e+03 8.326000e+01 3.639542e+00
1.400000e+04 7.160000e+03 7.854000e+01 3.779217e+00
1.500000e+04 7.357000e+03 7.436000e+01 3.928843e+00
1.600000e+04 7.538000e+03 7.065000e+01 4.058562e+00
1.700000e+04 7.701000e+03 6.732000e+01 4.198239e+00
1.800000e+04 7.850000e+03 6.429000e+01 4.327959e+00
2.000000e+04 8.112000e+03 5.909000e+01 4.587486e+00
2.250000e+04 8.391000e+03 5.372000e+01 4.906955e+00
2.500000e+04 8.622000e+03 4.933000e+01 5.206507e+00
2.750000e+04 8.819000e+03 4.563000e+01 5.506068e+00
3.000000e+04 8.989000e+03 4.250000e+01 5.795676e+00
3.250000e+04 9.132000e+03 3.978000e+01 6.085302e+00
3.500000e+04 9.258000e+03 3.743000e+01 6.364961e+00
3.750000e+04 9.370000e+03 3.536000e+01 6.644643e+00
4.000000e+04 9.465000e+03 3.353000e+01 6.914351e+00
4.500000e+04 9.618000e+03 3.040000e+01 7.463998e+00
5.000000e+04 9.737000e+03 2.785000e+01 8.003679e+00
5.500000e+04 9.829000e+03 2.571000e+01 8.533395e+00
6.000000e+04 9.894000e+03 2.390000e+01 9.063124e+00
6.500000e+04 9.941000e+03 2.235000e+01 9.592877e+00
7.000000e+04 9.972000e+03 2.099000e+01 1.011266e+01
8.000000e+04 9.999000e+03 1.875000e+01 1.115276e+01
9.000000e+04 9.986000e+03 1.697000e+01 1.220281e+01
1.000000e+05 9.945000e+03 1.551000e+01 1.325285e+01
