# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 2.346000e-01 5.164000e+00 8.780661e-03
1.100000e+01 2.461000e-01 5.306000e+00 9.297849e-03
1.200000e+01 2.570000e-01 5.435000e+00 9.721625e-03
1.300000e+01 2.675000e-01 5.553000e+00 1.026694e-02
1.400000e+01 2.776000e-01 5.661000e+00 1.069065e-02
1.500000e+01 2.874000e-01 5.760000e+00 1.120803e-02
1.600000e+01 2.968000e-01 5.852000e+00 1.163185e-02
1.700000e+01 3.059000e-01 5.938000e+00 1.205570e-02
1.800000e+01 3.148000e-01 6.018000e+00 1.247958e-02
2.000000e+01 3.318000e-01 6.162000e+00 1.340000e-02
2.250000e+01 3.520000e-01 6.318000e+00 1.443607e-02
2.500000e+01 3.710000e-01 6.452000e+00 1.549871e-02
2.750000e+01 3.891000e-01 6.569000e+00 1.644080e-02
3.000000e+01 4.064000e-01 6.672000e+00 1.747741e-02
3.250000e+01 4.230000e-01 6.762000e+00 1.841983e-02
3.500000e+01 4.390000e-01 6.842000e+00 1.948230e-02
3.750000e+01 4.544000e-01 6.913000e+00 2.040441e-02
4.000000e+01 4.693000e-01 6.976000e+00 2.134690e-02
4.500000e+01 4.978000e-01 7.084000e+00 2.321207e-02
5.000000e+01 5.247000e-01 7.170000e+00 2.509741e-02
5.500000e+01 5.503000e-01 7.240000e+00 2.686820e-02
6.000000e+01 5.748000e-01 7.296000e+00 2.870993e-02
6.500000e+01 5.982000e-01 7.341000e+00 3.048114e-02
7.000000e+01 6.208000e-01 7.377000e+00 3.225244e-02
8.000000e+01 6.637000e-01 7.427000e+00 3.577164e-02
9.000000e+01 7.039000e-01 7.454000e+00 3.929147e-02
1.000000e+02 7.420000e-01 7.464000e+00 4.273933e-02
1.100000e+02 7.782000e-01 7.461000e+00 4.625970e-02
1.200000e+02 8.128000e-01 7.449000e+00 4.966639e-02
1.300000e+02 8.460000e-01 7.429000e+00 5.316493e-02
1.400000e+02 8.780000e-01 7.403000e+00 5.657243e-02
1.500000e+02 9.088000e-01 7.372000e+00 6.009401e-02
1.600000e+02 9.386000e-01 7.338000e+00 6.350197e-02
1.700000e+02 9.675000e-01 7.301000e+00 6.700194e-02
1.800000e+02 9.955000e-01 7.261000e+00 7.050631e-02
2.000000e+02 1.084000e+00 7.177000e+00 7.751168e-02
2.250000e+02 1.287000e+00 7.066000e+00 8.617621e-02
2.500000e+02 1.409000e+00 6.953000e+00 9.479947e-02
2.750000e+02 1.485000e+00 6.839000e+00 1.034447e-01
3.000000e+02 1.538000e+00 6.726000e+00 1.121870e-01
3.250000e+02 1.581000e+00 6.614000e+00 1.210062e-01
3.500000e+02 1.619000e+00 6.505000e+00 1.299228e-01
3.750000e+02 1.658000e+00 6.399000e+00 1.389569e-01
4.000000e+02 1.698000e+00 6.295000e+00 1.479556e-01
4.500000e+02 1.786000e+00 6.098000e+00 1.662973e-01
5.000000e+02 1.884000e+00 5.913000e+00 1.849317e-01
5.500000e+02 1.991000e+00 5.739000e+00 2.038400e-01
6.000000e+02 2.104000e+00 5.576000e+00 2.228137e-01
6.500000e+02 2.219000e+00 5.423000e+00 2.419205e-01
7.000000e+02 2.336000e+00 5.279000e+00 2.611871e-01
8.000000e+02 2.568000e+00 5.017000e+00 2.998264e-01
9.000000e+02 2.793000e+00 4.783000e+00 3.386318e-01
1.000000e+03 3.006000e+00 4.573000e+00 3.776038e-01
1.100000e+03 3.208000e+00 4.384000e+00 4.164197e-01
1.200000e+03 3.399000e+00 4.213000e+00 4.553086e-01
1.300000e+03 3.580000e+00 4.056000e+00 4.940592e-01
1.400000e+03 3.751000e+00 3.913000e+00 5.327840e-01
1.500000e+03 3.914000e+00 3.781000e+00 5.713870e-01
1.600000e+03 4.071000e+00 3.660000e+00 6.098531e-01
1.700000e+03 4.221000e+00 3.547000e+00 6.480999e-01
1.800000e+03 4.367000e+00 3.442000e+00 6.862242e-01
2.000000e+03 4.646000e+00 3.252000e+00 7.620535e-01
2.250000e+03 4.981000e+00 3.047000e+00 8.555791e-01
2.500000e+03 5.305000e+00 2.870000e+00 9.477162e-01
2.750000e+03 5.625000e+00 2.716000e+00 1.036866e+00
3.000000e+03 5.943000e+00 2.579000e+00 1.127482e+00
3.250000e+03 6.262000e+00 2.458000e+00 1.218021e+00
3.500000e+03 6.583000e+00 2.349000e+00 1.298602e+00
3.750000e+03 6.907000e+00 2.250000e+00 1.379100e+00
4.000000e+03 7.234000e+00 2.161000e+00 1.459516e+00
4.500000e+03 7.896000e+00 2.005000e+00 1.620202e+00
5.000000e+03 8.567000e+00 1.872000e+00 1.770760e+00
5.500000e+03 9.244000e+00 1.759000e+00 1.911234e+00
6.000000e+03 9.924000e+00 1.659000e+00 2.041627e+00
6.500000e+03 1.060000e+01 1.572000e+00 2.171873e+00
7.000000e+03 1.128000e+01 1.495000e+00 2.292096e+00
8.000000e+03 1.260000e+01 1.363000e+00 2.512512e+00
9.000000e+03 1.389000e+01 1.255000e+00 2.722682e+00
1.000000e+04 1.512000e+01 1.165000e+00 2.922702e+00
