# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 4.147000e-01 6.969000e-01 2.409502e-02
1.100000e+01 4.349000e-01 6.850000e-01 2.623623e-02
1.200000e+01 4.543000e-01 6.733000e-01 2.837834e-02
1.300000e+01 4.728000e-01 6.618000e-01 3.060670e-02
1.400000e+01 4.907000e-01 6.505000e-01 3.270887e-02
1.500000e+01 5.079000e-01 6.396000e-01 3.485312e-02
1.600000e+01 5.246000e-01 6.291000e-01 3.692709e-02
1.700000e+01 5.407000e-01 6.188000e-01 3.911854e-02
1.800000e+01 5.564000e-01 6.089000e-01 4.123469e-02
2.000000e+01 5.865000e-01 5.901000e-01 4.550538e-02
2.250000e+01 6.221000e-01 5.682000e-01 5.081899e-02
2.500000e+01 6.557000e-01 5.481000e-01 5.605899e-02
2.750000e+01 6.877000e-01 5.295000e-01 6.134387e-02
3.000000e+01 7.285000e-01 5.124000e-01 6.648834e-02
3.250000e+01 7.692000e-01 4.965000e-01 7.162828e-02
3.500000e+01 8.067000e-01 4.817000e-01 7.668227e-02
3.750000e+01 8.410000e-01 4.680000e-01 8.167662e-02
4.000000e+01 8.723000e-01 4.551000e-01 8.655709e-02
4.500000e+01 9.274000e-01 4.317000e-01 9.628551e-02
5.000000e+01 9.744000e-01 4.110000e-01 1.059327e-01
5.500000e+01 1.015000e+00 3.925000e-01 1.153822e-01
6.000000e+01 1.051000e+00 3.759000e-01 1.248693e-01
6.500000e+01 1.083000e+00 3.608000e-01 1.341006e-01
7.000000e+01 1.111000e+00 3.471000e-01 1.434327e-01
8.000000e+01 1.162000e+00 3.231000e-01 1.618512e-01
9.000000e+01 1.207000e+00 3.027000e-01 1.801873e-01
1.000000e+02 1.248000e+00 2.851000e-01 1.982356e-01
1.100000e+02 1.288000e+00 2.697000e-01 2.161598e-01
1.200000e+02 1.327000e+00 2.561000e-01 2.339380e-01
1.300000e+02 1.365000e+00 2.440000e-01 2.514733e-01
1.400000e+02 1.404000e+00 2.332000e-01 2.687891e-01
1.500000e+02 1.443000e+00 2.234000e-01 2.858612e-01
1.600000e+02 1.483000e+00 2.146000e-01 3.026172e-01
1.700000e+02 1.524000e+00 2.065000e-01 3.191721e-01
1.800000e+02 1.564000e+00 1.990000e-01 3.354618e-01
2.000000e+02 1.648000e+00 1.859000e-01 3.672241e-01
2.250000e+02 1.754000e+00 1.720000e-01 4.054217e-01
2.500000e+02 1.862000e+00 1.603000e-01 4.420058e-01
2.750000e+02 1.970000e+00 1.502000e-01 4.769338e-01
3.000000e+02 2.079000e+00 1.415000e-01 5.103946e-01
3.250000e+02 2.188000e+00 1.338000e-01 5.425181e-01
3.500000e+02 2.295000e+00 1.271000e-01 5.733177e-01
3.750000e+02 2.401000e+00 1.210000e-01 6.030017e-01
4.000000e+02 2.505000e+00 1.156000e-01 6.315181e-01
4.500000e+02 2.708000e+00 1.062000e-01 6.858716e-01
5.000000e+02 2.903000e+00 9.843000e-02 7.366590e-01
5.500000e+02 3.089000e+00 9.179000e-02 7.847126e-01
6.000000e+02 3.266000e+00 8.609000e-02 8.302237e-01
6.500000e+02 3.434000e+00 8.111000e-02 8.737215e-01
7.000000e+02 3.594000e+00 7.674000e-02 9.151997e-01
8.000000e+02 3.889000e+00 6.939000e-02 9.937867e-01
9.000000e+02 4.155000e+00 6.344000e-02 1.066149e+00
1.000000e+03 4.396000e+00 5.852000e-02 1.135907e+00
1.100000e+03 4.613000e+00 5.437000e-02 1.205607e+00
1.200000e+03 4.810000e+00 5.081000e-02 1.265406e+00
1.300000e+03 4.990000e+00 4.774000e-02 1.325176e+00
1.400000e+03 5.153000e+00 4.504000e-02 1.384944e+00
1.500000e+03 5.302000e+00 4.266000e-02 1.444695e+00
1.600000e+03 5.438000e+00 4.054000e-02 1.504440e+00
1.700000e+03 5.563000e+00 3.864000e-02 1.554281e+00
1.800000e+03 5.678000e+00 3.692000e-02 1.604125e+00
2.000000e+03 5.879000e+00 3.394000e-02 1.713725e+00
2.250000e+03 6.088000e+00 3.088000e-02 1.843322e+00
2.500000e+03 6.258000e+00 2.836000e-02 1.962990e+00
2.750000e+03 6.394000e+00 2.625000e-02 2.082667e+00
3.000000e+03 6.505000e+00 2.445000e-02 2.202346e+00
3.250000e+03 6.594000e+00 2.291000e-02 2.312101e+00
3.500000e+03 6.664000e+00 2.156000e-02 2.431799e+00
3.750000e+03 6.720000e+00 2.037000e-02 2.541575e+00
4.000000e+03 6.763000e+00 1.931000e-02 2.661309e+00
4.500000e+03 6.819000e+00 1.752000e-02 2.880991e+00
5.000000e+03 6.846000e+00 1.605000e-02 3.110662e+00
5.500000e+03 6.853000e+00 1.483000e-02 3.330398e+00
6.000000e+03 6.845000e+00 1.379000e-02 3.550155e+00
6.500000e+03 6.825000e+00 1.289000e-02 3.779912e+00
7.000000e+03 6.797000e+00 1.212000e-02 3.999717e+00
8.000000e+03 6.723000e+00 1.083000e-02 4.459566e+00
9.000000e+03 6.633000e+00 9.800000e-03 4.919453e+00
1.000000e+04 6.534000e+00 8.962000e-03 5.379363e+00
