# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 9.183000e+01 4.960000e+02 1.674813e-02
1.100000e+01 9.632000e+01 4.943000e+02 1.823431e-02
1.200000e+01 1.006000e+02 4.916000e+02 1.965146e-02
1.300000e+01 1.047000e+02 4.889000e+02 2.101071e-02
1.400000e+01 1.087000e+02 4.858000e+02 2.246887e-02
1.500000e+01 1.125000e+02 4.824000e+02 2.391548e-02
1.600000e+01 1.162000e+02 4.790000e+02 2.536237e-02
1.700000e+01 1.197000e+02 4.753000e+02 2.678171e-02
1.800000e+01 1.232000e+02 4.719000e+02 2.822906e-02
2.000000e+01 1.299000e+02 4.644000e+02 3.118493e-02
2.250000e+01 1.378000e+02 4.549000e+02 3.481408e-02
2.500000e+01 1.452000e+02 4.457000e+02 3.852181e-02
2.750000e+01 1.523000e+02 4.365000e+02 4.226831e-02
3.000000e+01 1.591000e+02 4.277000e+02 4.595226e-02
3.250000e+01 1.656000e+02 4.192000e+02 4.975269e-02
3.500000e+01 1.718000e+02 4.110000e+02 5.355418e-02
3.750000e+01 1.778000e+02 4.032000e+02 5.733114e-02
4.000000e+01 1.837000e+02 3.957000e+02 6.122426e-02
4.500000e+01 1.948000e+02 3.815000e+02 6.888752e-02
5.000000e+01 2.119000e+02 3.682000e+02 7.670997e-02
5.500000e+01 2.269000e+02 3.563000e+02 8.443542e-02
6.000000e+01 2.388000e+02 3.447000e+02 9.210570e-02
6.500000e+01 2.488000e+02 3.344000e+02 9.987037e-02
7.000000e+01 2.573000e+02 3.246000e+02 1.077533e-01
8.000000e+01 2.720000e+02 3.070000e+02 1.234465e-01
9.000000e+01 2.849000e+02 2.915000e+02 1.393627e-01
1.000000e+02 2.973000e+02 2.777000e+02 1.553574e-01
1.100000e+02 3.093000e+02 2.654000e+02 1.714863e-01
1.200000e+02 3.213000e+02 2.543000e+02 1.875948e-01
1.300000e+02 3.332000e+02 2.442000e+02 2.038041e-01
1.400000e+02 3.454000e+02 2.351000e+02 2.199415e-01
1.500000e+02 3.573000e+02 2.267000e+02 2.360313e-01
1.600000e+02 3.696000e+02 2.190000e+02 2.521284e-01
1.700000e+02 3.818000e+02 2.119000e+02 2.680894e-01
1.800000e+02 3.944000e+02 2.053000e+02 2.839102e-01
2.000000e+02 4.192000e+02 1.934000e+02 3.151962e-01
2.250000e+02 4.501000e+02 1.807000e+02 3.535019e-01
2.500000e+02 4.814000e+02 1.698000e+02 3.907558e-01
2.750000e+02 5.124000e+02 1.602000e+02 4.271003e-01
3.000000e+02 5.430000e+02 1.519000e+02 4.622246e-01
3.250000e+02 5.736000e+02 1.445000e+02 4.964613e-01
3.500000e+02 6.038000e+02 1.379000e+02 5.297127e-01
3.750000e+02 6.337000e+02 1.319000e+02 5.619026e-01
4.000000e+02 6.637000e+02 1.265000e+02 5.932237e-01
4.500000e+02 7.221000e+02 1.171000e+02 6.533516e-01
5.000000e+02 7.793000e+02 1.092000e+02 7.102832e-01
5.500000e+02 8.354000e+02 1.023000e+02 7.643009e-01
6.000000e+02 8.904000e+02 9.642000e+01 8.157080e-01
6.500000e+02 9.442000e+02 9.125000e+01 8.648271e-01
7.000000e+02 9.969000e+02 8.666000e+01 9.118837e-01
8.000000e+02 1.100000e+03 7.888000e+01 1.000203e+00
9.000000e+02 1.199000e+03 7.249000e+01 1.085960e+00
1.000000e+03 1.295000e+03 6.718000e+01 1.156071e+00
