# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 2.618000e-01 5.110000e+00 8.687347e-03
1.100000e+01 2.746000e-01 5.247000e+00 9.204347e-03
1.200000e+01 2.868000e-01 5.371000e+00 9.656604e-03
1.300000e+01 2.985000e-01 5.485000e+00 1.017349e-02
1.400000e+01 3.098000e-01 5.588000e+00 1.059717e-02
1.500000e+01 3.206000e-01 5.684000e+00 1.111441e-02
1.600000e+01 3.312000e-01 5.772000e+00 1.153820e-02
1.700000e+01 3.413000e-01 5.854000e+00 1.196202e-02
1.800000e+01 3.512000e-01 5.930000e+00 1.247958e-02
2.000000e+01 3.702000e-01 6.067000e+00 1.330601e-02
2.250000e+01 3.927000e-01 6.215000e+00 1.438993e-02
2.500000e+01 4.139000e-01 6.342000e+00 1.542563e-02
2.750000e+01 4.341000e-01 6.452000e+00 1.646724e-02
3.000000e+01 4.535000e-01 6.548000e+00 1.740919e-02
3.250000e+01 4.720000e-01 6.632000e+00 1.844560e-02
3.500000e+01 4.898000e-01 6.706000e+00 1.938788e-02
3.750000e+01 5.070000e-01 6.771000e+00 2.042474e-02
4.000000e+01 5.236000e-01 6.830000e+00 2.139276e-02
4.500000e+01 5.554000e-01 6.927000e+00 2.325726e-02
5.000000e+01 5.854000e-01 7.005000e+00 2.512230e-02
5.500000e+01 6.140000e-01 7.066000e+00 2.691282e-02
6.000000e+01 6.413000e-01 7.115000e+00 2.877829e-02
6.500000e+01 6.675000e-01 7.153000e+00 3.054914e-02
7.000000e+01 6.927000e-01 7.182000e+00 3.239089e-02
8.000000e+01 7.405000e-01 7.220000e+00 3.593341e-02
9.000000e+01 7.854000e-01 7.237000e+00 3.954782e-02
1.000000e+02 8.279000e-01 7.238000e+00 4.309095e-02
1.100000e+02 8.683000e-01 7.227000e+00 4.661094e-02
1.200000e+02 9.069000e-01 7.207000e+00 5.013133e-02
1.300000e+02 9.440000e-01 7.181000e+00 5.365203e-02
1.400000e+02 9.796000e-01 7.149000e+00 5.715470e-02
1.500000e+02 1.014000e+00 7.113000e+00 6.067594e-02
1.600000e+02 1.047000e+00 7.074000e+00 6.419735e-02
1.700000e+02 1.079000e+00 7.033000e+00 6.770096e-02
1.800000e+02 1.111000e+00 6.989000e+00 7.131858e-02
2.000000e+02 1.160000e+00 6.899000e+00 7.844068e-02
2.250000e+02 1.221000e+00 6.781000e+00 8.739251e-02
2.500000e+02 1.283000e+00 6.663000e+00 9.645901e-02
2.750000e+02 1.348000e+00 6.545000e+00 1.055263e-01
3.000000e+02 1.413000e+00 6.428000e+00 1.147495e-01
3.250000e+02 1.478000e+00 6.315000e+00 1.240112e-01
3.500000e+02 1.544000e+00 6.204000e+00 1.333534e-01
3.750000e+02 1.609000e+00 6.097000e+00 1.427891e-01
4.000000e+02 1.675000e+00 5.993000e+00 1.522257e-01
4.500000e+02 1.803000e+00 5.795000e+00 1.712978e-01
5.000000e+02 1.928000e+00 5.611000e+00 1.905462e-01
5.500000e+02 2.049000e+00 5.438000e+00 2.099716e-01
6.000000e+02 2.166000e+00 5.278000e+00 2.295934e-01
6.500000e+02 2.280000e+00 5.128000e+00 2.492959e-01
7.000000e+02 2.390000e+00 4.987000e+00 2.690977e-01
8.000000e+02 2.602000e+00 4.731000e+00 3.089805e-01
9.000000e+02 2.802000e+00 4.503000e+00 3.492092e-01
1.000000e+03 2.994000e+00 4.300000e+00 3.895077e-01
1.100000e+03 3.177000e+00 4.118000e+00 4.299593e-01
1.200000e+03 3.353000e+00 3.953000e+00 4.703844e-01
1.300000e+03 3.523000e+00 3.803000e+00 5.107549e-01
1.400000e+03 3.688000e+00 3.665000e+00 5.510319e-01
1.500000e+03 3.847000e+00 3.539000e+00 5.912398e-01
1.600000e+03 4.003000e+00 3.423000e+00 6.312288e-01
1.700000e+03 4.154000e+00 3.315000e+00 6.711104e-01
1.800000e+03 4.302000e+00 3.215000e+00 7.106599e-01
2.000000e+03 4.589000e+00 3.035000e+00 7.892276e-01
2.250000e+03 4.933000e+00 2.841000e+00 8.859948e-01
2.500000e+03 5.263000e+00 2.673000e+00 9.809552e-01
2.750000e+03 5.584000e+00 2.527000e+00 1.077650e+00
3.000000e+03 5.897000e+00 2.398000e+00 1.168326e+00
3.250000e+03 6.203000e+00 2.284000e+00 1.258909e+00
3.500000e+03 6.503000e+00 2.181000e+00 1.339535e+00
3.750000e+03 6.800000e+00 2.089000e+00 1.429934e+00
4.000000e+03 7.093000e+00 2.005000e+00 1.510395e+00
4.500000e+03 7.671000e+00 1.858000e+00 1.671165e+00
5.000000e+03 8.242000e+00 1.734000e+00 1.821823e+00
5.500000e+03 8.808000e+00 1.628000e+00 1.972268e+00
6.000000e+03 9.369000e+00 1.535000e+00 2.112660e+00
6.500000e+03 9.927000e+00 1.454000e+00 2.252909e+00
7.000000e+03 1.048000e+01 1.382000e+00 2.383139e+00
8.000000e+03 1.158000e+01 1.259000e+00 2.623598e+00
9.000000e+03 1.266000e+01 1.158000e+00 2.853817e+00
1.000000e+04 1.372000e+01 1.074000e+00 3.063943e+00
