# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 2.931000e-01 1.242000e+00 1.824555e-02
1.100000e+01 3.074000e-01 1.233000e+00 1.990251e-02
1.200000e+01 3.211000e-01 1.224000e+00 2.147440e-02
1.300000e+01 3.342000e-01 1.213000e+00 2.304669e-02
1.400000e+01 3.468000e-01 1.203000e+00 2.461930e-02
1.500000e+01 3.590000e-01 1.192000e+00 2.627889e-02
1.600000e+01 3.708000e-01 1.180000e+00 2.781169e-02
1.700000e+01 3.822000e-01 1.169000e+00 2.947236e-02
1.800000e+01 3.933000e-01 1.158000e+00 3.104609e-02
2.000000e+01 4.145000e-01 1.135000e+00 3.439666e-02
2.250000e+01 4.397000e-01 1.108000e+00 3.846817e-02
2.500000e+01 4.635000e-01 1.081000e+00 4.254139e-02
2.750000e+01 4.861000e-01 1.055000e+00 4.666626e-02
3.000000e+01 5.077000e-01 1.031000e+00 5.083090e-02
3.250000e+01 5.284000e-01 1.008000e+00 5.508548e-02
3.500000e+01 5.484000e-01 9.853000e-01 5.921520e-02
3.750000e+01 5.676000e-01 9.641000e-01 6.340938e-02
4.000000e+01 5.865000e-01 9.439000e-01 6.763113e-02
4.500000e+01 6.883000e-01 9.061000e-01 7.603262e-02
5.000000e+01 7.663000e-01 8.717000e-01 8.408252e-02
5.500000e+01 8.268000e-01 8.402000e-01 9.200315e-02
6.000000e+01 8.747000e-01 8.113000e-01 9.987727e-02
6.500000e+01 9.135000e-01 7.846000e-01 1.076896e-01
7.000000e+01 9.458000e-01 7.599000e-01 1.155392e-01
8.000000e+01 9.975000e-01 7.156000e-01 1.311284e-01
9.000000e+01 1.039000e+00 6.770000e-01 1.468664e-01
1.000000e+02 1.075000e+00 6.431000e-01 1.626492e-01
1.100000e+02 1.109000e+00 6.129000e-01 1.784549e-01
1.200000e+02 1.141000e+00 5.859000e-01 1.943425e-01
1.300000e+02 1.174000e+00 5.615000e-01 2.102128e-01
1.400000e+02 1.206000e+00 5.394000e-01 2.260155e-01
1.500000e+02 1.240000e+00 5.193000e-01 2.418017e-01
1.600000e+02 1.275000e+00 5.008000e-01 2.574804e-01
1.700000e+02 1.310000e+00 4.839000e-01 2.731158e-01
1.800000e+02 1.346000e+00 4.682000e-01 2.886179e-01
2.000000e+02 1.422000e+00 4.401000e-01 3.190766e-01
2.250000e+02 1.520000e+00 4.101000e-01 3.562228e-01
2.500000e+02 1.621000e+00 3.844000e-01 3.921361e-01
2.750000e+02 1.725000e+00 3.622000e-01 4.268387e-01
3.000000e+02 1.830000e+00 3.427000e-01 4.602753e-01
3.250000e+02 1.935000e+00 3.255000e-01 4.926152e-01
3.500000e+02 2.041000e+00 3.102000e-01 5.236859e-01
3.750000e+02 2.146000e+00 2.964000e-01 5.536983e-01
4.000000e+02 2.250000e+00 2.840000e-01 5.826513e-01
4.500000e+02 2.456000e+00 2.623000e-01 6.379097e-01
5.000000e+02 2.655000e+00 2.441000e-01 6.896860e-01
5.500000e+02 2.848000e+00 2.286000e-01 7.384884e-01
6.000000e+02 3.035000e+00 2.151000e-01 7.848113e-01
6.500000e+02 3.214000e+00 2.033000e-01 8.288794e-01
7.000000e+02 3.387000e+00 1.929000e-01 8.709982e-01
8.000000e+02 3.713000e+00 1.752000e-01 9.501801e-01
9.000000e+02 4.016000e+00 1.608000e-01 1.022215e+00
1.000000e+03 4.297000e+00 1.489000e-01 1.092024e+00
1.100000e+03 4.559000e+00 1.387000e-01 1.161753e+00
1.200000e+03 4.805000e+00 1.300000e-01 1.221595e+00
1.300000e+03 5.035000e+00 1.224000e-01 1.281353e+00
1.400000e+03 5.252000e+00 1.157000e-01 1.341084e+00
1.500000e+03 5.458000e+00 1.098000e-01 1.390948e+00
1.600000e+03 5.652000e+00 1.045000e-01 1.440773e+00
1.700000e+03 5.837000e+00 9.978000e-02 1.500429e+00
1.800000e+03 6.013000e+00 9.549000e-02 1.550214e+00
2.000000e+03 6.342000e+00 8.801000e-02 1.639908e+00
2.250000e+03 6.714000e+00 8.029000e-02 1.759389e+00
2.500000e+03 7.051000e+00 7.392000e-02 1.868943e+00
2.750000e+03 7.355000e+00 6.856000e-02 1.968574e+00
3.000000e+03 7.632000e+00 6.399000e-02 2.068183e+00
3.250000e+03 7.884000e+00 6.004000e-02 2.167788e+00
3.500000e+03 8.112000e+00 5.659000e-02 2.267405e+00
3.750000e+03 8.321000e+00 5.354000e-02 2.357098e+00
4.000000e+03 8.510000e+00 5.083000e-02 2.446792e+00
4.500000e+03 8.839000e+00 4.621000e-02 2.616302e+00
5.000000e+03 9.110000e+00 4.242000e-02 2.785828e+00
5.500000e+03 9.334000e+00 3.925000e-02 2.955373e+00
6.000000e+03 9.518000e+00 3.655000e-02 3.114980e+00
6.500000e+03 9.669000e+00 3.422000e-02 3.274603e+00
7.000000e+03 9.793000e+00 3.219000e-02 3.434252e+00
8.000000e+03 9.977000e+00 2.883000e-02 3.743756e+00
9.000000e+03 1.009000e+01 2.614000e-02 4.043334e+00
1.000000e+04 1.017000e+01 2.394000e-02 4.342942e+00
