# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 3.638000e-01 2.173000e+00 1.283199e-02
1.100000e+01 3.816000e-01 2.182000e+00 1.379565e-02
1.200000e+01 3.985000e-01 2.188000e+00 1.478749e-02
1.300000e+01 4.148000e-01 2.191000e+00 1.578924e-02
1.400000e+01 4.305000e-01 2.192000e+00 1.675410e-02
1.500000e+01 4.456000e-01 2.191000e+00 1.774627e-02
1.600000e+01 4.602000e-01 2.188000e+00 1.871176e-02
1.700000e+01 4.744000e-01 2.184000e+00 1.971395e-02
1.800000e+01 4.881000e-01 2.179000e+00 2.067994e-02
2.000000e+01 5.145000e-01 2.167000e+00 2.263868e-02
2.250000e+01 5.457000e-01 2.148000e+00 2.502838e-02
2.500000e+01 5.752000e-01 2.127000e+00 2.749909e-02
2.750000e+01 6.033000e-01 2.104000e+00 2.988996e-02
3.000000e+01 6.301000e-01 2.080000e+00 3.239660e-02
3.250000e+01 6.559000e-01 2.056000e+00 3.475370e-02
3.500000e+01 6.806000e-01 2.031000e+00 3.720228e-02
3.750000e+01 7.045000e-01 2.007000e+00 3.968539e-02
4.000000e+01 7.276000e-01 1.982000e+00 4.213526e-02
4.500000e+01 7.718000e-01 1.934000e+00 4.706049e-02
5.000000e+01 8.135000e-01 1.888000e+00 5.205516e-02
5.500000e+01 8.532000e-01 1.843000e+00 5.705164e-02
6.000000e+01 8.912000e-01 1.801000e+00 6.207246e-02
6.500000e+01 9.306000e-01 1.760000e+00 6.713196e-02
7.000000e+01 9.731000e-01 1.721000e+00 7.213189e-02
8.000000e+01 1.058000e+00 1.649000e+00 8.225770e-02
9.000000e+01 1.139000e+00 1.583000e+00 9.232816e-02
1.000000e+02 1.214000e+00 1.523000e+00 1.024036e-01
1.100000e+02 1.282000e+00 1.468000e+00 1.124540e-01
1.200000e+02 1.346000e+00 1.418000e+00 1.224866e-01
1.300000e+02 1.404000e+00 1.371000e+00 1.324670e-01
1.400000e+02 1.459000e+00 1.328000e+00 1.424514e-01
1.500000e+02 1.510000e+00 1.288000e+00 1.524390e-01
1.600000e+02 1.558000e+00 1.250000e+00 1.623822e-01
1.700000e+02 1.603000e+00 1.216000e+00 1.723026e-01
1.800000e+02 1.646000e+00 1.183000e+00 1.823207e-01
2.000000e+02 1.728000e+00 1.124000e+00 2.021310e-01
2.250000e+02 1.822000e+00 1.059000e+00 2.267429e-01
2.500000e+02 1.912000e+00 1.002000e+00 2.511828e-01
2.750000e+02 2.000000e+00 9.517000e-01 2.754561e-01
3.000000e+02 2.085000e+00 9.072000e-01 2.993884e-01
3.250000e+02 2.170000e+00 8.673000e-01 3.231771e-01
3.500000e+02 2.254000e+00 8.313000e-01 3.465131e-01
3.750000e+02 2.339000e+00 7.986000e-01 3.696257e-01
4.000000e+02 2.423000e+00 7.688000e-01 3.924205e-01
4.500000e+02 2.591000e+00 7.163000e-01 4.369001e-01
5.000000e+02 2.759000e+00 6.714000e-01 4.798551e-01
5.500000e+02 2.926000e+00 6.326000e-01 5.215507e-01
6.000000e+02 3.093000e+00 5.986000e-01 5.617732e-01
6.500000e+02 3.258000e+00 5.685000e-01 6.006016e-01
7.000000e+02 3.422000e+00 5.417000e-01 6.382168e-01
8.000000e+02 3.743000e+00 4.959000e-01 7.098938e-01
9.000000e+02 4.054000e+00 4.581000e-01 7.773453e-01
1.000000e+03 4.355000e+00 4.263000e-01 8.410698e-01
1.100000e+03 4.645000e+00 3.991000e-01 9.014296e-01
1.200000e+03 4.924000e+00 3.756000e-01 9.589374e-01
1.300000e+03 5.193000e+00 3.549000e-01 1.013885e+00
1.400000e+03 5.452000e+00 3.367000e-01 1.068948e+00
1.500000e+03 5.701000e+00 3.205000e-01 1.118959e+00
1.600000e+03 5.941000e+00 3.059000e-01 1.168913e+00
1.700000e+03 6.173000e+00 2.927000e-01 1.208992e+00
1.800000e+03 6.396000e+00 2.808000e-01 1.258855e+00
2.000000e+03 6.820000e+00 2.599000e-01 1.348703e+00
2.250000e+03 7.313000e+00 2.381000e-01 1.448589e+00
2.500000e+03 7.771000e+00 2.200000e-01 1.548353e+00
2.750000e+03 8.197000e+00 2.048000e-01 1.638163e+00
3.000000e+03 8.597000e+00 1.917000e-01 1.727928e+00
3.250000e+03 8.972000e+00 1.803000e-01 1.807748e+00
3.500000e+03 9.326000e+00 1.703000e-01 1.887535e+00
3.750000e+03 9.661000e+00 1.615000e-01 1.967310e+00
4.000000e+03 9.979000e+00 1.536000e-01 2.047072e+00
4.500000e+03 1.057000e+01 1.401000e-01 2.196679e+00
5.000000e+03 1.110000e+01 1.290000e-01 2.336321e+00
5.500000e+03 1.158000e+01 1.197000e-01 2.466023e+00
6.000000e+03 1.201000e+01 1.117000e-01 2.595701e+00
6.500000e+03 1.241000e+01 1.048000e-01 2.715421e+00
7.000000e+03 1.277000e+01 9.875000e-02 2.835147e+00
8.000000e+03 1.340000e+01 8.870000e-02 3.064723e+00
9.000000e+03 1.392000e+01 8.064000e-02 3.294287e+00
1.000000e+04 1.435000e+01 7.403000e-02 3.503943e+00
